期間,求職人數-新登記_原始值,求職人數-新登記_年增率(%),求職人數-有效_原始值,求職人數-有效_年增率(%),求才人數-新登記_原始值,求才人數-新登記_年增率(%),求才人數-有效_原始值,求才人數-有效_年增率(%),求供倍數-新登記_原始值,求供倍數-新登記_年增率(%),求供倍數-有效_原始值,求供倍數-有效_年增率(%),求職推介就業人數_原始值,求職推介就業人數_年增率(%),求才僱用人數_原始值,求才僱用人數_年增率(%),求職就業率(%)_原始值,求職就業率(%)_年增率(%),求才利用率(%)_原始值,求才利用率(%)_年增率(%)
2009M10,"114,249",2.77,"360,865",29.90,"101,039",32.28,"160,286",23.88,0.88,-,0.44,-,"52,942",41.81,"60,333",8.98,46.34,-,59.71,-
2009M11,"103,980",-7.61,"334,440",15.11,"90,480",26.91,"154,102",31.76,0.87,-,0.46,-,"46,980",50.53,"54,181",11.54,45.18,-,59.88,-
2009M12,"100,578",-21.48,"310,562",-6.68,"91,687",19.07,"151,262",28.91,0.91,-,0.49,-,"45,947",33.08,"54,869",16.88,45.68,-,59.84,-
2010M01,"98,008",16.74,"293,575",-5.67,"94,106",70.70,"155,211",57.94,0.96,-,0.53,-,"39,273",63.13,"45,250",48.91,40.07,-,48.08,-
2010M02,"84,977",-41.77,"273,643",-23.99,"98,240",11.72,"166,152",33.90,1.16,-,0.61,-,"38,084",18.55,"48,003",15.45,44.82,-,48.86,-
2010M03,"128,616",-1.10,"309,636",-22.79,"143,450",55.02,"216,883",46.40,1.12,-,0.70,-,"59,696",37.84,"77,544",38.95,46.41,-,54.06,-
2010M04,"102,162",-15.34,"291,777",-32.79,"140,685",11.02,"237,867",31.51,1.38,-,0.82,-,"59,281",30.11,"77,985",26.30,58.03,-,55.43,-
2010M05,"108,208",-0.33,"287,626",-30.39,"135,406",43.35,"234,263",41.18,1.25,-,0.81,-,"50,386",18.08,"74,492",39.06,46.56,-,55.01,-
2010M06,"96,128",-26.07,"272,185",-35.45,"137,760",28.90,"233,173",40.80,1.43,-,0.86,-,"47,236",-5.80,"73,263",17.04,49.14,-,53.18,-
2010M07,"101,625",-22.76,"277,464",-35.51,"143,364",39.23,"241,162",45.09,1.41,-,0.87,-,"53,329",-7.87,"84,127",29.21,52.48,-,58.68,-
