期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
2005M04,"9,899",1.72,"1,322",-5.11,"1,586",-1.45,877,0.85,"2,723",1.10,"1,718",3.11,"1,673",11.51,"5,750",1.58,761,-3.70,"1,093",-1.17,553,1.27,"1,482",0.86,924,2.81,937,10.21,"4,149",1.90,561,-6.97,493,-2.06,324,0.14,"1,241",1.38,794,3.46,735,13.23,417,-6.06,37,-20.29,82,-5.52,46,0.31,122,-9.71,64,-10.18,66,13.05,261,-6.96,28,-16.97,67,3.97,32,-1.41,68,-14.05,38,-3.65,28,-10.71,156,-4.52,10,-28.49,15,-33.22,15,4.28,54,-3.57,26,-18.48,37,41.77,"7,586",0.54,"2,651",-0.98,994,-0.56,893,-2.20,"1,282",-0.56,536,-3.53,"1,231",10.77,"2,857",0.34,841,-2.44,363,-2.97,391,-3.80,416,2.92,208,-10.21,638,12.16,"4,729",0.66,"1,810",-0.28,630,0.88,502,-0.91,866,-2.15,328,1.23,592,9.32
2005M05,"9,918",1.58,"1,326",-5.24,"1,584",-1.81,874,-0.85,"2,728",1.09,"1,723",3.27,"1,682",12.03,"5,753",1.47,746,-4.68,"1,094",-1.07,549,-1.49,"1,490",1.76,934,2.11,940,11.25,"4,165",1.74,580,-5.96,489,-3.44,326,0.26,"1,238",0.29,790,4.68,742,13.03,424,-5.75,38,-10.89,86,-2.63,40,-8.98,122,-13.31,69,-7.58,70,15.48,257,-10.67,26,-8.47,66,-4.33,25,-14.66,72,-16.19,40,3.82,29,-23.27,167,2.99,12,-15.69,20,3.32,15,1.88,50,-8.81,29,-19.98,41,79.43,"7,575",0.73,"2,640",-1.00,"1,019",0.37,901,-0.25,"1,276",-0.22,524,-4.58,"1,215",9.71,"2,865",0.99,856,-1.81,379,-0.74,402,2.08,397,0.56,196,-10.26,635,10.16,"4,710",0.57,"1,784",-0.60,640,1.03,498,-2.05,878,-0.56,329,-0.84,580,9.21
2005M06,"9,920",1.32,"1,319",-5.58,"1,577",-1.99,871,-1.56,"2,735",0.90,"1,722",2.84,"1,695",11.95,"5,747",1.27,752,-3.46,"1,086",-1.75,545,-3.02,"1,490",1.98,931,2.74,942,9.46,"4,173",1.39,567,-8.24,490,-2.52,326,0.98,"1,245",-0.36,791,2.97,753,15.22,437,-6.24,35,-22.97,82,-7.65,35,-21.45,133,-9.04,72,-5.45,79,24.00,260,-13.36,25,-16.65,62,-11.06,22,-28.03,69,-22.30,43,-13.98,40,24.53,177,6.61,11,-34.20,20,4.89,14,-8.38,64,11.73,29,10.51,40,23.46,"7,578",1.16,"2,640",-0.48,992,1.44,915,1.16,"1,275",-0.32,523,-3.68,"1,234",8.72,"2,877",1.81,853,-1.55,375,4.16,414,4.14,398,0.44,192,-10.86,645,9.30,"4,701",0.76,"1,786",0.04,616,-0.15,502,-1.17,877,-0.67,331,1.07,589,8.10
2005M07,"9,941",1.14,"1,304",-5.77,"1,567",-2.68,870,-1.10,"2,742",0.49,"1,728",2.88,"1,730",11.86,"5,751",1.06,745,-5.52,"1,073",-2.59,547,-1.55,"1,502",2.17,921,2.64,963,9.76,"4,191",1.25,559,-6.10,494,-2.88,323,-0.33,"1,240",-1.48,807,3.16,767,14.61,449,-5.67,33,-34.91,77,-9.30,33,-15.74,138,-8.21,76,3.55,92,18.42,266,-9.43,22,-36.07,61,-5.20,23,-23.48,75,-12.89,41,-10.77,43,35.63,183,0.40,10,-32.21,16,-21.84,10,8.20,62,-1.85,34,28.41,49,6.40,"7,564",1.42,"2,645",-0.20,"1,001",3.08,916,-0.02,"1,267",0.66,517,-4.06,"1,218",8.45,"2,876",1.86,854,0.44,384,6.19,408,1.12,388,-0.98,206,-8.30,637,7.47,"4,688",1.15,"1,791",-0.50,617,1.23,509,-0.92,879,1.40,312,-1.03,581,9.54
2005M08,"9,972",1.38,"1,295",-5.12,"1,566",-2.31,872,-1.08,"2,742",0.48,"1,733",2.67,"1,763",12.39,"5,760",0.88,735,-7.30,"1,073",-2.11,550,-1.01,"1,492",1.22,943,2.79,968,10.69,"4,212",2.08,561,-2.10,493,-2.72,322,-1.20,"1,251",-0.40,790,2.54,795,14.54,454,-5.62,30,-37.42,79,-3.12,38,-8.44,136,-11.30,74,-0.07,97,17.48,265,-9.58,24,-36.19,57,-12.01,25,-6.55,77,-17.33,39,1.13,44,32.34,189,0.57,6,-41.85,22,32.10,14,-11.68,59,-2.05,35,-1.34,53,7.45,"7,546",1.14,"2,649",-0.48,898,2.29,899,-0.05,"1,253",1.45,540,-3.31,"1,306",6.45,"2,875",2.30,861,2.48,325,5.22,398,0.33,395,3.46,200,-9.93,695,5.34,"4,670",0.44,"1,788",-1.85,573,0.70,501,-0.35,858,0.56,340,1.08,611,7.73
2005M09,"9,951",1.66,"1,285",-5.21,"1,572",-1.47,859,-2.14,"2,720",0.16,"1,732",3.66,"1,783",13.35,"5,765",1.29,730,-6.04,"1,078",-1.63,545,-0.79,"1,482",0.64,949,3.89,982,11.02,"4,186",2.18,555,-4.10,494,-1.13,315,-4.39,"1,238",-0.40,783,3.38,801,16.35,430,-6.73,28,-39.16,70,-17.47,42,3.58,136,-3.43,64,-12.42,90,18.95,246,-14.14,19,-42.20,49,-29.06,25,-3.19,79,-11.99,31,-16.10,43,33.44,184,5.42,9,-31.87,21,33.90,17,15.37,57,11.68,33,-8.76,47,8.09,"7,609",0.85,"2,648",-0.43,830,2.88,906,0.26,"1,287",0.95,554,-4.25,"1,385",4.72,"2,898",1.96,866,1.52,291,7.62,401,-0.05,413,4.58,199,-11.75,729,4.38,"4,711",0.18,"1,782",-1.34,538,0.48,505,0.51,875,-0.68,355,0.53,656,5.10
2005M10,"9,993",1.59,"1,268",-5.93,"1,579",-0.81,863,-3.07,"2,727",0.16,"1,736",2.87,"1,821",14.01,"5,771",0.88,703,-8.83,"1,092",-0.97,546,-1.13,"1,485",0.38,936,2.26,"1,010",12.13,"4,222",2.58,566,-2.05,487,-0.43,317,-6.25,"1,241",-0.10,800,3.60,811,16.45,424,-4.37,31,-26.80,71,-17.66,44,-0.66,132,4.87,69,-1.62,77,3.16,245,-13.33,20,-32.01,46,-31.56,27,-11.87,80,-1.72,34,-10.41,38,5.27,179,11.35,11,-14.62,25,31.49,17,23.72,51,17.13,35,8.77,40,1.24,"7,593",0.81,"2,650",-0.51,848,1.72,901,1.76,"1,286",0.09,545,-3.24,"1,363",4.71,"2,903",2.72,888,2.87,293,5.07,396,1.16,401,2.06,208,-4.99,715,5.31,"4,690",-0.34,"1,761",-2.13,555,0.03,505,2.23,885,-0.77,337,-2.12,647,4.06
2005M11,"10,024",1.56,"1,264",-5.78,"1,575",-0.90,871,-2.45,"2,738",0.28,"1,737",2.22,"1,839",13.75,"5,775",0.76,710,-7.07,"1,094",-0.74,546,-1.43,"1,482",0.57,927,-0.02,"1,017",11.60,"4,249",2.66,554,-4.06,482,-1.27,325,-4.11,"1,256",-0.06,811,4.92,822,16.52,411,-3.47,30,-34.76,67,-16.49,43,5.94,129,-0.16,67,10.64,76,8.16,245,-10.94,21,-30.95,46,-25.38,24,-18.39,79,-4.12,36,3.26,39,6.42,166,10.14,9,-41.81,21,13.20,19,67.71,49,6.93,31,20.63,36,10.12,"7,594",0.80,"2,645",-0.52,883,1.92,894,0.54,"1,279",0.42,546,-2.46,"1,348",4.75,"2,908",2.73,879,1.32,314,5.22,397,0.11,401,0.27,217,4.66,700,5.90,"4,686",-0.36,"1,766",-1.41,569,0.18,497,0.88,877,0.48,330,-6.63,648,3.54
2005M12,"10,037",1.51,"1,256",-5.71,"1,581",-0.92,865,-3.36,"2,746",0.62,"1,742",2.01,"1,848",13.47,"5,777",0.96,718,-4.54,"1,079",-1.86,544,-3.68,"1,478",0.57,927,0.52,"1,031",12.85,"4,260",2.27,538,-7.23,501,1.18,320,-2.82,"1,269",0.68,815,3.76,817,14.25,403,-4.41,34,-25.17,72,-8.21,39,1.17,120,-11.90,61,-0.75,78,24.79,249,-9.34,22,-25.35,60,-5.45,21,-24.38,74,-13.12,30,-16.41,42,27.49,154,4.81,12,-24.84,13,-19.31,18,70.42,46,-9.82,31,21.37,36,21.73,"7,608",0.95,"2,639",-0.86,899,1.64,903,1.83,"1,278",0.87,547,-1.13,"1,341",4.63,"2,910",2.22,863,-1.10,325,4.91,403,4.52,417,1.81,220,3.48,682,3.87,"4,698",0.18,"1,775",-0.75,575,-0.12,501,-0.23,861,0.42,327,-4.01,659,5.43
2006M01,"10,038",1.39,"1,240",-6.61,"1,591",-0.77,848,-4.57,"2,753",0.98,"1,742",2.04,"1,864",13.15,"5,789",1.00,718,-5.26,"1,081",-2.14,539,-4.94,"1,491",1.35,928,1.15,"1,031",12.94,"4,249",1.92,522,-8.40,510,2.26,309,-3.93,"1,262",0.55,814,3.07,832,13.40,397,-5.18,34,-22.01,67,-5.53,37,-5.41,116,-14.67,61,-6.04,81,28.41,244,-9.30,25,-11.43,55,-0.57,25,-7.81,66,-21.11,29,-24.68,44,21.92,153,2.20,9,-41.22,12,-22.55,12,0.33,50,-4.42,32,20.68,38,36.87,"7,631",1.19,"2,648",-0.45,921,1.18,921,3.25,"1,275",0.48,544,-0.85,"1,321",4.79,"2,912",2.16,859,-0.62,338,5.21,406,5.96,409,0.70,218,-0.30,682,3.84,"4,719",0.60,"1,789",-0.36,583,-1.02,515,1.20,867,0.38,326,-1.21,639,5.82
