期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2001M05,"280,542",114.57,"45,075",12.31,"127,896",233.51,"54,154",290.44,"10,372",349.00,"20,155",-7.97,"22,890",61.42,-,-
2001M06,"304,003",189.90,"42,883",6.42,"102,931",248.23,"68,402",347.36,"43,076",925.62,"26,211",101.00,"20,500",726.61,-,-
2001M07,"294,122",75.96,"62,414",-7.23,"95,778",111.70,"51,441",174.06,"16,170",56.69,"43,999",99.14,"24,320",604.93,-,-
2001M08,"192,003",25.20,"53,585",-19.19,"63,545",58.08,"32,621",152.78,"7,091",-18.49,"11,441",-45.77,"23,720",471.57,-,-
2001M09,"227,137",29.09,"44,728",-29.02,"111,603",81.38,"40,683",211.75,"5,100",-50.96,"6,373",-74.92,"18,650",631.37,-,-
2001M10,"202,069",11.03,"35,178",71.54,"87,679",-7.03,"33,186",0.78,"13,305",79.80,"15,671",-24.62,"17,050",181.82,-,-
2001M11,"176,437",-11.07,"35,565",-46.08,"62,212",-10.12,"42,168",49.21,"8,421",79.17,"9,721",-47.24,"18,350",54.85,-,-
2001M12,"185,904",-17.79,"45,690",-51.21,"73,955",17.86,"29,923",-2.08,"12,215",627.08,"4,071",-77.48,"20,050",3.18,-,-
2002M01,"190,620",7.64,"46,484",19.64,"67,522",75.02,"17,511",-62.97,"17,402",5.56,"21,981",2.67,"19,720",38.56,-,-
2002M02,"147,151",-23.32,"30,380",-24.60,"50,393",-52.54,"19,671",5.80,"8,500",215.28,"18,987",16.94,"19,220",143.60,-,-
2002M03,"119,516",-42.79,"24,737",1.17,"39,763",-70.77,"19,275",-30.15,"5,090",11.14,"11,801",-4.60,"18,850",384.58,-,-
2002M04,"188,181",-11.33,"63,758",96.18,"60,886",-24.89,"18,746",-45.31,"5,770",-15.40,"17,321",-54.56,"21,700",11.63,-,-
2002M05,"197,962",-29.44,"67,211",49.11,"59,535",-53.45,"24,280",-55.16,"7,300",-29.62,"16,321",-19.02,"23,315",1.86,-,-
2002M06,"156,834",-48.41,"45,309",5.66,"34,015",-66.95,"27,639",-59.59,"9,630",-77.64,"17,126",-34.66,"23,115",12.76,-,-
2002M07,"205,408",-30.16,"45,340",-27.36,"92,261",-3.67,"28,711",-44.19,"8,260",-48.92,"9,221",-79.04,"21,615",-11.12,-,-
