期間,可支配所得按戶數五等分位組之所得分配比(%)-最低所得組,可支配所得按戶數五等分位組之所得分配比(%)-次低所得組,可支配所得按戶數五等分位組之所得分配比(%)-中間所得組,可支配所得按戶數五等分位組之所得分配比(%)-次高所得組,可支配所得按戶數五等分位組之所得分配比(%)-最高所得組,第五分位組為第一分位組之倍數(倍),吉尼係數
2003,6.72,12.37,16.91,23.17,40.83,6.07,0.343
2004,6.67,12.46,17.41,23.25,40.21,6.03,0.338
2005,6.66,12.43,17.42,23.32,40.17,6.04,0.340
2006,6.66,12.37,17.42,23.51,40.03,6.01,0.339
2007,6.76,12.36,17.31,23.16,40.41,5.98,0.340
2008,6.64,12.37,17.43,23.40,40.17,6.05,0.341
2009,6.36,12.27,17.39,23.64,40.34,6.34,0.345
2010,6.49,12.21,17.39,23.72,40.19,6.19,0.342
2011,6.53,12.05,17.32,23.86,40.25,6.17,0.342
2012,6.53,12.27,17.54,23.68,39.98,6.13,0.338
2013,6.57,12.38,17.49,23.60,39.96,6.08,0.336
