期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
1997M01,"222,208",69.02,"110,644",151.38,"21,045",-55.94,"13,020",85.21,"12,785",153.62,"12,880",-50.98,"51,834","3,739.56",-,-
1997M02,"198,302",14.47,"55,828",-21.18,"60,567",265.08,"13,190",-11.45,"17,895",29.63,"31,035",-42.85,"19,787",601.67,-,-
1997M03,"167,124",8.28,"62,491",78.08,"31,787",-43.44,"12,800",-44.51,"5,320",-77.98,"43,203",202.75,"11,523",633.95,-,-
1997M04,"111,654",-40.28,"43,173",-57.35,"25,540",-39.78,"15,823",-5.02,"5,225",220.55,"11,680",-53.36,"10,213",--,-,-
1997M05,"145,721",8.48,"71,332",-12.82,"27,813",26.68,"8,220",90.28,"1,400",250.00,"27,581",19.41,"9,375",243.41,-,-
1997M06,"125,426",-2.81,"46,586",6.16,"10,590",-29.98,"15,500",618.26,"7,740",760.00,"36,515",-19.12,"8,495",-61.10,-,-
1997M07,"137,647",8.74,"69,955",54.36,"17,548",-2.66,"2,050",-30.03,"1,570",-18.44,"36,919",62.03,"9,605",-73.02,-,-
1997M08,"147,513",-19.61,"45,077",-8.77,"55,124",-22.00,"17,579",54.19,"4,296",-4.53,"15,792",-43.93,"9,645",-50.14,-,-
1997M09,"164,263",-6.14,"71,373",15.25,"54,325",51.38,"9,590",-53.18,"2,420",-75.33,"21,475",-46.26,"5,080",-26.71,-,-
1997M10,"129,638",-17.02,"31,147",-45.31,"29,559",55.41,"9,937",-21.07,"12,500",-26.43,"34,907",-20.99,"11,588",78.50,-,-
1997M11,"153,127",-13.07,"38,461",-48.13,"53,890",26.22,"13,960",12.11,"2,950",-68.60,"22,008",-28.01,"21,858",217.43,-,-
1997M12,"165,783",1.85,"61,209",195.00,"39,170",-29.24,"6,640",-63.40,"1,640",-39.93,"14,934",-32.59,"42,190",-3.32,-,-
1998M01,"204,665",-7.89,"36,954",-66.60,"66,463",215.81,"28,725",120.62,"2,800",-78.10,"22,075",71.39,"47,648",-8.08,-,-
1998M02,"122,416",-38.27,"46,213",-17.22,"25,170",-58.44,"2,490",-81.12,"2,350",-86.87,"11,630",-62.53,"34,563",74.68,-,-
1998M03,"137,546",-17.70,"74,255",18.83,"28,974",-8.85,"4,950",-61.33,"3,200",-39.85,"6,484",-84.99,"19,683",70.81,-,-
1998M04,"137,999",23.60,"82,169",90.32,"33,025",29.31,"5,592",-64.66,730,-86.03,"2,805",-75.98,"13,678",33.93,-,-
1998M05,"163,964",12.52,"79,215",11.05,"49,895",79.39,"5,840",-28.95,"2,060",47.14,"11,940",-56.71,"15,014",60.15,-,-
1998M06,"187,541",49.52,"85,017",82.49,"65,457",518.10,"6,097",-60.66,"3,360",-56.59,"12,750",-65.08,"14,860",74.93,-,-
1998M07,"167,904",21.98,"88,937",27.13,"34,555",96.92,"13,950",580.49,"4,435",182.48,"19,667",-46.73,"6,360",-33.78,-,-
1998M08,"174,246",18.12,"84,958",88.47,"45,318",-17.79,"12,960",-26.28,"7,420",72.72,"16,680",5.62,"6,910",-28.36,-,-
1998M09,"224,823",36.87,"97,264",36.28,"78,644",44.77,"26,800",179.46,"4,660",92.56,"10,435",-51.41,"7,020",38.19,-,-
1998M10,"183,449",41.51,"82,364",164.44,"68,823",132.83,"15,442",55.40,"2,750",-78.00,"8,350",-76.08,"5,720",-50.64,-,-
1998M11,"188,234",22.93,"103,577",169.30,"54,627",1.37,"15,705",12.50,"3,260",10.51,"5,305",-75.90,"5,760",-73.65,-,-
1998M12,"143,750",-13.29,"41,547",-32.12,"61,630",57.34,"18,451",177.88,"5,700",247.56,"11,692",-21.71,"4,730",-88.79,-,-
1999M01,"173,783",-15.09,"91,019",146.30,"46,892",-29.45,"13,589",-52.69,"9,300",232.14,"10,440",-52.71,"2,543",-94.66,-,-
1999M02,"176,078",43.84,"95,525",106.71,"39,147",55.53,"10,990",341.37,"14,480",516.17,"14,223",22.30,"1,713",-95.04,-,-
