期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
1998M08,303.03,...,8.40,-,54.65,...,1.50,-,"3,242.70",...,90.10,-,0.57,...,0.00,-
1998M09,374.22,...,9.10,-,60.44,...,1.50,-,"3,667.31",...,89.40,-,0.52,...,0.00,-
1998M10,345.35,...,9.10,-,66.63,...,1.80,-,"3,381.26",...,89.10,-,0.71,...,0.00,-
1998M11,485.18,...,10.00,-,85.83,...,1.80,-,"4,279.14",...,88.20,-,0.64,...,0.00,-
1998M12,337.29,...,10.70,-,61.09,...,1.90,-,"2,758.69",...,87.40,-,0.50,...,0.00,-
1999M01,265.45,...,9.40,-,84.58,...,3.00,-,"2,482.74",...,87.60,-,0.98,...,0.00,-
1999M02,182.20,...,9.20,-,60.33,...,3.00,-,"1,743.33",...,87.80,-,0.50,...,0.00,-
1999M03,424.67,...,8.80,-,97.67,...,2.00,-,"4,296.30",...,89.10,-,0.69,...,0.10,-
1999M04,574.19,...,9.80,-,129.47,...,2.20,-,"5,174.50",...,88.00,-,0.52,...,0.00,-
1999M05,495.76,...,9.30,-,119.64,...,2.20,-,"4,729.50",...,88.50,-,2.22,...,0.00,-
1999M06,675.10,...,9.00,-,149.01,...,2.00,-,"6,708.36",...,89.00,-,0.81,...,0.00,-
1999M07,492.00,...,8.30,-,132.73,...,2.20,-,"5,283.73",...,89.40,-,0.14,...,0.10,-
1999M08,487.60,60.91,8.80,-,136.89,150.48,2.40,-,"4,905.04",51.26,88.70,-,0.19,-66.67,0.10,-
1999M09,415.52,11.04,9.80,-,114.13,88.83,2.70,-,"3,727.26",1.63,87.50,-,0.25,-51.92,0.00,-
1999M10,408.88,18.40,9.90,-,108.76,63.23,2.60,-,"3,617.42",6.98,87.50,-,0.71,0.00,0.00,-
1999M11,500.19,3.09,10.30,-,131.71,53.45,2.70,-,"4,241.47",-0.88,87.00,-,0.71,10.94,0.00,-
1999M12,598.93,77.57,10.20,-,155.19,154.04,2.60,-,"5,133.53",86.09,87.20,-,0.39,-22.00,0.00,-
2000M01,873.84,229.19,9.60,-,205.42,142.87,2.20,-,"8,082.81",225.56,88.20,-,1.18,20.41,0.00,-
