期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
1999M02,"107,613",-71.79,"126,730",-40.91,"55,549",-23.50,"311,553",-10.92,"1,354",20.14,0,-100.00,"17,357",10.91,"46,299",41.28,"22,080",49.36,"46,166",41.61,"203,953",-58.00,"530,748",-16.00
1999M03,"125,649",-51.28,"134,627",-34.61,"61,437",88.31,"370,246",-11.09,"14,864",44.00,"4,124","4,929.27","17,093",87.73,"57,064",80.43,"17,897",98.52,"55,596",79.35,"236,940",-25.71,"621,657",-9.25
1999M04,"145,522",-30.71,"160,541",-7.66,"55,486",76.42,"305,671",-27.36,"6,626",10.88,"3,841",52.60,"36,960",259.78,"42,476",-2.45,"40,049",296.02,"43,032",-2.70,"284,643",6.28,"555,561",-18.89
1999M05,"118,663",-60.47,"101,539",13.59,"55,357",25.51,"294,746",-13.04,"4,854",7.32,"7,591",-54.67,"23,941",11.75,"56,787",37.74,"28,330",21.40,"54,995",33.34,"231,145",-41.27,"515,658",-2.26
1999M06,"177,975",-14.12,"97,642",-15.82,"73,073",1.80,"338,262",-2.85,"6,484",-55.03,452,-91.50,"32,142",-38.41,"60,757",18.36,"28,176",-39.51,"59,229",14.70,"317,850",-18.96,"556,342",-2.81
1999M07,"187,297",42.38,"57,509",-66.93,"70,200",86.26,"343,106",2.89,"1,222",-76.20,904,-71.63,"34,246",13.73,"65,867",51.83,"41,685",47.21,"66,719",54.61,"334,650",43.75,"534,105",-10.55
1999M08,"177,370",69.50,"67,186",-54.19,"86,528",36.27,"473,739",18.55,"1,676",-6.16,737,63.41,"57,062",114.27,"57,669",-6.01,"52,718",103.21,"55,878",-1.30,"375,354",68.69,"655,209",-1.43
1999M09,"149,202",87.42,"101,420",-47.75,"74,795",7.02,"396,403",-22.44,636,84.88,318,--,"40,478",143.48,"85,779",4.21,"36,593",163.28,"84,878",1.97,"301,704",67.28,"668,798",-23.19
1999M10,"101,178",-34.49,"62,122",-65.03,"62,742",10.79,"377,446",-15.49,"13,654",780.90,381,--,"25,939",7.43,"75,130",14.91,"23,809",8.39,"76,615",19.16,"227,322",-12.14,"591,694",-21.52
1999M11,"119,824",14.36,"61,800",-28.78,"106,480",87.91,"322,378",1.08,"6,042",--,"1,328",--,"23,892",-16.37,"80,576",105.25,"25,048",-9.79,"79,178",101.71,"281,286",29.16,"545,260",12.61
1999M12,"131,450",21.48,"45,809",-54.58,"88,715",43.41,"307,466",-27.25,"1,355",91.65,"6,583",654.93,"28,600",84.09,"72,922",106.51,"36,438",136.63,"75,972",111.48,"286,558",42.07,"508,752",-14.58
2000M01,"175,072",70.41,"70,775",-29.58,"115,507",77.99,"289,538",-11.51,"2,033",-82.19,0,-100.00,"34,451",15.04,"125,681",128.61,"38,734",20.79,"122,456",121.54,"365,797",51.75,"608,450",13.04
2000M02,"159,901",48.59,"85,209",-32.76,"84,619",52.33,"218,695",-29.80,"4,849",258.12,"1,020",--,"46,999",170.78,"105,667",128.23,"49,801",125.55,"105,801",129.18,"346,169",69.73,"516,392",-2.70
2000M03,"224,956",79.04,"70,731",-47.46,"142,037",131.19,"349,091",-5.71,"7,367",-50.44,"3,654",-11.40,"47,271",176.55,"111,504",95.40,"52,522",193.47,"111,394",100.36,"474,153",100.12,"646,374",3.98
2000M04,"162,094",11.39,"78,564",-51.06,"85,184",53.52,"307,976",0.75,"1,836",-72.29,146,-96.20,"42,684",15.49,"93,020",118.99,"42,316",5.66,"92,167",114.18,"334,114",17.38,"571,873",2.94
2000M05,"165,436",39.42,"87,963",-13.37,"116,146",109.81,"385,817",30.90,"9,192",89.37,522,-93.12,"55,962",133.75,"130,122",129.14,"54,298",91.66,"130,872",137.97,"401,034",73.50,"735,296",42.59
2000M06,"127,215",-28.52,"65,423",-33.00,"104,866",43.51,"388,543",14.86,"10,563",62.91,454,0.44,"32,967",2.57,"124,316",104.61,"29,524",4.78,"128,782",117.43,"305,135",-4.00,"707,518",27.17
2000M07,"138,547",-26.03,"84,537",47.00,"99,853",42.24,"320,431",-6.61,"1,993",63.09,851,-5.86,"18,706",-45.38,"77,060",16.99,"21,373",-48.73,"77,026",15.45,"280,472",-16.19,"559,905",4.83
2000M08,"125,652",-29.16,"49,892",-25.74,"143,105",65.39,"343,621",-27.47,"6,278",274.58,"3,731",406.24,"15,791",-72.33,"101,658",76.28,"20,795",-60.55,"102,549",83.52,"311,621",-16.98,"601,451",-8.20
2000M09,"184,822",23.87,"62,661",-38.22,"193,995",159.37,"297,530",-24.94,"21,736","3,317.61","2,357",641.19,"38,182",-5.67,"113,352",32.14,"34,512",-5.69,"115,780",36.41,"473,247",56.86,"591,680",-11.53
2000M10,"247,963",145.08,"48,334",-22.20,"252,442",302.35,"262,372",-30.49,"25,095",83.79,994,160.89,"41,778",61.06,"93,459",24.40,"46,673",96.03,"95,047",24.06,"613,951",170.08,"500,206",-15.46
2000M11,"238,486",99.03,"51,518",-16.64,"248,032",132.94,"283,948",-11.92,"18,586",207.61,905,-31.85,"35,652",49.22,"109,356",35.72,"36,474",45.62,"109,102",37.79,"577,230",105.21,"554,829",1.75
2000M12,"217,603",65.54,"62,821",37.14,"243,487",174.46,"273,850",-10.93,"15,333","1,031.59",823,-87.50,"33,206",16.10,"199,383",173.42,"29,962",-17.77,"208,486",174.42,"539,591",88.30,"745,363",46.51
2001M01,"185,010",5.68,"48,311",-31.74,"176,274",52.61,"238,821",-17.52,"6,332",211.46,0,--,"41,203",19.60,"120,592",-4.05,"42,319",9.26,"122,321",-0.11,"451,138",23.33,"530,045",-12.89
2001M02,"142,876",-10.65,"34,665",-59.32,"120,396",42.28,"273,697",25.15,994,-79.50,0,-100.00,"29,851",-36.49,"97,463",-7.76,"28,294",-43.19,"98,303",-7.09,"322,411",-6.86,"504,128",-2.37
2001M03,"192,716",-14.33,"79,595",12.53,"180,115",26.81,"276,569",-20.77,"7,662",4.00,0,-100.00,"62,135",31.44,"139,094",24.74,"63,040",20.03,"138,163",24.03,"505,668",6.65,"633,421",-2.00
2001M04,"196,648",21.32,"67,906",-13.57,"178,707",109.79,"249,994",-18.83,"11,093",504.19,586,301.37,"56,664",32.75,"109,564",17.79,"54,236",28.17,"109,494",18.80,"497,348",48.86,"537,544",-6.00
2001M05,"278,627",68.42,"53,648",-39.01,"220,753",90.07,"255,771",-33.71,"28,186",206.64,"8,975","1,619.35","48,342",-13.62,"99,257",-23.72,"52,929",-2.52,"97,347",-25.62,"628,837",56.80,"514,998",-29.96
2001M06,"286,395",125.13,"58,896",-9.98,"203,896",94.43,"258,735",-33.41,"38,004",259.78,"1,939",327.09,"47,656",44.56,"82,456",-33.67,"49,218",66.71,"80,573",-37.43,"625,169",104.88,"482,599",-31.79
2001M07,"225,946",63.08,"66,487",-21.35,"183,884",84.15,"282,027",-11.99,"40,520","1,933.12",703,-17.39,"57,502",207.40,"101,635",31.89,"62,917",194.38,"105,874",37.45,"570,769",103.50,"556,726",-0.57
2001M08,"230,125",83.14,"61,736",23.74,"192,370",34.43,"337,067",-1.91,"50,606",706.08,691,-81.48,"35,388",124.10,"111,856",10.03,"35,756",71.95,"119,740",16.76,"544,245",74.65,"631,090",4.93
2001M09,"179,489",-2.89,"50,194",-19.90,"143,417",-26.07,"233,999",-21.35,"25,030",15.15,"1,614",-31.52,"33,967",-11.04,"126,665",11.74,"33,439",-3.11,"128,601",11.07,"415,342",-12.24,"541,073",-8.55
2001M10,"172,758",-30.33,"34,987",-27.61,"216,031",-14.42,"299,193",14.03,"20,844",-16.94,0,-100.00,"34,329",-17.83,"96,814",3.59,"34,361",-26.38,"100,517",5.76,"478,323",-22.09,"531,511",6.26
2001M11,"220,859",-7.39,"44,239",-14.13,"266,299",7.36,"334,630",17.85,"22,140",19.12,827,-8.62,"38,698",8.54,"121,495",11.10,"36,661",0.51,"125,082",14.65,"584,657",1.29,"626,273",12.88
2001M12,"249,744",14.77,"70,041",11.49,"212,789",-12.61,"274,048",0.07,"8,131",-46.97,"2,913",253.95,"42,831",28.99,"125,688",-36.96,"44,416",48.24,"118,486",-43.17,"557,911",3.40,"591,176",-20.69
2002M01,"236,775",27.98,"50,803",5.16,"232,848",32.09,"297,909",24.74,"41,645",557.69,0,--,"47,058",14.21,"167,302",38.73,"54,047",27.71,"168,185",37.49,"612,373",35.74,"684,199",29.08
