期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2000M05,"3,043,264",2.96,"2,411,560",11.40,"2,617,049",-6.29,"2,211,669",7.13,"382,013",159.94,"155,026",98.16,"6,191",-55.94,"7,782",-40.51,"38,011","1,750.58","37,083",315.92
2000M06,"3,075,787",13.84,"2,468,974",14.11,"2,682,651",6.91,"2,254,431",10.03,"356,750",127.53,"182,588",107.61,"6,437",-43.35,"6,103",-49.47,"29,949",22.67,"25,852",75.40
2000M07,"3,139,579",2.80,"2,461,701",-1.02,"2,741,481",-1.90,"2,232,936",-3.87,"372,996",89.68,"204,572",74.09,"7,620",-31.95,"6,836",-46.25,"17,482",-66.23,"17,357",-48.86
2000M08,"3,178,349",14.77,"2,527,359",9.66,"2,760,318",6.95,"2,278,939",5.54,"392,505",149.98,"220,565",103.24,"6,369",-32.12,"6,529",-40.70,"19,157",-12.75,"21,326",-17.33
2000M09,"2,951,937",1.08,"2,392,023",1.76,"2,628,904",-1.39,"2,164,564",-0.45,"307,214",52.10,"208,824",55.23,"5,169",-42.57,"5,198",-50.12,"10,650",-75.50,"13,437",-57.05
2000M10,"2,840,925",-0.71,"2,410,694",5.61,"2,530,530",-2.00,"2,177,129",2.81,"280,013",11.63,"220,672",63.40,"15,036",90.72,"7,205",-30.57,"15,346",-24.04,"5,688",-70.89
2000M11,"2,982,299",9.59,"2,410,143",9.94,"2,627,301",5.95,"2,170,704",9.47,"333,896",78.23,"218,489",38.04,"6,340",-7.81,"7,513",-21.05,"14,762",-68.76,"13,437",-67.69
2000M12,"2,928,516",-7.10,"2,457,115",-0.37,"2,614,966",-3.72,"2,203,754",0.13,"293,965",-16.97,"227,812",18.64,"5,662",-17.16,"6,174",-31.13,"13,923",-81.52,"19,375",-69.95
2001M01,"2,629,689",-14.03,"2,005,923",-17.20,"2,281,834",-14.29,"1,747,556",-19.32,"328,639",-2.16,"233,206",19.89,"5,184",-27.79,"5,173",-48.54,"14,032",-73.75,"19,988",-61.62
2001M02,"2,541,956",15.43,"2,249,953",24.90,"2,103,291",9.79,"1,663,339",2.37,"420,746",74.65,"576,840",346.76,"4,892",3.25,"4,118",-49.69,"13,027",-67.99,"5,656",-85.63
2001M03,"2,813,341",-8.79,"2,243,876",-10.09,"2,462,769",-11.84,"1,982,365",-13.19,"332,264",34.23,"245,956",53.63,"5,565",-28.72,"5,347",-49.30,"12,743",-63.96,"10,208",-75.46
2001M04,"2,594,562",-10.69,"2,131,689",-5.89,"2,274,909",-9.60,"1,943,123",-6.70,"309,451",-4.48,"180,166",47.78,"4,790",-30.89,"4,781",-41.65,"5,412",-90.63,"3,619",-93.07
2001M05,"2,606,005",-14.37,"2,026,894",-15.95,"2,264,473",-13.47,"1,797,396",-18.73,"329,716",-13.69,"215,643",39.10,"5,106",-17.53,"6,297",-19.08,"6,710",-82.35,"7,558",-79.62
2001M06,"2,624,527",-14.67,"2,025,618",-17.96,"2,280,420",-14.99,"1,778,409",-21.11,"333,629",-6.48,"236,800",29.69,"4,562",-29.13,"4,350",-28.72,"5,916",-80.25,"6,059",-76.56
2001M07,"2,902,728",-7.54,"2,198,843",-10.68,"2,454,240",-10.48,"1,902,792",-14.79,"438,021",17.43,"286,338",39.97,"5,070",-33.46,"4,186",-38.77,"5,397",-69.13,"5,527",-68.16
2001M08,"3,071,500",-3.36,"2,188,848",-13.39,"2,473,016",-10.41,"1,912,010",-16.10,"591,630",50.73,"270,553",22.66,"5,244",-17.66,"4,972",-23.85,"1,610",-91.60,"1,313",-93.84
2001M09,"2,624,239",-11.10,"1,946,469",-18.63,"2,210,795",-15.90,"1,721,484",-20.47,"403,880",31.47,"217,101",3.96,"4,101",-20.66,"3,836",-26.20,"5,463",-48.70,"4,048",-69.87
2001M10,"3,025,698",6.50,"2,118,492",-12.12,"2,656,159",4.96,"1,889,725",-13.20,"337,485",20.52,"209,249",-5.18,"3,516",-76.62,"3,068",-57.42,"28,538",85.96,"16,450",189.21
2001M11,"2,753,529",-7.67,"2,041,945",-15.28,"2,367,251",-9.90,"1,854,475",-14.57,"381,845",14.36,"182,858",-16.31,"3,533",-44.27,"3,212",-57.25,900,-93.90,"1,400",-89.58
2001M12,"2,652,110",-9.44,"2,041,004",-16.93,"2,339,597",-10.53,"1,855,220",-15.82,"300,530",2.23,"179,882",-21.04,"4,789",-15.42,"3,958",-35.89,"7,194",-48.33,"1,944",-89.97
2002M01,"2,974,320",13.11,"2,220,141",10.68,"2,570,812",12.66,"2,008,626",14.94,"391,496",19.13,"200,696",-13.94,"4,373",-15.64,"3,807",-26.41,"7,639",-45.56,"7,012",-64.92
2002M02,"1,791,955",-29.50,"1,366,348",-39.27,"1,505,740",-28.41,"1,228,133",-26.16,"278,576",-33.79,"132,047",-77.11,"3,803",-22.26,"2,511",-39.02,"3,836",-70.55,"3,657",-35.34
2002M03,"2,460,082",-12.56,"1,894,493",-15.57,"2,205,771",-10.44,"1,723,939",-13.04,"244,762",-26.34,"161,322",-34.41,"3,931",-29.36,"3,345",-37.44,"5,618",-55.91,"5,887",-42.33
2002M04,"2,454,286",-5.41,"1,826,217",-14.33,"2,146,106",-5.66,"1,678,223",-13.63,"298,628",-3.50,"137,786",-23.52,"3,582",-25.22,"3,750",-21.56,"5,970",10.31,"6,458",78.45
2002M05,"2,332,871",-10.48,"1,748,974",-13.71,"1,895,821",-16.28,"1,558,085",-13.31,"372,993",13.13,"165,050",-23.46,"4,266",-16.45,"3,891",-38.21,"59,791",791.07,"21,948",190.39
2002M06,"2,351,122",-10.42,"1,760,829",-13.07,"1,819,786",-20.20,"1,524,255",-14.29,"518,317",55.36,"219,564",-7.28,"3,981",-12.74,"3,515",-19.20,"9,038",52.77,"13,495",122.73
2002M07,"2,470,666",-14.88,"1,979,929",-9.96,"2,114,670",-13.84,"1,744,780",-8.30,"301,192",-31.24,"199,194",-30.43,"4,644",-8.40,"4,162",-0.57,"50,160",829.41,"31,793",475.23
2002M08,"2,242,695",-26.98,"1,718,766",-21.48,"1,922,061",-22.28,"1,490,878",-22.03,"288,551",-51.23,"204,440",-24.44,"4,332",-17.39,"3,790",-23.77,"27,751","1,623.66","19,658","1,397.18"
2002M09,"2,267,241",-13.60,"1,777,557",-8.68,"1,875,208",-15.18,"1,498,039",-12.98,"210,871",-47.79,"149,815",-30.99,"4,100",-0.02,"3,549",-7.48,"177,062","3,141.11","126,154","3,016.45"
2002M10,"2,824,820",-6.64,"1,825,502",-13.83,"1,951,485",-26.53,"1,577,057",-16.55,"748,017",121.64,"159,015",-24.01,"3,974",13.03,"3,464",12.91,"121,344",325.20,"85,966",422.59
2002M11,"2,184,000",-20.68,"1,729,535",-15.30,"1,868,094",-21.09,"1,518,703",-18.11,"214,246",-43.89,"115,075",-37.07,"3,873",9.62,"3,678",14.51,"97,787","10,765.22","92,079","6,477.07"
2002M12,"2,456,272",-7.38,"1,946,193",-4.65,"2,014,329",-13.90,"1,680,823",-9.40,"308,626",2.69,"157,282",-12.56,"8,660",80.83,"3,915",-1.09,"124,657","1,632.79","104,173","5,258.69"
2003M01,"2,580,678",-13.23,"1,935,459",-12.82,"2,101,942",-18.24,"1,641,488",-18.28,"328,378",-16.12,"166,373",-17.10,"4,787",9.47,"4,333",13.82,"145,571","1,805.63","123,265","1,657.92"
2003M02,"1,671,167",-6.74,"1,338,222",-2.06,"1,434,576",-4.73,"1,164,166",-5.21,"172,073",-38.23,"101,728",-22.96,"4,131",8.62,"3,360",33.81,"60,387","1,474.22","68,968","1,785.92"
2003M03,"2,130,991",-13.38,"1,729,065",-8.73,"1,843,767",-16.41,"1,517,630",-11.97,"199,856",-18.35,"122,330",-24.17,"4,637",17.96,"4,016",20.06,"82,731","1,372.61","85,089","1,345.37"
