期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
2001M05,"77,749",130.67,"258,633",146.65,"119,709","3,895.63","2,760",-77.93,"4,839",9.98,"2,290",-58.59,"71,245",16.37,"1,889",-71.15,"7,000",-75.37,"14,970","1,051.54",-,-,-,-
2001M06,"98,146",179.36,"272,312",222.32,"118,002","3,955.05",954,-88.84,"6,538",42.13,"3,050",-44.71,"80,517",70.19,"6,995",39.57,600,-95.98,"20,692","1,491.69",200,-,-,-
2001M07,"95,691",121.76,"275,612",85.40,"98,945",357.74,504,-93.43,"6,312",23.76,"2,335",-59.04,"84,174",27.50,"6,251",77.08,"9,000",-71.22,"9,420",488.75,-,-,-,-
2001M08,"69,791",70.38,"182,875",39.09,"48,028",98.92,"2,837",-70.63,"7,042",54.77,"3,050",-33.11,"63,642",10.77,"2,541",-60.05,"3,500",-86.67,700,-46.15,-,-,-,-
2001M09,"69,208",60.16,"211,597",34.39,"71,348",147.50,"1,852",-70.48,"6,842",48.74,"3,050",-37.11,"73,839",25.79,"2,978",-51.00,"5,900",-85.47,"7,660",489.23,-,-,-,-
2001M10,"60,902",17.23,"180,230",12.27,"57,699",55.63,"4,862",13.15,"6,939",61.37,"3,490",267.37,"76,529",43.95,"4,937",-41.99,-,-,"8,550",11.04,-,-,-,-
2001M11,"61,431",-0.98,"161,979",-7.12,"32,705",-22.29,"5,657",65.17,"5,889",40.21,"3,175",142.37,"67,612",70.62,"3,826",-18.07,"8,800",-82.56,"1,800",-87.67,-,-,-,-
2001M12,"78,452",-23.17,"166,851",-18.20,"35,900",-37.44,"4,611",210.51,"7,619",73.16,"2,950",321.43,"58,533",71.91,"6,042",-27.21,"5,400",-80.85,"5,450",-53.30,-,-,-,-
2002M01,"57,679",6.96,"165,461",20.79,"38,378",-34.11,"7,144",236.19,"7,289",50.63,"2,600",15.81,"87,274",50.25,"2,720",25.06,-,-,"12,695",-62.18,-,-,-,-
2002M02,"57,591",32.27,"134,370",-22.33,"23,709",-62.32,"7,410",83.96,"7,852",76.89,"2,400",-39.86,"57,999",-23.07,961,-63.74,-,-,"2,010",-75.56,-,-,-,-
2002M03,"40,112",-13.01,"103,256",-44.24,"18,268",-75.90,"10,575",498.13,"8,402",73.63,"2,932",-3.87,"52,634",-33.68,"1,953",-12.81,100,-96.43,800,-95.21,-,-,-,-
2002M04,"100,981",46.77,"164,895",-15.88,"13,738",-82.63,"12,856",412.19,"7,742",37.29,"3,770",58.74,"65,020",15.41,"4,050",153.13,700,-70.21,"2,610",-73.15,-,-,-,-
2002M05,"97,035",24.81,"174,386",-32.57,"18,721",-84.36,"10,491",280.11,"7,441",53.77,"2,855",24.67,"68,450",-3.92,"2,400",27.05,"6,315",-9.79,"7,830",-47.70,-,-,-,-
2002M06,"85,325",-13.06,"124,809",-54.17,"8,914",-92.45,"17,695","1,754.82","9,822",50.23,"3,200",4.92,"41,958",-47.89,"5,400",-22.80,"10,815","1,702.50","5,730",-72.31,-,-,-,-
2002M07,"90,460",-5.47,"180,558",-34.49,"25,176",-74.56,"13,800","2,638.10","7,842",24.24,"5,260",125.27,"60,335",-28.32,"4,400",-29.61,"21,595",139.94,"1,390",-85.24,-,-,-,-
2002M08,"118,975",70.47,"215,754",17.98,"13,482",-71.93,"15,005",428.90,"7,742",9.94,"2,030",-33.44,"98,825",55.28,"7,360",189.65,"7,515",114.71,"6,390",812.86,-,-,-,-
2002M09,"131,510",90.02,"268,829",27.05,"12,789",-82.08,"19,740",965.87,"6,942",1.46,"3,050",0.00,"102,908",39.37,"5,010",68.23,"43,850",643.22,"1,370",-82.11,-,-,-,-
2002M10,"113,815",86.88,"205,483",14.01,"7,108",-87.68,"9,267",90.60,"8,312",19.79,"1,900",-45.56,"69,114",-9.69,"3,815",-22.73,"28,000",-,"5,884",-31.18,-,-,-,-
