期間,景氣領先指標綜合指數(點)_原始值,景氣領先指標綜合指數(點)_年增率(%),外銷訂單指數(Index 2011=100)_原始值,外銷訂單指數(Index 2011=100)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業及服務業受僱員工淨進入率(%)_原始值,工業及服務業受僱員工淨進入率(%)_年增率(%),核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_原始值,核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_年增率(%),SEMI半導體接單出貨比(比率)_原始值,SEMI半導體接單出貨比(比率)_年增率(%)
1970M07,...,...,...,...,...,...,123,17.14,...,-,...,...,...,-
1970M08,...,...,...,...,...,...,120,15.38,...,-,...,...,...,-
1970M09,...,...,...,...,...,...,117,13.59,...,-,...,...,...,-
1970M10,...,...,...,...,...,...,118,10.28,...,-,...,...,...,-
1970M11,...,...,...,...,...,...,120,6.19,...,-,...,...,...,-
1970M12,...,...,...,...,...,...,122,11.93,...,-,...,...,...,-
1971M01,...,...,...,...,...,...,123,8.85,...,-,...,...,...,-
1971M02,...,...,...,...,...,...,130,8.33,...,-,...,...,...,-
1971M03,...,...,...,...,...,...,126,0.80,...,-,...,...,...,-
1971M04,...,...,...,...,...,...,112,-9.68,...,-,...,...,...,-
1971M05,...,...,...,...,...,...,124,1.64,...,-,...,...,...,-
1971M06,...,...,...,...,...,...,139,16.81,...,-,...,...,...,-
1971M07,...,...,...,...,...,...,144,17.07,...,-,...,...,...,-
1971M08,...,...,...,...,...,...,123,2.50,...,-,...,...,...,-
1971M09,...,...,...,...,...,...,125,6.84,...,-,...,...,...,-
1971M10,...,...,...,...,...,...,123,4.24,...,-,...,...,...,-
1971M11,...,...,...,...,...,...,122,1.67,...,-,...,...,...,-
1971M12,...,...,...,...,...,...,131,7.38,...,-,...,...,...,-
1972M01,...,...,...,...,...,...,129,4.88,...,-,...,...,...,-
1972M02,...,...,...,...,...,...,129,-0.77,...,-,...,...,...,-
1972M03,...,...,...,...,...,...,136,7.94,...,-,...,...,...,-
1972M04,...,...,...,...,...,...,144,28.57,...,-,...,...,...,-
1972M05,...,...,...,...,...,...,163,31.45,...,-,...,...,...,-
1972M06,...,...,...,...,...,...,164,17.99,...,-,...,...,...,-
1972M07,...,...,...,...,...,...,169,17.36,...,-,...,...,...,-
1972M08,...,...,...,...,...,...,161,30.89,...,-,...,...,...,-
1972M09,...,...,...,...,...,...,160,28.00,...,-,...,...,...,-
1972M10,...,...,...,...,...,...,173,40.65,...,-,...,...,...,-
1972M11,...,...,...,...,...,...,194,59.02,...,-,...,...,...,-
1972M12,...,...,...,...,...,...,215,64.12,...,-,...,...,...,-
1973M01,...,...,...,...,...,...,237,83.72,...,-,...,...,...,-
1973M02,...,...,...,...,...,...,262,103.10,...,-,...,...,...,-
1973M03,...,...,...,...,...,...,294,116.18,...,-,...,...,...,-
1973M04,...,...,...,...,...,...,344,138.89,...,-,...,...,...,-
1973M05,...,...,...,...,...,...,333,104.29,...,-,...,...,...,-
1973M06,...,...,...,...,...,...,385,134.76,...,-,...,...,...,-
1973M07,...,...,...,...,...,...,402,137.87,...,-,...,...,...,-
1973M08,...,...,...,...,...,...,386,139.75,...,-,...,...,...,-
1973M09,...,...,...,...,...,...,407,154.38,...,-,...,...,...,-
1973M10,...,...,...,...,...,...,433,150.29,...,-,...,...,...,-
1973M11,...,...,...,...,...,...,475,144.85,...,-,...,...,...,-
1973M12,...,...,...,...,...,...,504,134.42,...,-,...,...,...,-
1974M01,...,...,...,...,...,...,482,103.38,...,-,...,...,...,-
1974M02,...,...,...,...,...,...,438,67.18,...,-,...,...,...,-
1974M03,...,...,...,...,...,...,421,43.20,...,-,...,...,...,-
1974M04,...,...,...,...,...,...,427,24.13,...,-,...,...,...,-
1974M05,...,...,...,...,...,...,379,13.81,...,-,...,...,...,-
1974M06,...,...,...,...,...,...,368,-4.42,...,-,...,...,...,-
1974M07,...,...,...,...,...,...,381,-5.22,...,-,...,...,...,-
1974M08,...,...,...,...,...,...,337,-12.69,...,-,...,...,...,-
1974M09,...,...,...,...,...,...,293,-28.01,...,-,...,...,...,-
1974M10,...,...,...,...,...,...,256,-40.88,...,-,...,...,...,-
1974M11,...,...,...,...,...,...,209,-56.00,...,-,...,...,...,-
1974M12,...,...,...,...,...,...,203,-59.72,...,-,...,...,...,-
1975M01,...,...,...,...,...,...,220,-54.36,...,-,...,...,...,-
1975M02,...,...,...,...,...,...,267,-39.04,...,-,...,...,...,-
1975M03,...,...,...,...,...,...,262,-37.77,...,-,...,...,...,-
1975M04,...,...,...,...,...,...,266,-37.70,...,-,...,...,...,-
1975M05,...,...,...,...,...,...,317,-16.36,...,-,...,...,...,-
1975M06,...,...,...,...,...,...,388,5.43,...,-,...,...,...,-
1975M07,...,...,...,...,...,...,361,-5.25,...,-,...,...,...,-
1975M08,...,...,...,...,...,...,380,12.76,...,-,...,...,...,-
1975M09,...,...,...,...,...,...,370,26.28,...,-,...,...,...,-
1975M10,...,...,...,...,...,...,347,35.55,...,-,...,...,...,-
1975M11,...,...,...,...,...,...,323,54.55,...,-,...,...,...,-
1975M12,...,...,...,...,...,...,309,52.22,...,-,...,...,...,-
1976M01,...,...,...,...,...,...,362,64.55,...,-,...,...,...,-
1976M02,...,...,...,...,...,...,373,39.70,...,-,...,...,...,-
1976M03,...,...,...,...,...,...,392,49.62,...,-,...,...,...,-
1976M04,...,...,...,...,...,...,400,50.38,...,-,...,...,...,-
1976M05,...,...,...,...,...,...,369,16.40,...,-,...,...,...,-
1976M06,...,...,...,...,...,...,370,-4.64,...,-,...,...,...,-
1976M07,...,...,...,...,...,...,328,-9.14,...,-,...,...,...,-
1976M08,...,...,...,...,...,...,318,-16.32,...,-,...,...,...,-
1976M09,...,...,...,...,...,...,307,-17.03,...,-,...,...,...,-
1976M10,...,...,...,...,...,...,276,-20.46,...,-,...,...,...,-
1976M11,...,...,...,...,...,...,297,-8.05,...,-,...,...,...,-
1976M12,...,...,...,...,...,...,324,4.85,...,-,...,...,...,-
1977M01,...,...,...,...,...,...,383,5.80,...,-,...,...,...,-
1977M02,...,...,...,...,...,...,365,-2.14,...,-,...,...,...,-
1977M03,...,...,...,...,...,...,333,-15.05,...,-,...,...,...,-
1977M04,...,...,...,...,...,...,323,-19.25,...,-,...,...,...,-
1977M05,...,...,...,...,...,...,331,-10.30,...,-,...,...,...,-
1977M06,...,...,...,...,...,...,339,-8.38,...,-,...,...,...,-
1977M07,...,...,...,...,...,...,330,0.61,...,-,...,...,...,-
1977M08,...,...,...,...,...,...,339,6.60,...,-,...,...,...,-
1977M09,...,...,...,...,...,...,375,22.15,...,-,...,...,...,-
1977M10,...,...,...,...,...,...,393,42.39,...,-,...,...,...,-
1977M11,...,...,...,...,...,...,408,37.37,...,-,...,...,...,-
1977M12,...,...,...,...,...,...,430,32.72,...,-,...,...,...,-
1978M01,...,...,...,...,...,...,471,22.98,...,-,...,...,...,-
1978M02,...,...,...,...,...,...,487,33.42,...,-,...,...,...,-
1978M03,...,...,...,...,...,...,473,42.04,...,-,...,...,...,-
1978M04,...,...,...,...,...,...,477,47.68,...,-,...,...,...,-
1978M05,...,...,...,...,...,...,539,62.84,...,-,...,...,...,-
1978M06,...,...,...,...,...,...,533,57.23,...,-,...,...,...,-
1978M07,...,...,...,...,...,...,574,73.94,...,-,...,...,...,-
1978M08,...,...,...,...,...,...,601,77.29,...,-,...,...,...,-
1978M09,...,...,...,...,...,...,660,76.00,...,-,...,...,...,-
1978M10,...,...,...,...,...,...,673,71.25,...,-,...,...,...,-
