期間,國小_平均,國小_男,國小_女,國中_平均,國中_男,國中_女,高中_平均,高中_男,高中_女,高職_平均,高職_男,高職_女
2003,99.44,99.44,99.44,95.74,94.74,96.82,82.20,80.78,83.60,56.02,50.95,61.04
2004,99.42,99.45,99.39,96.03,95.26,96.86,86.01,84.98,87.00,62.72,59.39,66.32
2005,99.31,99.21,99.41,94.88,93.52,96.38,88.44,87.28,89.56,66.61,63.90,69.71
2006,99.54,99.68,99.39,96.23,95.66,96.86,91.13,90.48,91.75,69.79,67.61,72.34
2007,99.66,99.63,99.69,96.26,95.46,97.12,93.61,93.07,94.12,72.96,71.50,74.64
2008,99.78,99.74,99.82,95.38,94.76,96.06,95.34,94.76,95.91,76.47,74.95,78.28
2009,99.85,99.93,99.76,97.63,97.42,97.86,95.56,94.88,96.23,76.91,75.27,78.90
2010,99.89,99.92,99.85,98.15,97.83,98.50,95.24,94.45,96.01,79.64,78.02,81.62
2011,99.91,99.91,99.90,97.67,97.32,98.04,94.67,93.59,95.72,81.91,80.46,83.64
2012,99.91,99.96,99.85,99.15,98.99,99.33,94.75,93.39,96.09,83.51,81.54,85.82
