期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006Q1,0,--,"7,015",-39.21,"12,827",-28.02,"21,063",-8.74,21,--,743,-29.91,124,"6,100.00",0,--,"41,793",-21.88
2006Q2,0,--,"20,309",76.39,"9,114",-21.70,"16,060",-10.53,24,--,"1,405",336.34,296,--,270,"2,900.00","47,478",14.58
2006Q3,0,--,"23,416",103.94,"7,864",-36.07,"10,598",-50.77,18,--,"2,576",351.93,403,--,0,--,"44,875",-2.19
2006Q4,0,--,"24,882",209.90,"7,500",-34.33,"8,519",-57.05,0,--,"1,210",41.85,414,--,0,--,"42,525",5.94
2007Q1,0,--,"89,553","1,176.59","6,903",-46.18,"8,352",-60.35,0,-100.00,703,-5.38,203,63.71,46,--,"105,760",153.06
2007Q2,0,--,"91,951",352.76,"9,780",7.31,"10,608",-33.95,"7,237","30,054.17",996,-29.11,"15,399","5,102.36","13,634","4,949.63","149,605",215.10
2007Q3,0,--,"23,645",0.98,"5,901",-24.96,"6,492",-38.74,"2,771","15,294.44",832,-67.70,"9,007","2,134.99","10,385",--,"59,033",31.55
2007Q4,0,--,"21,741",-12.62,"7,477",-0.31,"8,749",2.70,701,--,785,-35.12,"6,990","1,588.41","7,872",--,"54,315",27.72
2008Q1,27,--,"20,453",-77.16,"6,134",-11.14,"7,583",-9.21,"4,221",--,"1,148",63.30,"12,319","5,968.47","9,007","19,480.43","60,892",-42.42
2008Q2,0,--,"19,401",-78.90,"5,984",-38.81,"7,890",-25.62,454,-93.73,697,-30.02,"8,417",-45.34,"11,891",-12.78,"54,734",-63.41
2008Q3,0,--,"14,165",-40.09,"5,994",1.58,"7,587",16.87,0,-100.00,"1,435",72.48,"9,963",10.61,"6,382",-38.55,"45,526",-22.88
2008Q4,0,--,"13,457",-38.10,"7,487",0.13,"7,404",-15.37,0,-100.00,408,-48.03,"4,580",-34.48,"2,815",-64.24,"36,151",-33.44
2009Q1,0,-100.00,"12,295",-39.89,"6,557",6.90,"5,846",-22.91,313,-92.58,288,-74.91,"5,538",-55.05,"3,067",-65.95,"33,904",-44.32
2009Q2,0,--,"9,915",-48.89,"6,216",3.88,"5,557",-29.57,0,-100.00,247,-64.56,"6,859",-18.51,"3,248",-72.69,"32,042",-41.46
2009Q3,0,--,"9,344",-34.03,"4,636",-22.66,"3,857",-49.16,"3,205",--,334,-76.72,"10,321",3.59,"3,523",-44.80,"35,220",-22.64
2009Q4,0,--,"8,480",-36.98,"4,310",-42.43,"3,676",-50.35,"4,869",--,49,-87.99,"20,123",339.37,"12,115",330.37,"53,622",48.33
