期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2006M08,404.97,-4.34,11.70,-,570.34,10.16,16.50,-,"2,406.40",-1.69,69.50,-,82.26,-1.02,2.40,-
2006M09,364.35,6.43,11.50,-,562.15,21.73,17.80,-,"2,154.69",14.32,68.00,-,85.29,0.32,2.70,-
2006M10,327.42,-4.14,9.80,-,592.49,17.97,17.70,-,"2,337.57",19.82,69.90,-,86.07,13.44,2.60,-
2006M11,430.56,8.23,9.10,-,720.47,35.35,15.30,-,"3,456.75",39.02,73.40,-,99.60,16.26,2.10,-
2006M12,601.35,-20.58,13.00,-,620.56,-12.91,13.40,-,"3,334.12",-0.95,72.00,-,74.62,-13.44,1.60,-
2007M01,688.85,35.65,13.00,-,808.22,25.46,15.30,-,"3,673.83",17.33,69.50,-,118.22,16.91,2.20,-
2007M02,298.58,-21.96,13.60,-,502.69,-16.96,22.80,-,"1,331.02",-36.53,60.40,-,70.80,-27.21,3.20,-
2007M03,721.06,50.93,13.90,-,940.89,36.54,18.10,-,"3,435.25",18.53,66.20,-,95.81,-5.82,1.80,-
2007M04,563.75,15.47,13.20,-,710.23,5.24,16.70,-,"2,912.07",-15.68,68.30,-,77.28,-15.68,1.80,-
2007M05,562.11,-0.30,13.30,-,820.87,-5.90,19.40,-,"2,744.48",-32.09,64.90,-,99.65,-12.95,2.40,-
2007M06,714.19,60.11,11.90,-,"1,092.13",47.27,18.30,-,"4,033.28",47.53,67.40,-,141.44,51.92,2.40,-
2007M07,"1,118.67",225.59,11.20,-,"1,360.47",163.83,13.60,-,"7,356.86",254.89,73.70,-,149.22,147.05,1.50,-
2007M08,888.94,119.51,12.40,-,"1,257.53",120.49,17.60,-,"4,844.51",101.32,67.80,-,152.43,85.30,2.10,-
2007M09,650.18,78.45,13.10,-,836.16,48.74,16.80,-,"3,396.09",57.61,68.40,-,85.77,0.56,1.70,-
2007M10,925.99,182.81,13.20,-,"1,261.24",112.87,18.00,-,"4,682.16",100.30,66.80,-,144.49,67.87,2.10,-
2007M11,811.79,88.54,13.90,-,"1,303.69",80.95,22.30,-,"3,572.45",3.35,61.10,-,154.33,54.95,2.60,-
2007M12,704.60,17.17,16.00,-,827.28,33.31,18.80,-,"2,750.66",-17.50,62.50,-,117.17,57.02,2.70,-
2008M01,875.76,27.13,14.20,-,"1,481.68",83.33,24.10,-,"3,627.12",-1.27,59.00,-,166.48,40.82,2.70,-
2008M02,515.97,72.81,14.10,-,836.28,66.36,22.90,-,"2,209.38",65.99,60.50,-,89.09,25.83,2.40,-
2008M03,911.10,26.36,14.10,-,"1,464.29",55.63,22.70,-,"3,919.29",14.09,60.70,-,162.60,69.71,2.50,-
2008M04,917.00,62.66,13.80,-,"1,241.14",74.75,18.70,-,"4,336.14",48.90,65.20,-,153.36,98.45,2.30,-
2008M05,842.50,49.88,14.20,-,"1,165.39",41.97,19.60,-,"3,830.46",39.57,64.40,-,113.09,13.49,1.90,-
2008M06,607.63,-14.92,14.90,-,973.24,-10.89,23.90,-,"2,401.10",-40.47,58.90,-,95.81,-32.26,2.30,-
2008M07,621.92,-44.41,14.00,-,983.20,-27.73,22.10,-,"2,738.17",-62.78,61.50,-,112.62,-24.53,2.50,-
2008M08,541.54,-39.08,13.70,-,865.51,-31.17,21.90,-,"2,440.63",-49.62,61.80,-,99.26,-34.88,2.50,-
2008M09,475.24,-26.91,12.50,-,940.58,12.49,24.70,-,"2,270.08",-33.16,59.70,-,115.77,34.98,3.00,-
2008M10,381.27,-58.83,15.00,-,677.62,-46.27,26.70,-,"1,395.12",-70.20,55.10,-,79.49,-44.99,3.10,-
2008M11,331.67,-59.14,14.70,-,529.41,-59.39,23.50,-,"1,395.49",-60.94,61.80,-,0.85,-99.45,0.00,-
2008M12,344.83,-51.06,12.30,-,502.91,-39.21,18.00,-,"1,951.46",-29.05,69.70,-,1.00,-99.15,0.00,-
2009M01,201.92,-76.94,11.70,-,357.28,-75.89,20.70,-,"1,166.46",-67.84,67.60,-,0.38,-99.77,0.00,-
2009M02,311.14,-39.70,11.70,-,543.68,-34.99,20.50,-,"1,799.52",-18.55,67.80,-,0.57,-99.36,0.00,-
2009M03,521.78,-42.73,11.10,-,712.26,-51.36,15.20,-,"3,450.90",-11.95,73.60,-,1.50,-99.08,0.00,-
2009M04,702.18,-23.43,11.10,-,942.29,-24.08,14.90,-,"4,693.23",8.24,74.00,-,2.45,-98.40,0.00,-
2009M05,751.80,-10.77,10.70,-,"1,082.91",-7.08,15.40,-,"5,176.97",35.15,73.80,-,2.38,-97.90,0.00,-
2009M06,625.84,3.00,10.80,-,991.11,1.84,17.20,-,"4,155.11",73.05,72.00,-,2.01,-97.90,0.00,-
2009M07,717.99,15.45,11.70,-,922.19,-6.21,15.00,-,"4,493.70",64.11,73.20,-,2.60,-97.69,0.00,-
2009M08,544.58,0.56,12.80,-,777.35,-10.19,18.30,-,"2,928.02",19.97,68.90,-,1.51,-98.48,0.00,-
2009M09,683.99,43.93,12.70,-,885.51,-5.85,16.50,-,"3,793.43",67.11,70.70,-,2.09,-98.19,0.00,-
2009M10,656.53,72.20,11.60,-,"1,020.00",50.53,18.10,-,"3,964.40",184.16,70.30,-,2.06,-97.41,0.00,-
2009M11,553.20,66.79,11.90,-,805.51,52.15,17.40,-,"3,274.88",134.68,70.60,-,3.84,351.76,0.10,-
2009M12,714.43,107.18,11.90,-,787.87,56.66,13.10,-,"4,502.71",130.74,75.00,-,2.19,119.00,0.00,-
2010M01,751.94,272.40,12.40,-,912.50,155.40,15.00,-,"4,416.65",278.64,72.60,-,2.09,450.00,0.00,-
2010M02,333.50,7.19,12.50,-,598.21,10.03,22.50,-,"1,730.21",-3.85,65.00,-,0.75,31.58,0.00,-
2010M03,674.63,29.29,14.30,-,863.54,21.24,18.20,-,"3,192.93",-7.48,67.50,-,1.42,-5.33,0.00,-
2010M04,668.82,-4.75,12.80,-,973.64,3.33,18.60,-,"3,594.54",-23.41,68.60,-,1.99,-18.78,0.00,-
2010M05,518.56,-31.02,12.80,-,960.07,-11.34,23.70,-,"2,573.35",-50.29,63.50,-,1.43,-39.92,0.00,-
2010M06,414.20,-33.82,12.10,-,836.21,-15.63,24.50,-,"2,159.80",-48.02,63.30,-,1.03,-48.76,0.00,-
2010M07,619.45,-13.72,13.50,-,889.98,-3.49,19.40,-,"3,078.71",-31.49,67.10,-,1.89,-27.31,0.00,-
