期間,出口總值_原始值,出口總值_年增率(%),出口總值_原始值,出口總值_年增率(%),進口總值_原始值,進口總值_年增率(%),進口總值_原始值,進口總值_年增率(%)
2001,"4,254,285",-10.04,"126,314.3",-16.87,"3,644,181",-17.01,"107,970.6",-23.28
2002,"4,670,404",9.78,"135,316.7",7.13,"3,918,415",7.53,"113,245.1",4.89
2003,"5,172,958",10.76,"150,600.5",11.29,"4,409,978",12.54,"128,010.1",13.04
2004,"6,097,235",17.87,"182,370.4",21.10,"5,656,672",28.27,"168,757.6",31.83
2005,"6,374,496",4.55,"198,431.7",8.81,"5,877,163",3.90,"182,614.4",8.21
2006,"7,279,318",14.19,"224,017.3",12.89,"6,604,337",12.37,"202,698.1",11.00
2007,"8,087,934",11.11,"246,676.9",10.12,"7,211,791",9.20,"219,251.6",8.17
2008,"8,010,379",-0.96,"255,628.7",3.63,"7,551,084",4.70,"240,447.8",9.67
2009,"6,708,884",-16.25,"203,674.6",-20.32,"5,757,178",-23.76,"174,370.5",-27.48
2010,"8,656,832",29.04,"274,600.5",34.82,"7,943,487",37.98,"251,236.4",44.08
2011,"9,041,593",4.44,"308,257.3",12.26,"8,280,371",4.24,"281,437.5",12.02
2012,"8,899,965",-1.57,"301,180.9",-2.30,"8,021,456",-3.13,"270,472.6",-3.90
2013,"9,042,805",1.60,"305,441.2",1.41,"8,015,617",-0.07,"269,896.8",-0.21
