期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
1972,-,--,-,--,-,--,"329,016",5.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1973,-,--,-,--,-,--,"335,558",1.99,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1974,-,--,-,--,-,--,"350,362",4.41,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1975,-,--,-,--,-,--,"367,053",4.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1976,-,--,-,--,-,--,"377,928",2.96,...,...,...,...,"1,709,847",...,...,...,...,...,...,...,...,...,...,...
1977,-,--,-,--,-,--,"388,531",2.81,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1978,-,--,-,--,-,--,"399,306",2.77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1979,-,--,-,--,-,--,"408,415",2.28,...,...,...,...,"2,283,516",...,...,...,...,...,...,...,...,...,...,...
1980,-,--,-,--,-,--,"435,455",6.62,...,...,...,...,"2,538,125",11.15,...,...,...,...,...,...,...,...,...,...
1981,-,--,-,--,-,--,"462,463",6.20,...,...,...,...,"2,781,512",9.59,...,...,...,...,...,...,...,...,...,...
1982,-,--,-,--,-,--,"476,479",3.03,...,...,...,...,"2,950,119",6.06,...,...,...,...,...,...,...,...,...,...
1983,-,--,-,--,-,--,"487,102",2.23,...,...,...,...,"3,322,977",12.64,...,...,...,...,...,...,...,...,...,...
1984,-,--,-,--,-,--,"504,172",3.50,...,...,...,...,"3,693,276",11.14,...,...,...,...,...,...,...,...,...,...
1985,-,--,-,--,-,--,"506,892",0.54,...,...,...,...,"4,049,472",9.64,...,...,...,...,"100,739",...,...,...,...,...
