期間,自來水水質_檢驗件數,自來水水質_檢驗不合格件數,自來水水質_檢驗項次數,自來水水質_檢驗不合格項次數,簡易自來水水質_檢驗件數,簡易自來水水質_檢驗不合格件數,簡易自來水水質_檢驗項次數,簡易自來水水質_檢驗不合格項次數
2011M01,900,2,"7,822",2,14,0,142,0
2011M02,806,1,"6,863",2,28,0,239,0
2011M03,886,0,"7,913",0,13,0,147,0
2011M04,847,3,"7,741",5,19,0,150,0
2011M05,965,7,"10,186",7,29,0,380,0
2011M06,905,3,"9,015",3,22,0,329,0
2011M07,831,4,"7,267",4,16,0,144,0
2011M08,854,5,"7,209",6,23,0,177,0
2011M09,"1,015",1,"8,792",1,35,0,466,0
2011M10,898,4,"7,951",4,21,0,229,0
2011M11,960,6,"7,894",8,40,0,438,0
2011M12,806,0,"7,047",0,13,0,151,0
2012M01,773,1,"6,329",1,9,0,67,0
2012M02,825,0,"6,996",0,31,0,225,0
2012M03,821,2,"7,738",2,18,0,110,0
2012M04,934,5,"9,296",7,14,0,104,0
2012M05,954,5,"9,769",8,38,0,299,0
2012M06,912,0,"8,201",0,15,0,122,0
2012M07,954,5,"8,380",7,20,0,127,0
2012M08,921,2,"7,420",5,33,0,219,0
2012M09,872,5,"7,720",7,15,0,96,0
2012M10,886,3,"8,106",3,23,0,186,0
2012M11,821,0,"6,751",0,28,0,190,0
2012M12,769,0,"6,855",0,17,0,113,0
2013M01,822,1,"7,259",1,12,0,105,0
2013M02,797,4,"6,567",5,17,0,116,0
2013M03,842,2,"7,807",2,28,0,220,0
2013M04,"1,009",0,"9,532",0,13,0,118,0
2013M05,895,1,"9,052",1,17,0,215,0
2013M06,861,2,"8,161",2,25,0,177,0
2013M07,899,2,"7,305",3,16,0,152,0
2013M08,872,3,"7,051",3,11,0,94,0
2013M09,935,0,"8,244",0,31,0,221,0
2013M10,920,0,"7,876",0,23,0,206,0
2013M11,885,0,"7,378",0,18,0,136,0
2013M12,806,0,"7,522",0,25,0,177,0
2014M01,823,1,"6,812",1,13,0,111,0
2014M02,761,3,"6,220",3,14,0,103,0
2014M03,792,0,"7,389",0,32,0,223,0
2014M04,969,4,"8,828",4,21,4,168,4
2014M05,956,4,"8,697",6,20,0,168,0
