期間,五等分位所得差距倍數-政府移轉收支前,五等分位所得差距倍數-加來自政府移轉收入,五等分位所得差距倍數-實際(目前),移轉收支效果-從政府移轉收入,移轉收支效果-對政府移轉支出,移轉收支效果-合計
2004,7.413,6.173,6.027,1.240,0.150,1.390
2005,7.447,6.183,6.036,1.260,0.150,1.411
2006,7.454,6.160,6.006,1.294,0.154,1.448
2007,7.523,6.119,5.981,1.404,0.138,1.542
2008,7.732,6.203,6.046,1.529,0.158,1.687
2009,8.219,6.473,6.343,1.746,0.130,1.876
2010,7.719,6.301,6.194,1.417,0.107,1.525
2011,7.753,6.321,6.166,1.432,0.155,1.587
2012,7.703,6.285,6.126,1.418,0.159,1.577
2013,7.529,6.220,6.084,1.309,0.136,1.445
