期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2003M03,"17,567,184",2.30,"24,260",1.11,"2,468",-7.91,"21,792",2.24,"154,884",-0.51,"81,786",0.70,"73,098",-1.82,"4,860,000",1.91,"4,755,701",2.01,"104,299",-2.51,"104,299",-2.51,"679,858",3.07,"669,774",3.01,"10,084",7.47,"51,154",0.91,"11,797,028",2.47,"7,190,531",3.84,"4,606,497",0.40
2003M04,"17,596,468",2.37,"24,261",1.16,"2,452",-7.89,"21,809",2.29,"155,086",-0.14,"81,887",0.98,"73,199",-1.37,"4,866,183",2.00,"4,762,324",2.10,"103,859",-2.67,"103,859",-2.67,"681,970",3.14,"671,850",3.08,"10,120",6.91,"51,078",0.68,"11,817,890",2.52,"7,210,670",3.92,"4,607,220",0.41
2003M05,"17,644,900",2.42,"24,328",1.91,"2,421",-8.64,"21,907",3.23,"155,353",0.10,"82,134",1.21,"73,219",-1.11,"4,881,697",2.04,"4,778,163",2.15,"103,534",-2.82,"103,534",-2.82,"684,854",3.15,"674,747",3.10,"10,107",6.28,"51,184",0.60,"11,847,484",2.57,"7,236,555",3.98,"4,610,929",0.44
2003M06,"17,695,136",2.46,"24,510",2.18,"2,409",-8.78,"22,101",3.54,"155,612",0.22,"82,249",1.15,"73,363",-0.81,"4,896,647",2.08,"4,793,515",2.19,"103,132",-3.05,"103,132",-3.05,"687,061",3.19,"676,892",3.14,"10,169",6.48,"51,334",0.77,"11,879,972",2.62,"7,264,368",4.02,"4,615,604",0.49
2003M07,"17,750,170",2.53,"24,648",2.73,"2,377",-9.59,"22,271",4.25,"155,514",0.24,"82,156",1.01,"73,358",-0.61,"4,913,722",2.20,"4,810,710",2.32,"103,012",-3.09,"103,012",-3.09,"688,925",3.20,"678,717",3.16,"10,208",6.31,"51,632",1.16,"11,915,729",2.66,"7,295,683",4.04,"4,620,046",0.55
2003M08,"17,799,150",2.52,"24,712",3.92,"2,363",-10.36,"22,349",5.70,"155,690",0.24,"82,316",0.99,"73,374",-0.59,"4,924,688",2.18,"4,822,144",2.31,"102,544",-3.50,"102,544",-3.50,"690,244",3.07,"680,019",3.03,"10,225",5.53,"52,075",1.77,"11,951,741",2.67,"7,326,792",4.02,"4,624,949",0.60
2003M09,"17,853,306",2.57,"24,814",3.63,"2,359",-9.96,"22,455",5.30,"155,716",0.22,"82,380",0.98,"73,336",-0.62,"4,937,806",2.34,"4,835,492",2.47,"102,314",-3.41,"102,314",-3.41,"692,492",3.12,"682,244",3.10,"10,248",4.92,"52,070",1.46,"11,990,408",2.66,"7,361,139",4.03,"4,629,269",0.56
2003M10,"17,876,542",2.53,"24,995",4.38,"2,349",-10.24,"22,646",6.17,"155,796",0.41,"82,532",1.10,"73,264",-0.35,"4,955,178",2.70,"4,853,184",2.84,"101,994",-3.43,"101,994",-3.43,"695,299",3.35,"685,063",3.34,"10,236",4.37,"52,205",2.05,"11,993,069",2.44,"7,374,090",3.82,"4,618,979",0.30
2003M11,"17,894,423",2.45,"25,097",4.95,"2,346",-10.32,"22,751",6.83,"155,845",0.38,"82,652",1.01,"73,193",-0.33,"4,971,795",2.87,"4,870,183",3.02,"101,612",-3.68,"101,612",-3.68,"697,878",3.39,"687,639",3.37,"10,239",4.43,"52,077",1.66,"11,991,731",2.25,"7,382,068",3.66,"4,609,663",0.08
2003M12,"17,906,957",2.53,"25,079",4.27,"2,326",-9.84,"22,753",5.96,"155,805",0.43,"82,649",1.02,"73,156",-0.23,"4,989,336",3.39,"4,888,050",3.55,"101,286",-3.48,"101,286",-3.48,"700,978",3.77,"690,750",3.76,"10,228",4.21,"52,002",0.92,"11,983,757",2.14,"7,386,784",3.58,"4,596,973",-0.10
2004M01,"17,951,937",2.53,"25,262",4.90,"2,308",-7.53,"22,954",6.33,"155,958",0.55,"82,861",1.24,"73,097",-0.22,"5,016,882",3.44,"4,915,538",3.60,"101,344",-3.59,"101,344",-3.59,"702,758",3.67,"692,529",3.71,"10,229",1.33,"51,930",1.03,"11,999,147",2.12,"7,405,281",3.59,"4,593,866",-0.18
2004M02,"17,967,139",2.41,"25,330",4.57,"2,303",-7.66,"23,027",5.97,"155,861",0.41,"82,749",0.95,"73,112",-0.20,"5,018,753",3.26,"4,917,979",3.42,"100,774",-4.01,"100,774",-4.01,"703,698",3.63,"693,463",3.67,"10,235",1.37,"51,877",1.19,"12,011,620",2.02,"7,421,139",3.52,"4,590,481",-0.32
2004M03,"18,002,305",2.48,"25,328",4.40,"2,294",-7.05,"23,034",5.70,"155,766",0.57,"82,761",1.19,"73,005",-0.13,"5,029,902",3.50,"4,929,539",3.66,"100,363",-3.77,"100,363",-3.77,"705,893",3.83,"695,612",3.86,"10,281",1.95,"51,691",1.05,"12,033,725",2.01,"7,445,473",3.55,"4,588,252",-0.40
2004M04,"18,034,555",2.49,"25,333",4.42,"2,283",-6.89,"23,050",5.69,"155,781",0.45,"82,755",1.06,"73,026",-0.24,"5,040,949",3.59,"4,941,039",3.75,"99,910",-3.80,"99,910",-3.80,"709,208",3.99,"698,918",4.03,"10,290",1.68,"51,738",1.29,"12,051,546",1.98,"7,466,571",3.55,"4,584,975",-0.48
2004M05,"18,085,551",2.50,"25,542",4.99,"2,280",-5.82,"23,262",6.19,"156,117",0.49,"83,005",1.06,"73,112",-0.15,"5,058,838",3.63,"4,959,456",3.79,"99,382",-4.01,"99,382",-4.01,"712,830",4.08,"702,407",4.10,"10,423",3.13,"51,818",1.24,"12,080,406",1.97,"7,495,020",3.57,"4,585,386",-0.55
2004M06,"18,142,821",2.53,"25,538",4.19,"2,276",-5.52,"23,262",5.25,"156,396",0.50,"83,262",1.23,"73,134",-0.31,"5,078,351",3.71,"4,979,178",3.87,"99,173",-3.84,"99,173",-3.84,"715,540",4.15,"705,123",4.17,"10,417",2.44,"51,932",1.16,"12,115,064",1.98,"7,528,335",3.63,"4,586,729",-0.63
2004M07,"18,215,069",2.62,"25,677",4.17,"2,267",-4.63,"23,410",5.11,"156,473",0.62,"83,295",1.39,"73,178",-0.25,"5,102,472",3.84,"5,003,563",4.01,"98,909",-3.98,"98,909",-3.98,"718,369",4.27,"707,890",4.30,"10,479",2.65,"51,989",0.69,"12,160,089",2.05,"7,566,696",3.71,"4,593,393",-0.58
2004M08,"18,269,895",2.64,"25,631",3.72,"2,252",-4.70,"23,379",4.61,"156,614",0.59,"83,382",1.30,"73,232",-0.19,"5,113,651",3.84,"5,014,938",4.00,"98,713",-3.74,"98,713",-3.74,"720,225",4.34,"709,704",4.37,"10,521",2.89,"52,324",0.48,"12,201,450",2.09,"7,599,896",3.73,"4,601,554",-0.51
2004M09,"18,364,797",2.86,"25,687",3.52,"2,241",-5.00,"23,446",4.41,"156,673",0.61,"83,492",1.35,"73,181",-0.21,"5,129,640",3.89,"5,031,100",4.05,"98,540",-3.69,"98,540",-3.69,"722,488",4.33,"711,876",4.34,"10,612",3.55,"52,316",0.47,"12,277,993",2.40,"7,662,532",4.09,"4,615,461",-0.30
2004M10,"18,422,766",3.06,"25,556",2.24,"2,219",-5.53,"23,337",3.05,"156,815",0.65,"83,628",1.33,"73,187",-0.11,"5,148,053",3.89,"5,049,787",4.05,"98,266",-3.66,"98,266",-3.66,"725,267",4.31,"714,615",4.31,"10,652",4.06,"52,370",0.32,"12,314,705",2.68,"7,699,498",4.41,"4,615,207",-0.08
2004M11,"18,465,223",3.19,"25,570",1.88,"2,212",-5.71,"23,358",2.67,"156,876",0.66,"83,729",1.30,"73,147",-0.06,"5,167,363",3.93,"5,069,221",4.09,"98,142",-3.41,"98,142",-3.41,"727,554",4.25,"716,875",4.25,"10,679",4.30,"52,281",0.39,"12,335,579",2.87,"7,725,492",4.65,"4,610,087",0.01
2004M12,"18,500,658",3.32,"25,628",2.19,"2,196",-5.59,"23,432",2.98,"157,156",0.87,"83,912",1.53,"73,244",0.12,"5,169,733",3.62,"5,071,981",3.76,"97,752",-3.49,"97,752",-3.49,"728,624",3.94,"717,915",3.93,"10,709",4.70,"52,653",1.25,"12,366,864",3.20,"7,759,650",5.05,"4,607,214",0.22
2005M01,"18,557,796",3.37,"25,737",1.88,"2,193",-4.98,"23,544",2.57,"157,257",0.83,"83,983",1.35,"73,274",0.24,"5,203,918",3.73,"5,105,932",3.87,"97,986",-3.31,"97,986",-3.31,"730,695",3.98,"719,977",3.96,"10,718",4.78,"52,608",1.31,"12,387,581",3.24,"7,782,487",5.09,"4,605,094",0.24
