期間,災害救助-救助受災人數-臨時收容(人)_原始值,災害救助-救助受災人數-臨時收容(人)_年增率(%),災害救助-救助受災人數-死亡(人)_原始值,災害救助-救助受災人數-死亡(人)_年增率(%),災害救助-救助受災人數-失蹤(人)_原始值,災害救助-救助受災人數-失蹤(人)_年增率(%),災害救助-救助受災人數-重傷(人)_原始值,災害救助-救助受災人數-重傷(人)_年增率(%),災害救助-救助受災人數-其他(人)_原始值,災害救助-救助受災人數-其他(人)_年增率(%),災害救助-安遷救助(房屋損毀)-戶數(戶)_原始值,災害救助-安遷救助(房屋損毀)-戶數(戶)_年增率(%),災害救助-安遷救助(房屋損毀)-人數(人)_原始值,災害救助-安遷救助(房屋損毀)-人數(人)_年增率(%),災害救助-財務受損影響生計者(戶)_原始值,災害救助-財務受損影響生計者(戶)_年增率(%),災害救助-總救助金額(元)_原始值,災害救助-總救助金額(元)_年增率(%),急難現金救助-計(人次)_原始值,急難現金救助-計(人次)_年增率(%),急難現金救助-男(人次)_原始值,急難現金救助-男(人次)_年增率(%),急難現金救助-女(人次)_原始值,急難現金救助-女(人次)_年增率(%),急難現金救助-金額(元)_原始值,急難現金救助-金額(元)_年增率(%)
2007Q3,249,344.64,25,-34.21,1,--,2,-60.00,0,-100.00,187,34.53,485,40.17,"4,930",22.85,"44,735,985",15.86,"11,197",14.84,"6,608",11.28,"4,589",20.38,"63,447,365",9.50
2007Q4,7,-86.54,43,59.26,0,--,2,--,0,-100.00,215,-56.74,566,-61.81,"9,648",600.65,"62,995,000",195.70,"13,451",45.42,"7,951",37.61,"5,500",58.41,"78,129,197",41.13
2008Q1,63,"2,000.00",15,-11.76,0,--,3,-50.00,88,633.33,108,-41.62,317,-40.75,87,31.82,"9,926,740",-33.88,"10,894",6.31,"6,410",6.07,"4,484",6.66,"63,846,326",11.35
2008Q2,0,-100.00,18,5.88,0,--,0,--,0,-100.00,79,-14.13,256,0.39,60,-50.41,"9,370,000",-4.49,"11,499",-2.31,"6,916",-0.14,"4,583",-5.41,"68,918,088",-0.89
2008Q3,968,288.76,49,96.00,6,500.00,0,-100.00,0,--,207,10.70,525,8.25,"14,427",192.64,"124,617,000",178.56,"11,988",7.06,"7,165",8.43,"4,823",5.10,"70,583,673",11.25
2008Q4,5,-28.57,29,-32.56,7,--,1,-50.00,680,--,254,18.14,626,10.60,"2,741",-71.59,"44,786,536",-28.90,"13,693",1.80,"8,229",3.50,"5,464",-0.65,"70,307,395",-10.01
2009Q1,0,-100.00,22,46.67,0,--,0,-100.00,0,-100.00,97,-10.19,260,-17.98,67,-22.99,"10,795,000",8.75,"10,486",-3.75,"6,324",-1.34,"4,162",-7.18,"49,033,624",-23.20
2009Q2,0,--,16,-11.11,0,--,1,--,2,--,81,2.53,283,10.55,60,0.00,"9,695,000",3.47,"11,253",-2.14,"6,671",-3.54,"4,582",-0.02,"61,864,735",-10.23
2009Q3,"5,918",511.36,214,336.73,398,"6,533.33",5,--,"19,640",--,"1,352",553.14,"3,650",595.24,"111,999",676.32,"758,017,601",508.28,"10,797",-9.93,"6,682",-6.74,"4,115",-14.68,"52,732,259",-25.29
2009Q4,"1,509","30,080.00",34,17.24,6,-14.29,4,300.00,0,-100.00,568,123.62,"1,691",170.13,135,-95.07,"43,290,000",-3.34,"11,593",-15.34,"7,214",-12.33,"4,379",-19.86,"82,133,665",16.82
2010Q1,21,--,15,-31.82,0,--,0,--,0,--,305,214.43,798,206.92,65,-2.99,"19,450,000",80.18,"11,748",12.04,"7,179",13.52,"4,569",9.78,"59,030,392",20.39
2010Q2,0,--,20,25.00,0,--,1,0.00,0,-100.00,146,80.25,433,53.00,97,61.67,"13,465,000",38.89,"12,208",8.49,"7,403",10.97,"4,805",4.87,"56,235,481",-9.10
2010Q3,"2,965",-49.90,20,-90.65,0,-100.00,1,-80.00,"16,250",-17.26,228,-83.14,544,-85.10,"40,357",-63.97,"601,075,000",-20.70,"11,875",9.98,"7,084",6.02,"4,791",16.43,"58,575,912",11.08
