期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2010M08,751.92,38.07,13.40,-,932.08,19.90,16.70,-,"3,908.42",33.48,69.90,-,2.11,39.74,0.00,-
2010M09,752.80,10.06,14.00,-,874.64,-1.23,16.20,-,"3,763.65",-0.79,69.80,-,1.59,-23.92,0.00,-
2010M10,705.85,7.51,14.30,-,958.79,-6.00,19.50,-,"3,253.39",-17.93,66.10,-,1.91,-7.28,0.00,-
2010M11,704.10,27.28,14.70,-,926.81,15.06,19.40,-,"3,149.09",-3.84,65.90,-,2.12,-44.79,0.00,-
2010M12,945.82,32.39,15.00,-,925.55,17.47,14.70,-,"4,435.57",-1.49,70.30,-,2.80,27.85,0.00,-
2011M01,859.59,14.32,15.90,-,927.52,1.65,17.20,-,"3,613.07",-18.19,66.90,-,1.98,-5.26,0.00,-
2011M02,582.49,74.66,14.90,-,942.72,57.59,24.00,-,"2,395.83",38.47,61.10,-,1.24,65.33,0.00,-
2011M03,840.49,24.59,15.50,-,"1,137.42",31.72,21.00,-,"3,439.57",7.72,63.50,-,1.54,8.45,0.00,-
2011M04,760.38,13.69,17.30,-,913.49,-6.18,20.80,-,"2,721.26",-24.29,61.90,-,1.31,-34.17,0.00,-
2011M05,779.17,50.26,17.30,-,931.92,-2.93,20.70,-,"2,781.69",8.10,61.90,-,1.47,2.80,0.00,-
2011M06,716.06,72.88,16.80,-,"1,131.97",35.37,26.50,-,"2,417.07",11.91,56.70,-,1.41,36.89,0.00,-
2011M07,851.77,37.50,17.00,-,"1,091.24",22.61,21.80,-,"3,066.22",-0.41,61.20,-,2.24,18.52,0.00,-
2011M08,927.75,23.38,15.40,-,"1,317.34",41.33,21.80,-,"3,790.73",-3.01,62.80,-,2.18,3.32,0.00,-
2011M09,593.66,-21.14,13.50,-,"1,038.34",18.72,23.60,-,"2,757.47",-26.73,62.80,-,1.30,-18.24,0.00,-
2011M10,483.60,-31.49,12.90,-,841.51,-12.23,22.50,-,"2,409.23",-25.95,64.50,-,0.86,-54.97,0.00,-
2011M11,523.41,-25.66,13.30,-,870.84,-6.04,22.20,-,"2,529.33",-19.68,64.40,-,1.27,-40.09,0.00,-
2011M12,422.88,-55.29,14.10,-,615.51,-33.50,20.60,-,"1,951.09",-56.01,65.20,-,1.00,-64.29,0.00,-
2012M01,512.58,-40.37,18.40,-,618.08,-33.36,22.20,-,"1,646.77",-54.42,59.30,-,0.87,-56.06,0.00,-
2012M02,911.28,56.45,16.00,-,"1,000.17",6.09,17.50,-,"3,787.46",58.09,66.40,-,2.07,66.94,0.00,-
2012M03,661.42,-21.31,14.10,-,886.74,-22.04,18.90,-,"3,147.02",-8.51,67.00,-,1.71,11.04,0.00,-
2012M04,478.39,-37.09,15.40,-,757.57,-17.07,24.40,-,"1,866.55",-31.41,60.10,-,4.10,212.98,0.10,-
2012M05,468.27,-39.90,14.20,-,910.85,-2.26,27.60,-,"1,917.79",-31.06,58.20,-,0.91,-38.10,0.00,-
2012M06,373.72,-47.81,13.70,-,750.12,-33.73,27.40,-,"1,608.54",-33.45,58.80,-,2.47,75.18,0.10,-
2012M07,481.29,-43.50,16.20,-,750.56,-31.22,25.20,-,"1,740.17",-43.25,58.50,-,1.96,-12.50,0.10,-
2012M08,558.99,-39.75,16.40,-,750.66,-43.02,22.00,-,"2,103.33",-44.51,61.60,-,1.21,-44.50,0.00,-
2012M09,517.93,-12.76,14.80,-,702.70,-32.32,20.10,-,"2,276.90",-17.43,65.10,-,1.34,3.08,0.00,-
2012M10,459.07,-5.07,16.00,-,714.13,-15.14,24.90,-,"1,697.26",-29.55,59.10,-,1.20,39.53,0.00,-
2012M11,442.13,-15.53,14.10,-,816.66,-6.22,26.10,-,"1,866.83",-26.19,59.70,-,1.34,5.51,0.10,-
2012M12,517.86,22.46,15.30,-,723.41,17.53,21.40,-,"2,133.20",9.33,63.20,-,1.47,47.00,0.10,-
2013M01,561.30,9.50,15.80,-,869.35,40.65,24.40,-,"2,128.49",29.25,59.80,-,1.14,31.03,0.00,-
2013M02,381.11,-58.18,18.00,-,540.43,-45.97,25.50,-,"1,196.86",-68.40,56.50,-,0.70,-66.18,0.00,-
2013M03,553.04,-16.39,16.70,-,828.46,-6.57,25.00,-,"1,936.37",-38.47,58.30,-,0.95,-44.44,0.00,-
2013M04,483.80,1.13,16.10,-,793.92,4.80,26.40,-,"1,734.11",-7.10,57.50,-,0.84,-79.51,0.00,-
2013M05,607.86,29.81,16.10,-,908.48,-0.26,24.10,-,"2,255.56",17.61,59.80,-,0.90,-1.10,0.00,-
2013M06,487.15,30.35,15.90,-,926.26,23.48,30.10,-,"1,659.00",3.14,54.00,-,0.63,-74.49,0.00,-
2013M07,650.04,35.06,16.80,-,"1,040.69",38.66,26.80,-,"2,188.75",25.78,56.40,-,1.07,-45.41,0.00,-
2013M08,536.71,-3.99,16.60,-,778.65,3.73,24.00,-,"1,926.10",-8.43,59.40,-,0.80,-33.88,0.00,-
2013M09,498.10,-3.83,15.90,-,755.09,7.46,24.10,-,"1,874.41",-17.68,59.90,-,1.15,-14.18,0.00,-
2013M10,558.61,21.68,15.50,-,800.79,12.14,22.20,-,"2,250.10",32.57,62.30,-,0.83,-30.83,0.00,-
2013M11,492.77,11.45,15.30,-,771.27,-5.56,24.00,-,"1,946.62",4.27,60.60,-,0.82,-38.81,0.00,-
2013M12,530.41,2.42,16.20,-,646.89,-10.58,19.70,-,"2,097.80",-1.66,64.00,-,1.50,2.04,0.10,-
2014M01,627.36,11.77,17.30,-,748.29,-13.93,20.60,-,"2,250.27",5.72,62.00,-,1.16,1.75,0.00,-
2014M02,496.97,30.40,15.80,-,781.76,44.66,24.80,-,"1,868.89",56.15,59.40,-,0.75,7.14,0.00,-
2014M03,698.51,26.30,17.10,-,931.69,12.46,22.90,-,"2,444.15",26.22,60.00,-,1.38,45.26,0.00,-
2014M04,666.50,37.76,16.60,-,873.61,10.04,21.70,-,"2,482.03",43.13,61.70,-,1.07,27.38,0.00,-
2014M05,637.50,4.88,16.60,-,909.40,0.10,23.60,-,"2,298.67",1.91,59.80,-,0.88,-2.22,0.00,-
2014M06,680.75,39.74,16.70,-,859.05,-7.26,21.00,-,"2,545.75",53.45,62.30,-,1.05,66.67,0.00,-
2014M07,931.19,43.25,18.20,-,"1,144.29",9.95,22.40,-,"3,030.93",38.48,59.30,-,2.10,96.26,0.00,-
