期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),店頭市場股價指數_原始值,店頭市場股價指數_年增率(%)
2002M08,"4,764.94",5.67,115.30,9.51
2002M09,"4,191.81",15.26,98.06,16.03
2002M10,"4,579.14",17.31,102.97,22.89
2002M11,"4,646.69",4.63,101.34,-0.48
2002M12,"4,452.45",-19.79,94.38,-30.72
2003M01,"5,015.16",-14.59,101.84,-31.45
2003M02,"4,432.46",-22.18,92.23,-36.47
2003M03,"4,321.22",-29.94,87.95,-43.28
2003M04,"4,148.07",-31.61,80.00,-48.19
2003M05,"4,555.90",-19.73,87.91,-36.29
2003M06,"4,872.15",-5.46,99.41,-19.89
2003M07,"5,318.34",7.65,110.84,-7.57
2003M08,"5,650.83",18.59,111.24,-3.52
2003M09,"5,611.41",33.87,110.05,12.23
2003M10,"6,045.12",32.01,112.12,8.89
2003M11,"5,771.77",24.21,112.89,11.40
2003M12,"5,890.69",32.30,117.31,24.30
2004M01,"6,375.38",27.12,135.41,32.96
2004M02,"6,750.54",52.30,146.91,59.29
2004M03,"6,522.19",50.93,145.52,65.46
2004M04,"6,117.81",47.49,138.28,72.85
2004M05,"5,977.84",31.21,131.21,49.25
2004M06,"5,839.44",19.85,121.16,21.88
2004M07,"5,420.57",1.92,111.23,0.35
2004M08,"5,765.54",2.03,113.94,2.43
2004M09,"5,845.69",4.18,112.74,2.44
2004M10,"5,705.93",-5.61,111.26,-0.77
2004M11,"5,844.76",1.26,110.80,-1.85
2004M12,"6,139.69",4.23,115.75,-1.33
2005M01,"5,994.23",-5.98,112.70,-16.77
2005M02,"6,207.83",-8.04,120.10,-18.25
2005M03,"6,005.88",-7.92,120.36,-17.29
2005M04,"5,818.07",-4.90,113.49,-17.93
2005M05,"6,011.56",0.56,115.91,-11.66
2005M06,"6,241.94",6.89,123.07,1.58
2005M07,"6,311.98",16.44,129.00,15.98
2005M08,"6,033.47",4.65,118.46,3.97
2005M09,"6,118.61",4.67,118.10,4.75
2005M10,"5,764.30",1.02,106.71,-4.09
2005M11,"6,203.47",6.14,117.13,5.71
2005M12,"6,548.34",6.66,133.34,15.20
2006M01,"6,532.18",8.97,130.46,15.76
2006M02,"6,561.63",5.70,131.00,9.08
2006M03,"6,613.97",10.12,136.10,13.08
2006M04,"7,171.77",23.27,145.96,28.61
2006M05,"6,846.95",13.90,142.40,22.85
2006M06,"6,704.41",7.41,131.04,6.48
2006M07,"6,454.58",2.26,130.28,0.99
