期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
1998M08,32.03,...,1.43,...,15.02,...,21.50,-,...,-
1998M09,33.34,...,1.41,...,14.54,...,23.36,-,...,-
1998M10,34.84,...,1.29,...,14.27,...,26.36,-,...,-
1998M11,34.69,...,1.18,...,14.20,...,29.15,-,...,-
1998M12,31.15,...,1.20,...,14.30,...,26.14,-,...,-
1999M01,30.74,...,1.25,...,15.09,...,24.50,-,...,-
1999M02,30.74,...,1.19,...,15.21,...,25.94,-,...,-
1999M03,33.67,...,1.21,...,14.26,...,28.11,-,...,-
1999M04,36.25,...,1.05,...,14.31,...,34.46,-,...,-
1999M05,35.83,...,0.72,...,15.44,...,49.61,-,...,-
1999M06,40.31,...,0.72,...,15.15,...,55.80,-,...,-
1999M07,33.52,...,0.53,...,14.83,...,47.35,-,...,-
1999M08,37.00,15.52,0.63,-55.94,14.74,-1.86,57.13,-,...,-
1999M09,34.23,2.67,0.65,-53.90,14.51,-0.21,52.41,-,...,-
1999M10,35.13,0.83,0.68,-47.29,14.52,1.75,51.92,-,...,-
1999M11,34.74,0.14,0.79,-33.05,14.91,5.00,43.80,-,...,-
1999M12,38.62,23.98,0.80,-33.33,14.85,3.85,47.73,-,...,-
2000M01,44.95,46.23,0.80,-36.00,14.84,-1.66,56.26,-,...,-
2000M02,43.80,42.49,0.77,-35.29,14.85,-2.37,57.00,-,...,-
2000M03,45.66,35.61,0.79,-34.71,14.82,3.93,57.85,-,...,-
2000M04,40.92,12.88,1.04,-0.95,15.62,9.15,39.48,-,...,-
2000M05,41.64,16.22,1.40,94.44,16.20,4.92,29.68,-,...,-
2000M06,37.01,-8.19,1.31,81.94,15.55,2.64,27.56,-,...,-
2000M07,36.02,7.46,1.30,145.28,14.89,0.40,27.65,-,...,-
2000M08,32.86,-11.19,1.32,109.52,15.35,4.14,24.97,-,...,-
2000M09,26.51,-22.55,1.31,101.54,15.15,4.41,20.28,-,...,-
2000M10,26.27,-25.22,1.41,107.35,14.84,2.20,18.63,-,...,-
2000M11,23.76,-31.61,1.48,87.34,15.23,2.15,16.03,-,...,-
2000M12,22.56,-41.58,1.52,90.00,16.18,8.96,14.84,-,...,-
2001M01,28.16,-37.35,1.52,90.00,16.19,9.10,18.59,-,...,-
2001M02,26.93,-38.52,1.52,97.40,16.22,9.23,17.66,-,...,-
2001M03,27.52,-39.73,1.52,92.41,16.19,9.24,18.07,-,...,-
2001M04,25.49,-37.71,1.43,37.50,16.34,4.61,17.80,-,...,-
2001M05,24.32,-41.59,1.27,-9.29,16.85,4.01,19.22,-,...,-
2001M06,21.88,-40.88,1.23,-6.11,16.42,5.59,18.72,-,...,-
2001M07,19.33,-46.34,1.21,-6.92,15.96,7.19,16.67,-,...,-
2001M08,20.12,-38.77,1.01,-23.48,15.56,1.37,20.37,-,...,-
2001M09,16.29,-38.55,1.04,-20.61,15.37,1.45,18.11,-,...,-
2001M10,17.45,-33.57,0.88,-37.59,15.32,3.23,20.49,-,...,-
2001M11,20.07,-15.53,0.65,-56.08,15.42,1.25,31.50,-,...,-
2001M12,25.22,11.79,0.61,-59.87,15.33,-5.25,41.57,-,...,-
2002M01,26.81,-4.79,0.62,-59.21,15.35,-5.19,44.08,-,30.64,-
2002M02,26.01,-3.42,0.62,-59.21,15.31,-5.61,42.68,-,11.55,-
2002M03,28.57,3.82,0.63,-58.55,15.52,-4.14,45.77,-,23.96,-
2002M04,28.23,10.74,0.52,-63.64,15.44,-5.51,55.36,-,21.58,-
2002M05,26.36,8.39,0.54,-57.48,15.89,-5.70,52.38,-,15.58,-
2002M06,23.45,7.18,0.53,-56.91,15.77,-3.96,45.54,-,13.94,-
2002M07,22.13,14.49,0.52,-57.02,15.16,-5.01,44.25,-,17.48,-
