期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
1999M01,"17,145",34.71,"345,586",2.98,"18,167",39.44,"382,647",14.15,"20,655",23.75,"392,822",5.18,"2,804",29.52,"110,326",-18.97,"2,780",23.67,"110,532",-19.86,775,22.82,"33,138",-32.95
1999M02,"13,447",-56.66,"225,887",-77.13,"14,783",-48.91,"270,183",-69.41,"19,319",2.86,"348,526",-27.06,"2,158",-27.44,"75,994",-61.49,"2,249",-30.71,"81,804",-62.45,684,90.53,"27,328",-5.52
1999M03,"33,738",1.54,"659,263",-25.43,"32,035",1.06,"615,644",-26.86,"21,022",3.52,"392,145",-24.61,"3,369",-4.61,"117,592",-47.96,"3,570",-0.36,"125,842",-45.34,483,56.82,"19,078",-22.73
1999M04,"37,604",60.06,"797,537",32.24,"36,318",51.35,"748,016",18.81,"22,308",12.64,"441,666",-10.54,"3,665",6.70,"122,125",-43.90,"3,686",12.96,"125,471",-39.12,462,-3.75,"15,732",-56.64
1999M05,"30,454",95.58,"726,992",66.77,"30,259",89.33,"699,848",53.41,"22,503",16.03,"468,810",-0.98,"2,797",-13.16,"124,702",-38.88,"2,915",-6.81,"121,333",-39.45,344,-39.97,"19,101",-52.15
1999M06,"30,309",47.40,"984,467",100.25,"29,030",36.88,"916,611",64.73,"23,782",26.86,"536,666",31.33,"2,701",-51.27,"153,174",-53.00,"2,720",-47.18,"149,634",-51.03,325,-66.36,"22,641",-62.44
1999M07,"23,691",7.73,"665,483",22.16,"26,189",20.70,"773,586",43.25,"21,284",11.79,"428,563",3.67,"2,929",-33.61,"178,573",-30.81,"2,798",-36.75,"164,597",-35.60,456,-52.20,"36,617",-41.67
1999M08,"24,572",77.45,"565,173",69.23,"24,052",65.56,"562,655",51.45,"21,804",18.76,"431,081",14.69,"3,861",-21.17,"189,180",-31.26,"3,604",-26.76,"183,117",-35.35,713,-23.42,"42,680",-22.00
1999M09,"20,542",-26.97,"467,826",-17.21,"20,299",-23.13,"459,852",-13.19,"22,047",9.80,"439,055",6.78,"2,666",-46.23,"125,052",-35.85,"2,790",-42.04,"133,877",-33.44,589,-45.21,"33,855",-30.23
1999M10,"22,414",-12.46,"440,672",-14.32,"22,247",-8.95,"444,608",-9.64,"22,214",4.53,"435,119",0.39,"3,218",-17.59,"134,585",-2.89,"3,222",-18.02,"137,149",-3.74,585,-44.29,"31,291",-29.91
1999M11,"19,456",-31.69,"519,186",-23.77,"19,999",-26.59,"517,644",-20.95,"21,671",-3.65,"436,661",-5.00,"2,835",-13.20,"141,164",-0.36,"2,859",-17.54,"142,883",-3.33,561,-33.92,"29,572",-23.20
1999M12,"26,842",31.35,"670,848",57.10,"25,935",22.04,"639,498",39.99,"22,578",4.16,"468,011",8.87,"3,501",36.86,"189,680",96.16,"3,478",30.95,"184,775",81.40,584,-22.24,"34,477",3.40
2000M01,"37,986",121.56,"985,922",185.29,"35,494",95.38,"901,498",135.60,"25,070",21.37,"552,435",40.63,"2,421",-13.66,"179,734",62.91,"2,419",-12.99,"182,599",65.20,586,-24.39,"31,612",-4.60
2000M02,"35,498",163.98,"712,036",215.22,"33,798",128.63,"672,074",148.75,"26,770",38.57,"592,397",69.97,"2,783",28.96,"118,296",55.66,"2,917",29.70,"125,979",54.00,452,-33.92,"23,929",-12.44
2000M03,"31,695",-6.06,"817,157",23.95,"32,780",2.33,"835,982",35.79,"25,685",22.18,"573,572",46.27,"3,366",-0.09,"172,715",46.88,"3,492",-2.18,"173,800",38.11,326,-32.51,"22,844",19.74
2000M04,"28,725",-23.61,"893,164",11.99,"29,326",-19.25,"879,913",17.63,"25,084",12.44,"586,823",32.87,"2,568",-29.93,"168,039",37.60,"2,721",-26.18,"174,888",39.39,173,-62.55,"15,995",1.67
2000M05,"18,969",-37.71,"507,298",-30.22,"19,740",-34.76,"542,525",-22.48,"24,313",8.04,"551,596",17.66,"2,827",1.07,"176,014",41.15,"2,674",-8.27,"168,065",38.52,326,-5.23,"23,944",25.35
2000M06,"15,555",-48.68,"444,523",-54.85,"16,157",-44.34,"460,575",-49.75,"23,711",-0.30,"535,544",-0.21,"1,844",-31.73,"131,512",-14.14,"1,849",-32.02,"128,365",-14.21,321,-1.23,"27,091",19.65
2000M07,"15,851",-33.09,"404,640",-39.20,"16,935",-35.34,"440,486",-43.06,"22,627",6.31,"499,698",16.60,"2,500",-14.65,"139,444",-21.91,"2,429",-13.19,"138,401",-15.92,392,-14.04,"28,134",-23.17
2000M08,"15,367",-37.46,"430,168",-23.89,"15,662",-34.88,"430,065",-23.57,"22,332",2.42,"499,801",15.94,"2,290",-40.69,"146,178",-22.73,"2,280",-36.74,"141,002",-23.00,402,-43.62,"33,310",-21.95
2000M09,"16,461",-19.87,"486,632",4.02,"18,580",-8.47,"546,274",18.79,"20,213",-8.32,"440,159",0.25,"2,352",-11.78,"152,678",22.09,"2,347",-15.88,"157,661",17.77,407,-30.90,"28,327",-16.33
2000M10,"17,197",-23.28,"348,821",-20.84,"20,316",-8.68,"499,164",12.27,"17,094",-23.05,"289,816",-33.39,"3,069",-4.63,"136,561",1.47,"3,048",-5.40,"142,422",3.84,428,-26.84,"22,466",-28.20
2000M11,"17,096",-12.13,"368,826",-28.96,"19,493",-2.53,"416,525",-19.53,"14,697",-32.18,"242,117",-44.55,"3,325",17.28,"141,611",0.32,"3,273",14.48,"140,758",-1.49,480,-14.44,"23,319",-21.15
2000M12,"11,263",-58.04,"202,474",-69.82,"12,392",-52.22,"237,265",-62.90,"13,568",-39.91,"207,326",-55.70,"2,210",-36.88,"85,456",-54.95,"2,186",-37.15,"88,089",-52.33,504,-13.70,"20,686",-40.00
2001M01,"19,460",-48.77,"349,897",-64.51,"19,235",-45.81,"339,443",-62.35,"13,793",-44.98,"217,780",-60.58,"3,258",34.57,"120,113",-33.17,"3,285",35.80,"119,282",-34.68,477,-18.60,"21,517",-31.93
2001M02,"26,688",-24.82,"588,382",-17.37,"25,659",-24.08,"550,792",-18.05,"14,822",-44.63,"255,370",-56.89,"3,241",16.46,"138,301",16.91,"3,290",12.79,"139,915",11.06,428,-5.31,"19,903",-16.82
2001M03,"25,862",-18.40,"559,567",-31.52,"24,777",-24.41,"527,380",-36.91,"15,907",-38.07,"287,557",-49.87,"2,864",-14.91,"117,479",-31.98,"2,958",-15.29,"120,626",-30.59,334,2.45,"16,756",-26.65
2001M04,"16,830",-41.41,"365,182",-59.11,"17,494",-40.35,"377,862",-57.06,"15,243",-39.23,"274,877",-53.16,"1,784",-30.53,"77,531",-53.86,"1,880",-30.91,"82,873",-52.61,238,37.57,"11,414",-28.64
