期間,醫療補助-受益人次-合計_原始值,醫療補助-受益人次-合計_年增率(%),醫療補助-受益人次-男_原始值,醫療補助-受益人次-男_年增率(%),醫療補助-受益人次-女_原始值,醫療補助-受益人次-女_年增率(%),醫療補助-金額(元)_原始值,醫療補助-金額(元)_年增率(%),中低收入住院看護補助-補助人次-計_原始值,中低收入住院看護補助-補助人次-計_年增率(%),中低收入住院看護補助-補助人次-男_原始值,中低收入住院看護補助-補助人次-男_年增率(%),中低收入住院看護補助-補助人次-女_原始值,中低收入住院看護補助-補助人次-女_年增率(%),中低收入住院看護補助-金額(元)_原始值,中低收入住院看護補助-金額(元)_年增率(%)
2007Q3,"2,467",-25.20,"1,719",-23.60,748,-28.63,"29,009,118",-1.86,"1,454",-1.89,"1,027",1.58,427,-9.34,"26,242,472",-14.53
2007Q4,"3,574",-4.23,"2,534",0.44,"1,040",-13.98,"36,808,774",12.66,"1,720",11.25,"1,219",17.55,501,-1.57,"30,930,029",3.01
2008Q1,"1,307",-7.70,949,-5.67,358,-12.68,"10,525,082",-13.55,"1,292",24.11,934,27.95,358,15.11,"21,149,269",2.33
2008Q2,"1,790",-0.67,"1,281",3.31,509,-9.43,"14,327,101",-5.27,"1,764",7.63,"1,234",13.31,530,-3.64,"32,279,512",1.48
2008Q3,"2,146",-13.01,"1,620",-5.76,526,-29.68,"24,581,025",-15.26,"1,626",11.83,"1,149",11.88,477,11.71,"28,992,558",10.48
2008Q4,"2,764",-22.66,"2,027",-20.01,737,-29.13,"34,589,315",-6.03,"1,819",5.76,"1,299",6.56,520,3.79,"31,686,310",2.45
2009Q1,"1,152",-11.86,825,-13.07,327,-8.66,"15,140,429",43.85,"1,407",8.90,979,4.82,428,19.55,"25,284,778",19.55
2009Q2,"1,400",-21.79,979,-23.58,421,-17.29,"17,258,842",20.46,"1,841",4.37,"1,263",2.35,578,9.06,"31,373,219",-2.81
2009Q3,"1,199",-44.13,872,-46.17,327,-37.83,"15,992,563",-34.94,"1,784",9.72,"1,263",9.92,521,9.22,"30,959,641",6.78
2009Q4,"1,735",-37.23,"1,281",-36.80,454,-38.40,"18,002,612",-47.95,"2,001",10.01,"1,417",9.08,584,12.31,"34,051,676",7.46
2010Q1,"1,252",8.68,947,14.79,305,-6.73,"14,330,277",-5.35,"1,632",15.99,"1,131",15.53,501,17.06,"24,567,968",-2.83
2010Q2,"1,281",-8.50,958,-2.15,323,-23.28,"15,868,743",-8.05,"2,143",16.40,"1,505",19.16,638,10.38,"34,587,396",10.24
2010Q3,"1,426",18.93,"1,071",22.82,355,8.56,"15,072,069",-5.76,"1,913",7.23,"1,397",10.61,516,-0.96,"30,971,035",0.04
