期間,戶數(戶)-合計_原始值,戶數(戶)-合計_年增率(%),戶數(戶)-按戶長性別分-男_原始值,戶數(戶)-按戶長性別分-男_年增率(%),戶數(戶)-按戶長性別分-女_原始值,戶數(戶)-按戶長性別分-女_年增率(%),戶數(戶)-第1款(省、新北、臺中、臺南)、第0類(臺北)、第1類(高雄)_原始值,戶數(戶)-第1款(省、新北、臺中、臺南)、第0類(臺北)、第1類(高雄)_年增率(%),戶數(戶)-第2款(省、新北、臺中、臺南)、第1、2類(臺北)、第2類(高雄)_原始值,戶數(戶)-第2款(省、新北、臺中、臺南)、第1、2類(臺北)、第2類(高雄)_年增率(%),戶數(戶)-第3款(省、新北、臺中、臺南)、第3、4類(臺北、高雄)_原始值,戶數(戶)-第3款(省、新北、臺中、臺南)、第3、4類(臺北、高雄)_年增率(%),人數(人)-合計_原始值,人數(人)-合計_年增率(%),人數(人)-男_原始值,人數(人)-男_年增率(%),人數(人)-女_原始值,人數(人)-女_年增率(%),人數(人)-第1款(省、新北、臺中、臺南)、第0類(臺北)、第1類(高雄)_原始值,人數(人)-第1款(省、新北、臺中、臺南)、第0類(臺北)、第1類(高雄)_年增率(%),人數(人)-第2款(省、新北、臺中、臺南)、第1、2類(臺北)、第2類(高雄)_原始值,人數(人)-第2款(省、新北、臺中、臺南)、第1、2類(臺北)、第2類(高雄)_年增率(%),人數(人)-第3款(省、新北、臺中、臺南)、第3、4類(臺北、高雄)_原始值,人數(人)-第3款(省、新北、臺中、臺南)、第3、4類(臺北、高雄)_年增率(%),低收入戶戶數占總戶數比率(％)_原始值,低收入戶戶數占總戶數比率(％)_年增率(%),低收入戶人數占總人數比率(％)_原始值,低收入戶人數占總人數比率(％)_年增率(%)
2000Q1,"61,002",...,...,...,...,...,"4,979",...,"22,307",...,"33,716",...,"144,033",...,...,...,...,...,"5,787",...,"49,184",...,"89,062",...,0.93,-,0.65,-
2000Q2,"63,548",...,...,...,...,...,"4,960",...,"23,354",...,"35,234",...,"149,096",...,...,...,...,...,"5,708",...,"50,708",...,"92,680",...,0.96,-,0.67,-
2000Q3,"66,004",...,...,...,...,...,"4,960",...,"24,078",...,"36,966",...,"156,069",...,...,...,...,...,"5,786",...,"52,752",...,"97,531",...,0.99,-,0.70,-
2000Q4,"66,467",...,...,...,...,...,"4,983",...,"24,470",...,"37,014",...,"156,134",...,...,...,...,...,"5,778",...,"52,630",...,"97,726",...,0.99,-,0.70,-
2001Q1,"59,194",-2.96,...,...,...,...,"4,122",-17.21,"20,868",-6.45,"34,204",1.45,"139,036",-3.47,...,...,...,...,"4,725",-18.35,"45,500",-7.49,"88,811",-0.28,0.88,-,0.62,-
2001Q2,"62,858",-1.09,...,...,...,...,"4,175",-15.83,"21,951",-6.01,"36,732",4.25,"146,999",-1.41,...,...,...,...,"5,142",-9.92,"46,552",-8.20,"95,305",2.83,0.93,-,0.66,-
2001Q3,"65,522",-0.73,...,...,...,...,"4,184",-15.65,"22,282",-7.46,"39,056",5.65,"155,592",-0.31,...,...,...,...,"4,881",-15.64,"48,169",-8.69,"102,542",5.14,0.97,-,0.70,-
2001Q4,"67,191",1.09,...,...,...,...,"4,132",-17.08,"22,461",-8.21,"40,598",9.68,"162,699",4.20,...,...,...,...,"4,761",-17.60,"49,876",-5.23,"108,062",10.58,0.99,-,0.73,-
2002Q1,"64,535",9.02,...,...,...,...,"3,592",-12.86,"20,324",-2.61,"40,619",18.76,"153,337",10.29,...,...,...,...,"3,988",-15.60,"43,331",-4.77,"106,018",19.37,0.95,-,0.68,-
2002Q2,"66,922",6.47,...,...,...,...,"3,579",-14.28,"20,610",-6.11,"42,733",16.34,"160,882",9.44,...,...,...,...,"3,988",-22.44,"44,317",-4.80,"112,577",18.12,0.98,-,0.72,-
2002Q3,"69,838",6.59,...,...,...,...,"3,552",-15.11,"21,123",-5.20,"45,163",15.64,"168,894",8.55,...,...,...,...,"3,966",-18.75,"45,823",-4.87,"119,105",16.15,1.01,-,0.75,-
2002Q4,"70,417",4.80,...,...,...,...,"3,648",-11.71,"20,987",-6.56,"45,782",12.77,"171,200",5.22,...,...,...,...,"4,064",-14.64,"45,454",-8.87,"121,682",12.60,1.02,-,0.76,-
2003Q1,"69,310",7.40,"36,914",...,"32,396",...,"3,604",0.33,"20,172",-0.75,"45,534",12.10,"165,256",7.77,"80,762",...,"84,494",...,"4,055",1.68,"43,101",-0.53,"118,100",11.40,1.00,-,0.73,-
2003Q2,"72,536",8.39,"39,869",...,"32,667",...,"3,575",-0.11,"20,592",-0.09,"48,369",13.19,"177,789",10.51,"89,102",...,"88,687",...,"4,028",1.00,"45,430",2.51,"128,331",13.99,1.04,-,0.79,-
