期間,總計-總機構_原始值,總計-總機構_年增率(%),總計-分機構_原始值,總計-分機構_年增率(%),全體貨幣機構-中央銀行_原始值,全體貨幣機構-中央銀行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-總行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-總行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-分行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-分行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-總社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-總社_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-分社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-分社_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-分部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-分部_年增率(%),其他金融機構-中華郵政公司-總公司_原始值,其他金融機構-中華郵政公司-總公司_年增率(%),其他金融機構-中華郵政公司-支局_原始值,其他金融機構-中華郵政公司-支局_年增率(%),信託投資公司-總公司_原始值,信託投資公司-總公司_年增率(%),信託投資公司-分公司_原始值,信託投資公司-分公司_年增率(%),人壽保險公司-總公司_原始值,人壽保險公司-總公司_年增率(%),人壽保險公司-分公司_原始值,人壽保險公司-分公司_年增率(%)
2001M05,489,-0.81,"5,672",1.59,1,0.00,53,1.92,"2,723",3.58,38,-2.56,69,0.00,48,-4.00,395,-4.82,287,0.00,974,0.41,27,0.00,49,0.00,1,0.00,"1,309",0.77,3,0.00,36,0.00,31,-6.06,117,0.86
2001M06,490,-0.61,"5,692",1.77,1,0.00,53,1.92,"2,737",3.67,39,0.00,70,1.45,48,-4.00,400,-3.61,287,0.00,973,0.41,27,0.00,49,0.00,1,0.00,"1,310",0.85,3,0.00,36,0.00,31,-6.06,117,0.86
2001M07,490,-0.41,"5,739",2.23,1,0.00,53,0.00,"2,753",2.69,39,0.00,70,1.45,48,0.00,428,8.35,287,0.00,974,0.72,27,0.00,48,-2.04,1,0.00,"1,313",0.92,3,0.00,36,0.00,31,-6.06,117,0.86
2001M08,489,-0.61,"5,774",2.70,1,0.00,53,0.00,"2,792",3.83,39,0.00,70,0.00,47,-2.08,427,8.38,287,0.00,971,0.41,27,0.00,48,-2.04,1,0.00,"1,314",1.00,3,0.00,35,-2.78,31,-6.06,117,0.86
2001M09,451,-8.15,"5,757",2.31,1,0.00,53,0.00,"2,928",8.85,38,-2.56,69,-1.43,39,-18.75,365,-7.36,260,-9.41,886,-8.47,25,-7.41,44,-10.20,1,0.00,"1,314",0.77,3,0.00,34,-5.56,31,-3.13,117,0.86
2001M10,451,-8.15,"5,803",3.07,1,0.00,53,0.00,"2,963",10.11,38,-2.56,70,0.00,39,-18.75,372,-5.58,260,-9.41,888,-8.36,25,-7.41,44,-10.20,1,0.00,"1,316",0.84,3,0.00,33,-8.33,31,-3.13,117,0.86
2001M11,451,-8.15,"5,831",3.53,1,0.00,53,0.00,"2,992",11.14,38,-2.56,69,-1.43,39,-18.75,373,-5.33,260,-9.41,887,-8.65,25,-7.41,44,-10.20,1,0.00,"1,316",0.92,3,0.00,33,-8.33,31,-3.13,117,0.86
2001M12,448,-8.76,"5,841",3.64,1,0.00,53,0.00,"3,005",11.59,38,-2.56,69,-1.43,39,-18.75,373,-5.33,260,-9.41,883,-9.25,25,-7.41,44,-10.20,1,0.00,"1,316",0.84,3,0.00,33,-8.33,28,-12.50,118,1.72
2002M01,446,-8.98,"5,858",3.88,1,0.00,53,0.00,"3,023",12.25,36,-7.69,68,-2.86,39,-18.75,373,-5.81,260,-9.41,883,-9.25,25,-7.41,44,-10.20,1,0.00,"1,316",0.77,3,0.00,33,-8.33,28,-9.68,118,1.72
2002M02,445,-9.18,"5,860",3.79,1,0.00,52,-1.89,"3,027",12.24,36,-7.69,68,-2.86,39,-18.75,373,-5.81,260,-9.41,880,-9.65,25,-7.41,44,-10.20,1,0.00,"1,315",0.61,3,0.00,33,-8.33,28,-9.68,120,2.56
2002M03,445,-9.18,"5,862",3.66,1,0.00,52,-1.89,"3,029",11.94,36,-7.69,68,-2.86,39,-18.75,373,-5.81,260,-9.41,880,-9.65,25,-7.41,44,-10.20,1,0.00,"1,315",0.61,3,0.00,33,-8.33,28,-9.68,120,2.56
2002M04,445,-9.00,"5,866",3.51,1,0.00,52,-1.89,"3,033",11.63,35,-7.89,67,-2.90,39,-18.75,373,-5.81,260,-9.41,879,-9.75,25,-7.41,44,-10.20,1,0.00,"1,317",0.61,3,0.00,33,-8.33,29,-6.45,120,2.56
2002M05,446,-8.79,"5,859",3.30,1,0.00,52,-1.89,"3,032",11.35,36,-5.26,68,-1.45,39,-18.75,373,-5.57,260,-9.41,876,-10.06,25,-7.41,44,-10.20,1,0.00,"1,315",0.46,3,0.00,31,-13.89,29,-6.45,120,2.56
2002M06,446,-8.98,"5,857",2.90,1,0.00,52,-1.89,"3,031",10.74,36,-7.69,68,-2.86,39,-18.75,373,-6.75,260,-9.41,876,-9.97,25,-7.41,44,-10.20,1,0.00,"1,315",0.38,3,0.00,30,-16.67,29,-6.45,120,2.56
2002M07,439,-10.41,"5,845",1.85,1,0.00,52,-1.89,"3,040",10.42,36,-7.69,67,-4.29,39,-18.75,373,-12.85,253,-11.85,856,-12.11,25,-7.41,44,-8.33,1,0.00,"1,315",0.15,3,0.00,30,-16.67,29,-6.45,120,2.56
2002M08,438,-10.43,"5,842",1.18,1,0.00,52,-1.89,"3,045",9.06,36,-7.69,68,-2.86,38,-19.15,364,-14.75,253,-11.85,853,-12.15,25,-7.41,44,-8.33,1,0.00,"1,319",0.38,3,0.00,29,-17.14,29,-6.45,120,2.56
2002M09,438,-2.88,"5,845",1.53,1,0.00,52,-1.89,"3,048",4.10,36,-5.26,68,-1.45,38,-2.56,364,-0.27,253,-2.69,853,-3.72,25,0.00,43,-2.27,1,0.00,"1,320",0.46,3,0.00,29,-14.71,29,-6.45,120,2.56
2002M10,438,-2.88,"5,842",0.67,1,0.00,52,-1.89,"3,045",2.77,36,-5.26,68,-2.86,38,-2.56,365,-1.88,253,-2.69,853,-3.94,25,0.00,42,-4.55,1,0.00,"1,320",0.30,3,0.00,29,-12.12,29,-6.45,120,2.56
2002M11,438,-2.88,"5,844",0.22,1,0.00,52,-1.89,"3,052",2.01,36,-5.26,68,-1.45,38,-2.56,364,-2.41,253,-2.69,851,-4.06,25,0.00,40,-9.09,1,0.00,"1,320",0.30,3,0.00,29,-12.12,29,-6.45,120,2.56
2002M12,437,-2.46,"5,850",0.15,1,0.00,52,-1.89,"3,068",2.10,36,-5.26,68,-1.45,37,-5.13,358,-4.02,253,-2.69,847,-4.08,25,0.00,40,-9.09,1,0.00,"1,320",0.30,3,0.00,29,-12.12,29,3.57,120,1.69
2003M01,437,-2.02,"5,857",-0.02,1,0.00,52,-1.89,"3,072",1.62,36,0.00,68,0.00,37,-5.13,358,-4.02,253,-2.69,847,-4.08,25,0.00,39,-11.36,1,0.00,"1,319",0.23,3,0.00,29,-12.12,29,3.57,125,5.93
2003M02,437,-1.80,"5,860",0.00,1,0.00,52,0.00,"3,078",1.68,36,0.00,68,0.00,37,-5.13,358,-4.02,253,-2.69,844,-4.09,25,0.00,39,-11.36,1,0.00,"1,319",0.30,3,0.00,29,-12.12,29,3.57,125,4.17
2003M03,437,-1.80,"5,865",0.05,1,0.00,52,0.00,"3,084",1.82,36,0.00,68,0.00,37,-5.13,358,-4.02,253,-2.69,842,-4.32,25,0.00,39,-11.36,1,0.00,"1,320",0.38,3,0.00,29,-12.12,29,3.57,125,4.17
2003M04,437,-1.80,"5,869",0.05,1,0.00,52,0.00,"3,089",1.85,36,2.86,68,1.49,37,-5.13,358,-4.02,253,-2.69,839,-4.55,25,0.00,39,-11.36,1,0.00,"1,322",0.38,3,0.00,29,-12.12,29,0.00,125,4.17
