期間,政府公債--3年期,政府公債--5年期,政府公債--7年期,政府公債--10年期,政府公債--15年期,公司債--1年期,公司債--2年期,公司債--3年期,公司債--4年期,公司債--5年期,公司債--6年期,公司債--7年期,公司債--10年期,金融債券--2年期,金融債券--3年期,金融債券--5年期,央行單券--CDs1年期,央行單券--CDs2年期,央行單券--SB 1年期
2010M01,-,0.98,-,-,-,-,-,1.65,-,1.79,-,2.51,-,-,-,-,-,-,-
2010M02,-,-,-,-,-,-,-,1.45,-,1.93,-,-,-,-,-,-,-,-,-
2010M03,-,-,-,1.40,-,-,-,-,-,1.80,-,2.00,-,-,-,1.60,-,-,-
2010M04,-,1.01,-,-,-,-,-,1.08,-,1.49,-,1.75,1.85,-,-,-,0.75,-,-
2010M05,-,-,-,-,-,-,0.98,2.80,-,1.55,-,-,-,-,-,1.60,0.70,-,-
2010M06,-,-,-,1.46,-,-,-,1.46,-,1.52,-,1.75,1.83,-,-,0.59,0.67,-,-
2010M07,-,1.01,-,-,-,-,-,-,-,1.51,-,1.97,1.79,-,-,-,0.73,-,-
2010M08,-,-,-,-,-,-,-,-,-,1.50,-,1.64,1.71,-,0.57,-,0.69,-,-
2010M09,-,-,-,1.23,-,-,-,-,-,1.49,-,1.47,1.64,-,-,-,0.62,-,-
2010M10,-,0.90,-,-,-,-,-,-,-,1.25,-,-,1.43,-,-,-,0.72,-,-
2010M11,-,-,-,-,-,-,-,1.60,-,1.28,-,1.29,-,0.71,-,-,0.69,-,-
2010M12,-,-,-,1.47,-,-,-,-,-,1.43,-,1.81,1.60,-,-,-,0.72,-,-
2011M01,-,1.11,-,-,-,-,-,-,-,1.29,-,-,-,-,-,-,0.80,-,-
2011M02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.84,-,-
2011M03,-,-,-,1.38,-,-,-,-,-,1.47,-,-,-,-,1.23,1.55,0.88,-,-
2011M04,-,1.08,-,-,-,-,-,-,-,1.40,-,1.60,1.69,-,-,-,0.94,-,-
2011M05,-,-,-,-,-,-,-,-,-,1.41,-,-,-,0.82,1.17,1.41,0.98,-,-
2011M06,-,-,-,1.48,-,-,-,1.30,-,1.46,-,1.69,1.67,0.93,1.19,1.45,1.01,-,-
2011M07,-,1.18,-,-,-,-,-,-,-,1.50,1.75,1.65,1.75,-,-,-,1.05,-,-
2011M08,-,-,-,-,-,-,-,1.75,-,1.45,-,2.20,-,-,-,-,1.05,-,-
2011M09,-,-,-,1.29,-,-,-,-,-,1.42,-,1.62,1.70,1.09,-,-,1.00,-,-
2011M10,-,1.08,-,-,-,-,-,-,-,1.37,-,1.62,1.65,-,-,-,0.98,-,-
2011M11,-,-,-,-,-,-,-,-,-,1.34,-,1.48,1.61,-,-,-,0.96,-,-
2011M12,-,-,-,1.30,-,-,-,1.24,-,1.34,-,1.46,1.59,-,-,-,0.90,-,-
2012M01,-,1.00,-,-,-,-,3.50,2.00,-,1.28,-,1.46,-,1.06,1.09,1.25,0.90,-,-
2012M02,-,-,-,-,-,-,-,-,-,1.36,-,1.66,1.80,1.00,-,-,0.89,-,-
2012M03,-,-,-,1.27,-,-,-,1.15,2.08,1.60,-,1.42,-,-,-,-,0.88,-,-
2012M04,-,1.03,-,-,-,-,-,-,-,1.25,-,1.37,1.50,-,-,-,0.89,-,-
2012M05,-,-,-,1.27,-,-,-,-,-,1.30,-,1.87,-,1.05,-,1.25,0.89,-,-
2012M06,-,-,-,1.21,-,-,-,1.30,-,1.37,-,1.87,1.50,-,-,-,0.88,-,-
2012M07,-,0.88,-,-,-,-,-,-,-,1.32,-,1.43,-,-,-,-,0.87,-,-
2012M08,-,-,-,-,-,-,-,1.19,-,1.30,-,1.40,1.50,-,-,-,0.85,-,-
2012M09,-,-,-,1.19,-,-,-,-,-,1.26,-,1.37,1.42,-,-,-,0.83,-,-
2012M10,-,0.91,-,-,-,-,-,-,-,1.33,-,1.34,1.47,-,-,-,0.81,-,-
2012M11,-,-,-,-,-,-,-,-,-,1.28,-,1.34,1.44,-,-,-,0.76,-,-
2012M12,-,-,-,1.15,-,-,-,-,1.00,1.23,-,1.35,1.45,-,-,-,0.73,-,-
2013M01,-,0.91,-,-,1.49,-,-,-,-,1.33,-,1.50,1.49,-,-,-,0.72,-,-
2013M02,-,-,-,-,-,-,-,-,-,1.23,-,1.38,1.50,-,-,1.23,0.72,-,-
2013M03,-,-,-,1.22,-,2.30,3.00,-,-,1.35,-,1.40,-,-,-,-,0.72,-,-
2013M04,-,1.02,-,-,-,-,-,-,-,1.29,-,-,-,-,-,-,0.69,-,-
2013M05,-,-,-,-,-,-,-,-,-,1.31,-,1.39,1.53,-,-,-,0.66,-,-
2013M06,-,-,-,1.46,-,-,-,-,1.23,1.25,-,1.40,-,-,-,-,0.64,-,-
2013M07,-,-,-,-,-,-,-,-,-,1.31,-,1.48,1.64,-,-,-,0.63,-,-
2013M08,-,-,-,-,-,-,-,1.47,1.37,1.48,1.52,1.56,-,-,-,-,0.63,0.78,-
2013M09,-,-,-,1.80,-,-,-,1.35,1.45,1.60,-,-,2.10,-,-,1.80,0.65,0.80,-
2013M10,-,1.15,-,-,-,-,-,1.43,1.46,1.53,-,1.75,1.85,-,-,-,0.64,0.79,-
2013M11,-,-,-,-,-,-,-,1.28,-,1.57,-,2.45,1.94,-,-,-,0.62,0.76,-
2013M12,-,-,-,1.67,-,-,-,1.26,-,1.46,1.58,1.73,1.95,-,-,-,0.56,0.72,-
2014M01,-,1.14,-,-,-,-,-,1.24,-,-,-,1.75,1.95,0.90,-,-,0.58,0.76,-
2014M02,-,1.08,-,-,-,-,-,-,-,1.39,-,-,-,0.88,-,-,0.57,0.74,-
2014M03,-,-,-,1.58,-,-,-,1.15,-,1.40,-,1.74,1.95,-,-,-,0.56,0.73,-
2014M04,-,-,-,-,-,-,-,1.36,-,-,-,-,-,-,-,-,0.53,0.71,-
2014M05,-,-,-,1.53,-,-,1.50,1.14,-,1.40,-,1.72,1.94,-,-,-,0.52,0.69,-
2014M06,-,1.20,-,1.55,-,-,-,1.12,-,1.54,-,1.70,1.89,0.68,0.90,1.65,0.52,0.70,-
2014M07,-,1.23,-,-,-,-,-,-,-,1.70,-,1.71,1.95,-,-,-,0.54,0.75,-
