期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
2010M04,"362,118",5.15,"182,239",6.13,"6,822",16.08,"172,147",6.93,"55,865",-4.86,"3,270",-32.58,"2,239",-38.11,"179,879",4.18,"177,569",4.36,"2,310",-8.00
2010M05,"364,789",6.68,"183,928",8.57,"6,949",19.71,"173,782",9.33,"55,136",-4.11,"3,197",-31.25,"2,217",-36.89,"180,861",4.82,"178,539",4.99,"2,322",-6.33
2010M06,"367,720",7.68,"186,002",10.00,"7,022",20.67,"175,771",10.74,"54,240",-4.57,"3,209",-29.38,"2,256",-33.90,"181,718",5.41,"179,417",5.56,"2,301",-5.27
2010M07,"370,703",8.00,"187,845",10.33,"7,148",20.85,"177,496",10.96,"53,601",-5.87,"3,201",-26.97,"2,281",-29.12,"182,858",5.72,"180,558",5.85,"2,300",-3.32
2010M08,"372,146",7.99,"188,573",10.42,"7,234",19.85,"178,112",11.02,"52,482",-7.51,"3,227",-25.09,"2,335",-25.40,"183,573",5.61,"181,282",5.73,"2,291",-2.84
2010M09,"372,785",7.82,"189,550",10.17,"7,229",18.26,"178,963",10.64,"51,140",-10.06,"3,358",-19.72,"2,488",-17.62,"183,235",5.49,"180,953",5.60,"2,282",-2.56
2010M10,"376,008",8.17,"191,287",10.20,"7,418",20.93,"180,289",10.41,"49,612",-12.95,"3,580",-13.84,"2,744",-8.50,"184,721",6.14,"182,447",6.25,"2,274",-2.15
2010M11,"378,083",8.20,"192,859",10.18,"7,622",20.28,"181,589",10.26,"48,274",-15.10,"3,648",-9.07,"2,834",0.43,"185,224",6.21,"182,963",6.33,"2,261",-2.04
2010M12,"379,653",8.16,"193,545",9.92,"7,745",20.04,"182,192",9.89,"46,644",-17.55,"3,608",-5.82,"2,833",3.96,"186,108",6.38,"183,826",6.48,"2,282",-0.61
2011M01,"383,164",8.30,"194,607",9.95,"7,868",20.45,"183,039",9.76,"45,522",-19.34,"3,700",0.14,"2,960",13.98,"188,557",6.64,"186,248",6.72,"2,309",0.22
