期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
2002M02,"303,550",-7.15,"189,418",-13.26,"1,322",18.35,"156,006",-13.85,"61,160",-13.37,"32,090",-11.25,"28,507",-9.63,"114,132",5.12,"104,785",4.41,"9,347",13.92
2002M03,"301,764",-7.87,"188,514",-13.66,"1,342",21.89,"156,545",-13.39,"61,436",-12.78,"30,627",-16.07,"27,237",-14.45,"113,250",3.71,"104,043",3.15,"9,207",10.58
2002M04,"300,069",-8.88,"187,051",-14.24,"1,479",31.35,"155,954",-13.29,"61,343",-12.98,"29,618",-20.22,"26,382",-18.71,"113,018",1.63,"103,994",1.30,"9,024",5.53
2002M05,"305,322",-7.14,"189,907",-12.10,"1,763",54.24,"159,545",-10.58,"63,094",-10.00,"28,599",-21.62,"25,499",-20.14,"115,415",2.36,"106,612",2.49,"8,803",0.76
2002M06,"307,538",-6.70,"190,666",-11.51,"1,884",61.30,"160,452",-9.34,"63,646",-7.97,"28,330",-24.11,"25,337",-23.17,"116,872",2.39,"108,137",2.77,"8,735",-2.05
2002M07,"312,200",-4.31,"192,845",-8.91,"2,156",82.71,"162,837",-6.00,"65,063",-3.40,"27,852",-25.31,"24,943",-24.47,"119,355",4.18,"111,004",5.16,"8,351",-7.24
2002M08,"311,464",-2.92,"192,354",-6.76,"2,293",93.50,"162,912",-3.54,"65,206",-0.36,"27,149",-25.06,"24,459",-23.75,"119,110",4.01,"111,053",5.25,"8,057",-10.56
2002M09,"307,567",-3.66,"189,384",-7.28,"2,494",114.45,"161,191",-3.10,"64,548",0.08,"25,699",-30.06,"23,127",-29.10,"118,183",2.78,"110,507",4.38,"7,676",-15.76
2002M10,"308,489",-2.29,"187,974",-6.23,"2,714",119.58,"160,346",-2.20,"64,480",1.15,"24,914",-29.39,"22,530",-28.19,"120,515",4.58,"113,046",6.63,"7,469",-18.99
2002M11,"306,657",-1.80,"185,794",-5.61,"2,848",126.93,"158,891",-1.60,"64,532",2.24,"24,055",-29.44,"21,791",-28.14,"120,863",4.69,"113,666",7.11,"7,197",-22.85
