期間,土地面積(平方公里)_原始值,土地面積(平方公里)_年增率(%),鄉鎮市區數_原始值,鄉鎮市區數_年增率(%),村里數_原始值,村里數_年增率(%),鄰數_原始值,鄰數_年增率(%),戶數_原始值,戶數_年增率(%),人口數_原始值,人口數_年增率(%),年(月)人口增加率(0/00)_原始值,年(月)人口增加率(0/00)_年增率(%),男性人口數_原始值,男性人口數_年增率(%),女性人口數_原始值,女性人口數_年增率(%),性比例(每百女子對男子數)_原始值,性比例(每百女子對男子數)_年增率(%),戶量(人/戶)_原始值,戶量(人/戶)_年增率(%),人口密度(人/平方公里)_原始值,人口密度(人/平方公里)_年增率(%)
2000M01,"36,188.035",-,369,...,"7,755",...,"143,764",...,"6,541,419",...,"22,106,240",...,0.63,-,"11,318,602",...,"10,787,638",...,104.92,-,3.38,-,610.87,-
2000M02,"36,188.035",-,369,...,"7,755",...,"143,800",...,"6,549,023",...,"22,119,943",...,0.62,-,"11,324,434",...,"10,795,509",...,104.90,-,3.38,-,611.25,-
2000M03,"36,188.035",-,369,...,"7,755",...,"143,810",...,"6,562,307",...,"22,134,777",...,0.67,-,"11,330,705",...,"10,804,072",...,104.87,-,3.37,-,611.66,-
2000M04,"36,188.035",-,369,...,"7,755",...,"143,820",...,"6,575,670",...,"22,146,733",...,0.54,-,"11,335,767",...,"10,810,966",...,104.85,-,3.37,-,611.99,-
2000M05,"36,188.035",-,369,...,"7,756",...,"143,884",...,"6,592,549",...,"22,159,658",...,0.58,-,"11,341,346",...,"10,818,312",...,104.84,-,3.36,-,612.35,-
2000M06,"36,188.035",-,369,...,"7,756",...,"143,928",...,"6,610,016",...,"22,172,529",...,0.58,-,"11,346,841",...,"10,825,688",...,104.81,-,3.35,-,612.70,-
2000M07,"36,188.035",-,369,...,"7,756",...,"143,940",...,"6,623,569",...,"22,188,176",...,0.71,-,"11,353,478",...,"10,834,698",...,104.79,-,3.35,-,613.14,-
2000M08,"36,188.035",-,369,...,"7,756",...,"144,095",...,"6,636,586",...,"22,203,034",...,0.67,-,"11,359,614",...,"10,843,420",...,104.76,-,3.35,-,613.55,-
2000M09,"36,188.035",-,369,...,"7,756",...,"144,105",...,"6,649,289",...,"22,218,949",...,0.72,-,"11,366,464",...,"10,852,485",...,104.74,-,3.34,-,613.99,-
2000M10,"36,188.035",-,369,...,"7,756",...,"144,110",...,"6,660,253",...,"22,237,846",...,0.85,-,"11,374,751",...,"10,863,095",...,104.71,-,3.34,-,614.51,-
