期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
1997M11,"9,891,999",37.71,"2,180,224",34.46,"18,580",55.62,"6,205",79.18,"745,306",47.12,"16,418",39.49,"122,824",28.35,"614,949",36.34,"69,123",46.41,-,-,"453,130",14.21,"133,689",37.80,"584,686",2.86,"1,068,856",21.71,-,-,"6,058,233",47.22
1997M12,"10,283,738",40.51,"2,340,044",37.36,"18,083",40.06,"5,045",39.94,"800,762",50.72,"17,225",57.08,"131,895",21.37,"663,778",37.53,"74,925",44.74,-,-,"486,164",21.55,"142,167",39.60,"627,452",10.71,"1,068,098",20.66,-,-,"6,248,144",50.08
1998M01,"10,350,008",15.90,"2,226,036",12.89,"16,695",-12.57,"4,490",5.20,"776,864",17.52,"15,453",-16.48,"123,128",1.35,"632,361",15.36,"68,306",27.54,-,-,"458,403",7.86,"130,336",7.99,"623,840",7.09,"1,070,833",11.91,-,-,"6,429,299",18.65
1998M02,"10,547,696",17.58,"2,218,710",17.21,"16,403",-12.01,"5,025",22.00,"763,511",19.64,"16,523",17.69,"119,010",4.93,"627,588",19.99,"67,983",24.54,-,-,"468,214",12.40,"134,453",21.83,"625,011",11.04,"1,085,397",8.18,-,-,"6,618,578",20.09
1998M03,"10,606,054",17.35,"2,270,554",19.03,"19,290",2.80,"5,638",38.66,"768,027",22.19,"15,612",12.13,"116,783",1.73,"651,185",23.42,"65,923",27.86,-,-,"484,242",11.24,"143,854",27.42,"632,903",10.52,"1,087,832",8.56,-,-,"6,614,765",19.06
1998M04,"10,562,657",17.14,"2,263,312",20.28,"19,383",4.22,"5,581",24.83,"761,855",24.22,"15,247",17.49,"118,124",2.97,"642,416",22.57,"65,038",28.56,-,-,"490,814",14.55,"144,854",26.54,"571,726",-1.03,"1,084,215",8.90,-,-,"6,643,404",19.44
1998M05,"10,662,135",17.16,"2,284,505",18.25,"19,199",3.68,"5,578",40.43,"759,484",21.90,"16,363",22.62,"117,817",5.31,"645,476",20.75,"63,064",19.41,-,-,"508,050",12.26,"149,474",23.30,"603,550",-1.05,"1,066,960",6.82,-,-,"6,707,120",20.64
1998M06,"10,893,835",17.12,"2,469,142",23.26,"20,603",5.92,"4,378",-23.85,"836,544",26.61,"17,769",25.97,"124,142",1.58,"701,913",24.78,"87,169",31.52,-,-,"518,753",21.11,"157,871",27.49,"625,144",-1.60,"1,045,310",4.26,-,-,"6,754,239",19.33
1998M07,"10,933,056",17.46,"2,453,646",23.31,"20,125",7.50,"4,088",15.61,"843,516",29.78,"16,856",20.31,"116,365",0.99,"685,721",23.65,"69,195",15.44,-,-,"535,003",21.70,"162,777",21.22,"605,504",-2.58,"1,045,509",4.35,-,-,"6,828,397",19.91
1998M08,"11,019,532",17.25,"2,482,871",19.72,"20,269",7.34,"4,723",34.37,"831,224",21.25,"19,493",23.48,"117,659",-2.19,"708,169",21.73,"65,269",17.48,-,-,"549,849",21.22,"166,216",19.53,"594,473",-2.23,"1,097,985",5.31,-,-,"6,844,203",20.64
1998M09,"11,177,249",16.48,"2,569,789",22.70,"20,008",-0.70,"4,388",13.39,"843,807",21.93,"44,015",-0.73,"115,251",-4.24,"720,594",25.75,"66,076",8.69,-,-,"585,777",32.57,"169,873",23.18,"593,471",-4.75,"1,102,796",4.09,-,-,"6,911,193",18.77
1998M10,"11,260,347",15.37,"2,582,429",20.88,"19,849",1.36,"4,603",-7.83,"841,484",17.12,"17,662",-3.71,"117,370",-5.28,"723,075",19.01,"60,985",-5.08,-,-,"624,550",38.40,"172,851",35.11,"559,672",-3.17,"1,125,509",6.28,-,-,"6,992,737",16.80
1998M11,"11,438,996",15.64,"2,603,845",19.43,"20,949",12.75,"4,405",-29.01,"840,182",12.73,"18,593",13.25,"123,222",0.32,"711,870",15.76,"67,052",-3.00,-,-,"636,345",40.43,"181,227",35.56,"568,132",-2.83,"1,139,441",6.60,-,-,"7,127,578",17.65
1998M12,"11,609,415",12.89,"2,669,213",14.07,"20,766",14.84,"4,580",-9.22,"858,135",7.16,"17,316",0.53,"134,352",1.86,"754,693",13.70,"64,180",-14.34,-,-,"635,081",30.63,"180,110",26.69,"623,535",-0.62,"1,137,995",6.54,-,-,"7,178,672",14.89
1999M01,"11,737,729",13.41,"2,580,525",15.92,"20,394",22.16,"3,851",-14.23,"815,453",4.97,"16,540",7.03,"124,612",1.21,"722,383",14.24,"67,712",-0.87,-,-,"637,138",38.99,"172,442",32.31,"615,765",-1.29,"1,148,456",7.25,-,-,"7,392,983",14.99
1999M02,"11,785,049",11.73,"2,595,583",16.99,"21,345",30.13,"3,448",-31.38,"832,526",9.04,"18,078",9.41,"123,132",3.46,"720,902",14.87,"54,023",-20.53,-,-,"652,149",39.28,"169,980",26.42,"569,106",-8.94,"1,186,081",9.28,-,-,"7,434,279",12.32
1999M03,"11,848,715",11.72,"2,595,641",14.32,"20,567",6.62,"3,473",-38.40,"835,339",8.76,"15,015",-3.82,"120,410",3.11,"707,069",8.58,"57,363",-12.98,-,-,"662,708",36.85,"173,697",20.75,"579,792",-8.39,"1,193,369",9.70,-,-,"7,479,913",13.08
1999M04,"11,945,589",13.09,"2,592,771",14.56,"16,179",-16.53,"3,538",-36.61,"834,315",9.51,"15,516",1.76,"118,946",0.70,"707,854",10.19,"54,499",-16.20,-,-,"667,101",35.92,"174,823",20.69,"599,126",4.79,"1,204,071",11.05,-,-,"7,549,621",13.64
1999M05,"11,965,403",12.22,"2,596,205",13.64,"16,080",-16.25,"3,875",-30.53,"829,833",9.26,"17,482",6.84,"118,319",0.43,"714,493",10.69,"56,690",-10.11,-,-,"668,453",31.57,"170,980",14.39,"643,920",6.69,"1,201,159",12.58,-,-,"7,524,119",12.18
1999M06,"12,239,457",12.35,"2,695,110",9.15,"17,604",-14.56,"3,690",-15.71,"862,603",3.12,"16,571",-6.74,"133,719",7.71,"740,978",5.57,"71,144",-18.38,-,-,"673,916",29.91,"174,885",10.78,"680,512",8.86,"1,200,965",14.89,-,-,"7,662,870",13.45
1999M07,"12,101,711",10.69,"2,639,085",7.56,"16,892",-16.06,"3,548",-13.21,"842,061",-0.17,"15,160",-10.06,"116,276",-0.08,"725,732",5.83,"62,094",-10.26,-,-,"692,666",29.47,"164,656",1.15,"615,589",1.67,"1,215,438",16.25,-,-,"7,631,599",11.76
1999M08,"12,135,196",10.12,"2,624,617",5.71,"19,028",-6.12,"3,285",-30.45,"825,537",-0.68,"16,493",-15.39,"114,133",-3.00,"737,364",4.12,"63,604",-2.55,-,-,"677,487",23.21,"167,686",0.88,"620,296",4.34,"1,210,229",10.22,-,-,"7,680,054",12.21
1999M09,"12,221,332",9.34,"2,643,139",2.85,"17,795",-11.06,"3,444",-21.51,"831,385",-1.47,"17,126",-61.09,"115,478",0.20,"740,361",2.74,"60,370",-8.64,-,-,"688,767",17.58,"168,413",-0.86,"650,677",9.64,"1,212,219",9.92,-,-,"7,715,297",11.63
1999M10,"12,265,203",8.92,"2,674,844",3.58,"18,472",-6.94,"3,586",-22.09,"865,476",2.85,"15,362",-13.02,"118,251",0.75,"735,930",1.78,"58,004",-4.89,-,-,"686,828",9.97,"172,935",0.05,"648,074",15.80,"1,204,838",7.05,-,-,"7,737,447",10.65
1999M11,"12,333,343",7.82,"2,699,493",3.67,"18,669",-10.88,"3,605",-18.16,"871,318",3.71,"15,471",-16.79,"116,631",-5.35,"725,368",1.90,"59,525",-11.23,-,-,"705,336",10.84,"183,570",1.29,"657,020",15.65,"1,196,720",5.03,-,-,"7,780,110",9.16
1999M12,"12,650,359",8.97,"2,894,579",8.44,"18,046",-13.10,"3,959",-13.56,"954,558",11.24,"15,799",-8.76,"129,911",-3.31,"787,283",4.32,"90,410",40.87,-,-,"713,361",12.33,"181,252",0.63,"670,058",7.46,"1,211,566",6.46,-,-,"7,874,156",9.69
2000M01,"12,762,467",8.73,"2,852,499",10.54,"12,211",-40.12,"3,724",-3.30,"881,599",8.11,"44,352",168.15,"126,275",1.33,"744,946",3.12,"86,987",28.47,-,-,"758,921",19.11,"193,484",12.20,"640,748",4.06,"1,229,142",7.03,-,-,"8,040,078",8.75
2000M02,"12,828,671",8.86,"2,812,049",8.34,"11,874",-44.37,"4,011",16.33,"866,454",4.08,"15,111",-16.41,"118,502",-3.76,"740,523",2.72,"93,074",72.29,-,-,"773,636",18.63,"188,864",11.11,"672,134",18.10,"1,246,787",5.12,-,-,"8,097,701",8.92
2000M03,"12,997,984",9.70,"2,856,928",10.07,"12,482",-39.31,"4,118",18.57,"877,185",5.01,"15,382",2.44,"117,201",-2.67,"741,775",4.91,"111,587",94.53,-,-,"778,277",17.44,"198,921",14.52,"664,545",14.62,"1,245,982",4.41,-,-,"8,230,529",10.04
2000M04,"12,941,602",8.34,"2,924,273",12.79,"12,527",-22.57,"3,715",5.00,"868,573",4.11,"14,564",-6.14,"116,154",-2.35,"792,051",11.89,"131,174",140.69,-,-,"786,615",17.92,"198,900",13.77,"683,809",14.13,"1,250,662",3.87,-,-,"8,082,858",7.06
2000M05,"12,890,947",7.74,"2,969,716",14.39,"11,944",-25.72,"3,588",-7.41,"864,268",4.15,"13,936",-20.28,"114,774",-3.00,"801,448",12.17,"142,963",152.18,-,-,"811,300",21.37,"205,495",20.19,"720,165",11.84,"1,251,919",4.23,-,-,"7,949,147",5.65
2000M06,"13,028,294",6.45,"3,099,226",14.99,"12,195",-30.73,"3,712",0.60,"956,079",10.84,"14,241",-14.06,"122,308",-8.53,"841,661",13.59,"148,726",109.05,-,-,"792,555",17.60,"207,749",18.79,"713,791",4.89,"1,263,018",5.17,-,-,"7,952,259",3.78
2000M07,"13,009,132",7.50,"3,022,531",14.53,"11,600",-31.33,"3,772",6.31,"906,303",7.63,"14,100",-6.99,"115,663",-0.53,"800,249",10.27,"144,315",132.41,-,-,"817,107",17.97,"209,422",27.19,"723,427",17.52,"1,241,048",2.11,-,-,"8,022,126",5.12
2000M08,"13,092,165",7.89,"3,110,638",18.52,"11,597",-39.05,"3,540",7.76,"924,620",12.00,"13,873",-15.89,"117,000",2.51,"816,665",10.75,"174,439",174.26,-,-,"846,408",24.93,"202,496",20.76,"714,494",15.19,"1,260,429",4.15,-,-,"8,006,604",4.25
2000M09,"13,092,558",7.13,"3,155,253",19.38,"11,476",-35.51,"3,595",4.38,"962,306",15.75,"14,605",-14.72,"113,997",-1.28,"827,137",11.72,"184,286",205.26,-,-,"838,426",21.73,"199,425",18.41,"705,114",8.37,"1,264,855",4.34,-,-,"7,967,336",3.27
2000M10,"13,180,321",7.46,"3,223,564",20.51,"11,341",-38.60,"3,529",-1.59,"1,004,760",16.09,"14,740",-4.05,"117,518",-0.62,"851,748",15.74,"185,613",220.00,-,-,"832,102",21.15,"202,213",16.93,"691,006",6.62,"1,260,219",4.60,-,-,"8,005,532",3.46
2000M11,"13,345,154",8.20,"3,273,401",21.26,"11,842",-36.57,"3,685",2.22,"1,033,766",18.64,"14,194",-8.25,"120,980",3.73,"861,993",18.84,"189,010",217.53,-,-,"831,658",17.91,"206,273",12.37,"696,550",6.02,"1,270,321",6.15,-,-,"8,104,882",4.17
2000M12,"13,677,441",8.12,"3,447,628",19.11,"11,935",-33.86,"3,798",-4.07,"1,118,436",17.17,"14,835",-6.10,"136,536",5.10,"904,369",14.87,"213,154",135.76,-,-,"826,918",15.92,"217,647",20.08,"715,766",6.82,"1,285,021",6.06,-,-,"8,229,026",4.51
2001M01,"13,604,097",6.59,"3,231,605",13.29,"11,390",-6.72,"3,604",-3.22,"998,436",13.25,"14,433",-67.46,"119,477",-5.38,"845,006",13.43,"206,275",137.13,-,-,"820,962",8.17,"212,022",9.58,"671,026",4.73,"1,277,136",3.90,-,-,"8,424,330",4.78
2001M02,"13,693,475",6.74,"3,223,130",14.62,"11,749",-1.05,"3,761",-6.23,"985,941",13.79,"13,648",-9.68,"118,762",0.22,"843,771",13.94,"191,376",105.62,-,-,"850,595",9.95,"203,527",7.76,"658,355",-2.05,"1,324,050",6.20,-,-,"8,487,940",4.82
2001M03,"13,718,899",5.55,"3,196,768",11.90,"13,057",4.61,"3,665",-11.00,"976,790",11.36,"13,280",-13.67,"119,637",2.08,"837,363",12.89,"187,935",68.42,-,-,"845,020",8.58,"200,021",0.55,"663,869",-0.10,"1,318,105",5.79,-,-,"8,540,157",3.76
2001M04,"13,608,278",5.15,"3,148,595",7.67,"12,773",1.96,"3,470",-6.59,"954,792",9.93,"13,543",-7.01,"115,710",-0.38,"820,095",3.54,"172,127",31.22,-,-,"860,719",9.42,"195,366",-1.78,"678,773",-0.74,"1,323,688",5.84,-,-,"8,457,222",4.63
