期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2002M08,351.57,51.16,12.89,-,227.55,25.19,8.34,-,"2,149.18",12.29,78.77,-,0.22,59.42,0.01,-
2002M09,265.28,61.86,13.06,-,170.94,50.12,8.42,-,"1,594.31",53.84,78.50,-,0.49,53.13,0.02,-
2002M10,387.26,93.77,11.50,-,216.21,32.25,6.50,-,"2,749.85",70.29,82.00,-,0.16,128.57,0.00,-
2002M11,418.85,12.59,11.26,-,221.44,-11.30,5.95,-,"3,080.18",-0.95,82.79,-,0.18,63.64,0.00,-
2002M12,402.24,-27.49,12.75,-,179.46,-30.62,5.69,-,"2,572.41",-50.90,81.55,-,0.18,-18.18,0.01,-
2003M01,475.39,-15.75,11.30,-,247.36,-16.62,5.90,-,"3,459.94",-40.84,82.00,-,37.07,"26,378.57",0.80,-
2003M02,218.00,-13.85,11.30,-,170.46,10.60,8.80,-,"1,523.82",-25.71,78.70,-,24.49,"48,880.00",1.20,-
2003M03,229.75,-62.05,12.00,-,202.17,-34.48,10.50,-,"1,457.06",-68.75,76.00,-,28.34,"6,340.91",1.50,-
2003M04,268.76,-48.41,11.40,-,229.70,-23.87,9.80,-,"1,827.61",-55.73,77.60,-,28.62,"2,790.91",1.20,-
2003M05,196.15,-49.90,9.90,-,235.06,-15.67,11.90,-,"1,511.18",-43.61,76.30,-,37.82,"13,407.14",1.90,-
2003M06,458.60,43.67,11.30,-,312.48,13.37,7.70,-,"3,237.46",56.36,79.90,-,42.86,"28,473.33",1.10,-
2003M07,654.08,68.35,11.10,-,395.54,48.42,6.70,-,"4,816.05",91.19,81.50,-,45.67,"50,644.44",0.70,-
2003M08,469.13,33.44,11.20,-,385.60,69.46,9.20,-,"3,301.26",53.61,78.60,-,46.24,"20,918.18",1.00,-
2003M09,404.83,52.60,11.60,-,390.23,128.28,11.10,-,"2,656.92",66.65,75.80,-,52.44,"10,602.04",1.50,-
2003M10,537.42,38.77,11.70,-,534.31,147.13,11.60,-,"3,462.03",25.90,75.20,-,68.89,"42,956.25",1.50,-
2003M11,425.94,1.69,12.50,-,398.13,79.79,11.70,-,"2,517.17",-18.28,74.20,-,52.97,"29,327.78",1.60,-
2003M12,376.27,-6.46,13.00,-,355.20,97.93,12.30,-,"2,115.16",-17.78,73.20,-,43.94,"24,311.11",1.50,-
2004M01,427.18,-10.14,11.60,-,425.79,72.13,11.50,-,"2,779.47",-19.67,75.30,-,59.99,61.83,1.60,-
2004M02,646.20,196.42,10.10,-,521.30,205.82,8.10,-,"5,175.19",239.62,80.60,-,76.68,213.11,1.20,-
2004M03,842.32,266.62,11.20,-,753.25,272.58,10.00,-,"5,850.77",301.55,77.50,-,102.35,261.15,1.30,-
2004M04,671.39,149.81,10.50,-,514.88,124.15,8.00,-,"5,131.58",180.78,80.20,-,82.56,188.47,1.30,-
2004M05,424.56,116.45,11.30,-,425.61,81.06,11.30,-,"2,847.35",88.42,75.70,-,64.80,71.34,1.70,-
2004M06,324.14,-29.32,11.00,-,343.72,10.00,11.60,-,"2,221.02",-31.40,75.30,-,62.10,44.89,2.10,-
2004M07,256.27,-60.82,10.90,-,323.30,-18.26,13.70,-,"1,723.77",-64.21,73.10,-,53.79,17.78,2.30,-
2004M08,277.27,-40.90,11.10,-,322.14,-16.46,12.90,-,"1,856.25",-43.77,74.20,-,46.96,1.56,1.90,-
2004M09,420.16,3.79,12.00,-,343.78,-11.90,9.90,-,"2,674.85",0.67,76.60,-,52.84,0.76,1.50,-
2004M10,411.90,-23.36,12.50,-,371.21,-30.53,11.20,-,"2,462.60",-28.87,74.50,-,59.39,-13.79,1.80,-
2004M11,398.44,-6.46,12.90,-,522.99,31.36,16.90,-,"2,104.58",-16.39,68.10,-,62.18,17.39,2.00,-
2004M12,490.75,30.42,17.30,-,391.00,10.08,13.80,-,"1,892.15",-10.54,66.70,-,62.81,42.94,2.20,-
2005M01,303.19,-29.03,12.90,-,385.24,-9.52,16.40,-,"1,586.57",-42.92,67.80,-,67.88,13.15,2.90,-
2005M02,314.89,-51.27,13.90,-,354.71,-31.96,15.60,-,"1,537.80",-70.29,67.80,-,62.05,-19.08,2.70,-
2005M03,476.28,-43.46,14.00,-,477.71,-36.58,14.10,-,"2,368.90",-59.51,69.80,-,71.34,-30.30,2.10,-
2005M04,333.42,-50.34,13.80,-,383.20,-25.57,15.90,-,"1,624.98",-68.33,67.40,-,68.70,-16.79,2.90,-
2005M05,366.07,-13.78,13.80,-,460.32,8.16,17.40,-,"1,748.23",-38.60,66.10,-,70.31,8.50,2.70,-
2005M06,478.65,47.67,13.00,-,606.00,76.31,16.40,-,"2,507.23",12.89,68.10,-,90.62,45.93,2.50,-
2005M07,529.18,106.49,13.90,-,497.32,53.83,13.00,-,"2,718.99",57.74,71.20,-,71.32,32.59,1.90,-
2005M08,423.34,52.68,12.20,-,517.76,60.73,14.90,-,"2,447.78",31.87,70.50,-,83.11,76.98,2.40,-
2005M09,342.35,-18.52,12.30,-,461.79,34.33,16.70,-,"1,884.79",-29.54,67.90,-,85.02,60.90,3.10,-
2005M10,341.55,-17.08,11.90,-,502.22,35.29,17.50,-,"1,950.89",-20.78,68.00,-,75.87,27.75,2.60,-
2005M11,397.82,-0.16,11.40,-,532.31,1.78,15.20,-,"2,486.59",18.15,71.00,-,85.67,37.78,2.40,-
2005M12,757.13,54.28,15.40,-,712.55,82.24,14.50,-,"3,366.02",77.89,68.40,-,86.21,37.26,1.70,-
2006M01,507.80,67.49,11.60,-,644.23,67.23,14.70,-,"3,131.26",97.36,71.40,-,101.12,48.97,2.30,-
