期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
2003M09,"13,179",49.37,0.58,-,"5,775",11.92,0.26,-,"1,583",-7.64,"1,327",-10.03,256,7.11,275,17.52,221,22.78,54,0.00
2003M10,"16,322",15.11,0.72,-,"5,655",4.20,0.25,-,"1,644",-4.70,"1,390",-7.09,254,10.92,276,26.03,209,14.84,67,81.08
2003M11,"15,617",-1.52,0.69,-,"4,880",4.12,0.22,-,"1,775",14.37,"1,561",17.63,214,-4.89,251,12.05,189,4.42,62,44.19
2003M12,"21,918",-5.63,0.97,-,"5,530",7.21,0.24,-,"2,454",33.22,"2,176",37.72,278,6.11,259,5.28,210,6.06,49,2.08
2004M01,"22,225",15.25,0.98,-,"4,100",-10.89,0.18,-,"1,812",-10.43,"1,572",-12.57,240,6.67,246,8.85,192,6.67,54,17.39
2004M02,"13,911",17.98,0.62,-,"5,298",16.72,0.23,-,"1,543",40.02,"1,326",50.51,217,-1.81,234,9.35,183,6.40,51,21.43
2004M03,"10,280",-22.97,0.45,-,"5,763",1.69,0.25,-,"1,574",-2.18,"1,295",-4.78,279,12.05,323,20.52,258,25.24,65,4.84
2004M04,"6,958",-54.51,0.31,-,"5,296",-2.05,0.23,-,"1,349",-15.85,"1,140",-18.80,209,5.03,270,14.89,209,10.58,61,32.61
2004M05,"9,985",-30.10,0.44,-,"5,278",1.95,0.23,-,"1,608",-0.56,"1,347",-2.81,261,12.99,290,31.82,227,35.12,63,21.15
2004M06,"8,975",-18.10,0.40,-,"5,338",-5.99,0.24,-,"1,817",17.45,"1,584",20.09,233,2.19,308,32.76,251,42.61,57,1.79
2004M07,"9,549",-18.89,0.42,-,"5,493",-13.84,0.24,-,"1,997",22.14,"1,736",25.62,261,3.16,279,-9.12,238,0.42,41,-41.43
2004M08,"7,511",-2.61,0.33,-,"5,437",-2.60,0.24,-,"1,871",78.02,"1,662",92.14,209,12.37,344,31.30,271,30.92,73,32.73
2004M09,"6,024",-54.29,0.27,-,"5,300",-8.23,0.23,-,"1,724",8.91,"1,516",14.24,208,-18.75,331,20.36,268,21.27,63,16.67
2004M10,"10,212",-37.43,0.45,-,"4,980",-11.94,0.22,-,"1,632",-0.73,"1,438",3.45,194,-23.62,317,14.86,253,21.05,64,-4.48
2004M11,"12,303",-21.22,0.54,-,"5,222",7.01,0.23,-,"1,603",-9.69,"1,382",-11.47,221,3.27,310,23.51,249,31.75,61,-1.61
2004M12,"13,520",-38.32,0.60,-,"5,291",-4.32,0.23,-,"1,808",-26.32,"1,569",-27.90,239,-14.03,289,11.58,233,10.95,56,14.29
2005M01,"14,923",-32.85,0.66,-,"4,363",6.41,0.19,-,"1,925",6.24,"1,727",9.86,198,-17.50,300,21.95,247,28.65,53,-1.85
2005M02,"10,377",-25.40,0.46,-,"3,573",-32.56,0.16,-,"1,060",-31.30,861,-35.07,199,-8.29,217,-7.26,176,-3.83,41,-19.61
2005M03,"13,920",35.41,0.61,-,"5,733",-0.52,0.25,-,"1,700",8.01,"1,421",9.73,279,0.00,365,13.00,308,19.38,57,-12.31
