期間,證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融債券及定期存單_原始值,證券投資--金融債券及定期存單_年增率(%),證券投資--公司債券_原始值,證券投資--公司債券_年增率(%),存放央行--支票存款_原始值,存放央行--支票存款_年增率(%),存放央行--定期存款_原始值,存放央行--定期存款_年增率(%),庫存現金_原始值,庫存現金_年增率(%),固定資產_原始值,固定資產_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),賠款準備_原始值,賠款準備_年增率(%),其他負債(淨額)_原始值,其他負債(淨額)_年增率(%),淨值_原始值,淨值_年增率(%)
2001M05,"1,474",-0.94,"2,710",-71.50,0,-100.00,2,-33.33,"15,986",47.02,0,--,535,6.57,499,-43.30,"21,206",-9.08,"6,216",109.36,"3,609",-60.37,"11,381",1.19
2001M06,"1,473",-0.20,"2,450",-67.11,0,--,2,-71.43,"15,792",47.09,0,--,535,6.79,514,-3.20,"20,766",0.32,"6,476",96.60,"2,882",-52.95,"11,408",1.13
2001M07,"1,473",-0.20,"2,570",-36.04,0,--,49,-27.94,"16,005",43.49,0,--,534,1.52,"1,892",22.78,"22,523",19.91,"7,072",99.21,"4,250",8.61,"11,201",-1.05
2001M08,"1,473",-0.14,"2,890",-18.96,0,--,3,0.00,"16,727",29.27,0,--,533,0.57,498,12.93,"22,124",16.72,"7,330",92.44,"3,517",-7.08,"11,277",-0.74
2001M09,"1,473",-0.14,200,-94.62,0,--,10,233.33,"17,373",37.76,0,--,532,0.57,455,-6.38,"20,043",6.50,"7,612",87.16,"1,154",-65.80,"11,277",-0.90
2001M10,"1,523",-0.20,200,-92.91,0,--,3,-40.00,"17,208",40.80,0,--,531,0.57,659,-47.32,"20,124",9.66,"7,929",83.37,918,-64.81,"11,277",-1.24
2001M11,"1,549",7.87,300,-89.86,0,--,3,-25.00,"17,577",40.03,0,--,532,0.00,492,-45.70,"20,453",11.22,"8,227",79.55,949,-59.62,"11,277",-1.58
2001M12,"1,596",7.47,300,-90.43,0,--,4,-20.00,"17,559",37.44,0,--,534,-1.11,439,3.05,"20,432",11.24,"8,528",73.47,627,-71.90,"11,277",0.51
2002M01,"1,649",11.04,300,-90.43,0,--,3,-93.02,"18,592",44.31,0,--,533,-1.11,"1,456",-26.58,"22,533",12.28,"8,846",70.97,"2,410",-33.61,"11,277",0.12
2002M02,"1,548",4.31,400,-87.24,0,--,3,50.00,"19,659",35.50,0,--,532,-1.12,446,-25.42,"22,588",11.46,"9,161",68.56,"2,150",-39.01,"11,277",-0.25
