期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
2000,"21,400,826",1.47,"10,710,080",0.91,"10,690,746",2.05,"629,395",1.02,...,...,...,...,"7,915,789",2.28,"4,045,285",2.09,"3,870,504",2.49,"1,779,500",-1.14,"907,500",-1.07,"872,000",-1.22
2001,"21,653,555",1.18,"10,805,834",0.89,"10,847,721",1.47,"629,358",-0.01,...,...,...,...,"7,779,127",-1.73,"3,960,438",-2.10,"3,818,689",-1.34,"1,766,854",-0.71,"901,687",-0.64,"865,167",-0.78
2002,"21,869,478",1.00,"10,905,211",0.92,"10,964,267",1.07,"626,652",-0.43,...,...,...,...,"7,857,842",1.01,"3,994,606",0.86,"3,863,236",1.17,"1,748,558",-1.04,"894,329",-0.82,"854,229",-1.26
2003,"21,984,415",0.53,"10,938,048",0.30,"11,046,367",0.75,"622,851",-0.61,...,...,...,...,"8,102,570",3.11,"4,113,466",2.98,"3,989,104",3.26,"1,710,122",-2.20,"876,104",-2.04,"834,018",-2.37
2004,"22,134,270",0.68,"11,007,812",0.64,"11,126,458",0.73,"617,260",-0.90,...,...,...,...,"8,341,927",2.95,"4,230,902",2.85,"4,111,025",3.06,"1,676,550",-1.96,"860,227",-1.81,"816,323",-2.12
2005,"22,314,647",0.81,"11,074,927",0.61,"11,239,720",1.02,"591,158",-4.23,...,...,...,...,"8,540,755",2.38,"4,204,326",-0.63,"4,336,429",5.48,"1,646,035",-1.82,"845,713",-1.69,"800,322",-1.96
2006,"22,484,427",0.76,"11,146,116",0.64,"11,338,311",0.88,"589,237",-0.32,"308,185",...,"281,052",...,"8,681,145",1.64,"4,364,740",3.82,"4,316,405",-0.46,"1,622,923",-1.40,"834,869",-1.28,"788,054",-1.53
2007,"22,803,048",1.42,"11,387,207",2.16,"11,415,841",0.68,"590,808",0.27,"307,864",-0.10,"282,944",0.67,"8,799,405",1.36,"4,504,012",3.19,"4,295,393",-0.49,"1,601,410",-1.33,"823,965",-1.31,"777,445",-1.35
2008,"22,918,144",0.50,"11,431,857",0.39,"11,486,287",0.62,"594,798",0.68,"309,302",0.47,"285,496",0.90,"8,795,248",-0.05,"4,461,217",-0.95,"4,334,031",0.90,"1,573,364",-1.75,"807,519",-2.00,"765,845",-1.49
2009,"23,025,773",0.47,"11,469,545",0.33,"11,556,228",0.61,"597,983",0.54,"309,905",0.19,"288,078",0.90,"9,029,279",2.66,"4,522,113",1.37,"4,507,166",3.99,"1,540,988",-2.06,"785,507",-2.73,"755,481",-1.35
2010,"23,074,487",0.21,"11,476,860",0.06,"11,597,627",0.36,"597,583",-0.07,"307,924",-0.64,"289,659",0.55,"9,397,608",4.08,"4,720,344",4.38,"4,677,264",3.77,"1,508,284",-2.12,"766,732",-2.39,"741,552",-1.84
2011,"23,198,664",0.54,"11,529,426",0.46,"11,669,238",0.62,"593,949",-0.61,"304,203",-1.21,"289,746",0.03,"9,725,761",3.49,"4,885,705",3.50,"4,840,056",3.48,"1,479,148",-1.93,"750,312",-2.14,"728,836",-1.71
2012,"23,280,949",0.35,"11,588,126",0.51,"11,722,823",0.46,"593,846",-0.02,"301,302",-0.95,"292,544",0.97,"9,709,511",-0.17,"4,884,242",-0.03,"4,825,269",-0.31,"1,454,728",-1.65,"736,988",-1.78,"717,740",-1.52
2013,"23,462,863",0.78,...,...,...,...,"593,760",-0.01,"298,335",-0.98,"295,425",0.98,"9,745,794",0.37,"4,901,632",0.36,"4,844,162",0.39,"1,409,634",-3.10,"711,287",-3.49,"698,347",-2.70
