期間,全體家庭之平均每戶人數(人),可支配所得按戶數五等分位組之平均每戶人數-最低所得組(人),可支配所得按戶數五等分位組之平均每戶人數-次低所得組(人),可支配所得按戶數五等分位組之平均每戶人數-中間所得組(人),可支配所得按戶數五等分位組之平均每戶人數-次高所得組(人),可支配所得按戶數五等分位組之平均每戶人數-最高所得組(人),平均每戶人數-第五分位組為第一分位組之倍數(倍),全體家庭之平均每戶就業人數(人),可支配所得按戶數五等分位組之平均每戶就業人數-最低所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-次低所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-中間所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-次高所得組(人),可支配所得按戶數五等分位組之平均每戶就業人數-最高所得組(人),平均每戶就業人數-第五分位組為第一分位組之倍數(倍)
2004,3.50,1.96,3.16,3.81,4.14,4.43,2.26,1.53,0.60,1.21,1.59,1.93,2.34,3.90
2005,3.42,1.92,3.02,3.75,4.08,4.35,2.27,1.51,0.56,1.18,1.56,1.92,2.31,4.13
2006,3.41,1.87,3.01,3.71,4.07,4.37,2.34,1.52,0.59,1.19,1.59,1.90,2.32,3.93
2007,3.38,1.93,2.94,3.65,4.07,4.32,2.24,1.50,0.60,1.14,1.56,1.93,2.29,3.82
2008,3.35,1.88,2.91,3.62,4.06,4.29,2.28,1.49,0.54,1.15,1.55,1.94,2.27,4.20
2009,3.34,1.89,2.93,3.57,3.96,4.34,2.30,1.46,0.53,1.14,1.53,1.85,2.25,4.25
2010,3.25,1.82,2.83,3.48,3.92,4.20,2.31,1.44,0.53,1.10,1.50,1.84,2.21,4.17
2011,3.29,1.89,2.83,3.50,3.95,4.27,2.26,1.49,0.54,1.11,1.58,1.92,2.29,4.24
2012,3.23,1.83,2.76,3.43,3.87,4.24,2.32,1.46,0.51,1.09,1.52,1.90,2.28,4.47
2013,3.21,1.80,2.72,3.40,3.93,4.19,2.33,1.46,0.51,1.04,1.54,1.94,2.29,4.49
