期間,合計_人次,合計_千人率(0/00),傷病_人次,傷病_千人率(0/00),失能_人次,失能_千人率(0/00),死亡_人次,死亡_千人率(0/00)
2010M07,"3,520",0.379,"3,264",0.352,236,0.025,20,0.002
2010M08,"3,619",0.390,"3,354",0.361,238,0.026,27,0.003
2010M09,"3,600",0.386,"3,346",0.358,231,0.025,23,0.002
2010M10,"3,600",0.383,"3,336",0.355,233,0.025,31,0.003
2010M11,"3,776",0.400,"3,503",0.371,247,0.026,26,0.003
2010M12,"3,309",0.352,"3,071",0.327,220,0.023,18,0.002
2011M01,"3,541",0.375,"3,266",0.346,247,0.026,28,0.003
2011M02,"2,336",0.247,"2,131",0.226,187,0.020,18,0.002
2011M03,"3,211",0.339,"2,948",0.311,233,0.025,30,0.003
2011M04,"2,947",0.310,"2,722",0.287,204,0.022,21,0.001
2011M05,"3,393",0.357,"3,100",0.325,263,0.028,30,0.004
2011M06,"3,340",0.352,"3,078",0.325,237,0.025,25,0.003
2011M07,"3,269",0.340,"2,988",0.310,249,0.027,32,0.003
2011M08,"3,824",0.398,"3,548",0.369,249,0.026,27,0.003
2011M09,"3,260",0.337,"2,995",0.310,234,0.024,31,0.003
2011M10,"3,516",0.362,"3,263",0.336,228,0.023,25,0.003
2011M11,"3,619",0.372,"3,345",0.344,247,0.025,27,0.003
2011M12,"3,748",0.385,"3,474",0.357,250,0.026,24,0.002
2012M01,"2,749",0.285,"2,515",0.260,214,0.022,20,0.002
2012M02,"2,791",0.288,"2,557",0.264,208,0.021,26,0.003
2012M03,"3,540",0.363,"3,245",0.333,269,0.028,26,0.003
2012M04,"3,029",0.310,"2,757",0.283,244,0.025,28,0.003
2012M05,"3,174",0.325,"2,931",0.300,222,0.023,21,0.002
2012M06,"3,179",0.326,"2,944",0.302,217,0.022,18,0.002
2012M07,"3,534",0.361,"3,240",0.331,259,0.026,35,0.004
2012M08,"3,802",0.387,"3,506",0.357,256,0.026,40,0.004
2012M09,"3,235",0.327,"3,008",0.305,208,0.021,19,0.002
2012M10,"3,484",0.354,"3,246",0.330,216,0.022,22,0.002
2012M11,"3,539",0.361,"3,277",0.334,230,0.023,32,0.003
2012M12,"3,219",0.332,"2,967",0.306,226,0.023,26,0.003
2013M01,"3,579",0.369,"3,317",0.342,237,0.024,25,0.003
2013M02,"2,397",0.248,"2,220",0.230,157,0.016,20,0.002
2013M03,"2,759",0.286,"2,533",0.262,196,0.020,30,0.003
2013M04,"2,904",0.301,"2,665",0.276,218,0.023,21,0.002
2013M05,"3,148",0.326,"2,899",0.300,228,0.024,21,0.002
2013M06,"2,656",0.276,"2,437",0.253,198,0.021,21,0.002
2013M07,"3,280",0.339,"3,028",0.313,229,0.024,23,0.002
2013M08,"3,044",0.313,"2,815",0.290,206,0.021,23,0.002
2013M09,"3,052",0.314,"2,830",0.291,196,0.020,26,0.003
2013M10,"3,326",0.341,"3,093",0.317,203,0.021,30,0.003
2013M11,"2,982",0.305,"2,739",0.280,217,0.022,26,0.003
2013M12,"2,962",0.304,"2,726",0.280,213,0.022,23,0.002
2014M01,"2,830",0.290,"2,592",0.266,208,0.021,30,0.003
2014M02,"2,014",0.207,"1,856",0.190,147,0.015,11,0.001
2014M03,"2,740",0.281,"2,514",0.258,203,0.021,23,0.002
2014M04,"2,926",0.299,"2,740",0.280,161,0.016,25,0.003
2014M05,"2,726",0.278,"2,499",0.255,211,0.022,16,0.002
2014M06,"2,548",0.261,"2,336",0.239,191,0.020,21,0.002
