期間,合計_原始值,合計_年增率(%),小型車_原始值,小型車_年增率(%),大客貨車_原始值,大客貨車_年增率(%),聯結車_原始值,聯結車_年增率(%),每日平均通行車輛數_原始值,每日平均通行車輛數_年增率(%)
2008M03,"47,584",-0.10,"39,399",0.15,"4,732",-2.93,"3,453",1.10,"1,535",-0.10
2008M04,"49,138",1.93,"41,272",2.35,"4,660",-0.44,"3,207",0.16,"1,638",1.93
2008M05,"47,211",1.05,"38,892",0.52,"4,838",3.25,"3,481",4.21,"1,523",1.05
2008M06,"46,909",3.80,"39,271",5.03,"4,458",-1.20,"3,181",-3.38,"1,564",3.80
2008M07,"50,133",2.98,"41,864",2.97,"4,798",0.67,"3,471",6.41,"1,617",2.98
2008M08,"45,563",-5.77,"37,794",-6.39,"4,434",-3.42,"3,335",-1.56,"1,470",-5.77
2008M09,"47,982",5.76,"40,446",7.41,"4,358",-2.82,"3,177",-1.49,"1,599",5.76
2008M10,"45,117",-10.71,"36,959",-13.12,"4,644",-1.70,"3,513",7.72,"1,455",-10.71
2008M11,"44,135",-3.65,"36,141",-4.62,"4,551",-2.19,"3,443",5.53,"1,471",-3.65
2008M12,"47,564",-3.18,"39,378",-4.30,"4,622",-1.18,"3,565",8.08,"1,534",-3.18
2009M01,"46,236",-0.31,"38,028",-1.28,"4,580",2.15,"3,628",7.45,"1,491",-0.31
2009M02,"49,836",-4.03,"43,310",-4.96,"3,757",-0.33,"2,769",6.97,"1,718",-7.33
2009M03,"47,599",0.03,"39,460",0.16,"4,528",-4.30,"3,610",4.55,"1,535",0.03
2009M04,"46,380",-5.61,"38,532",-6.64,"4,344",-6.77,"3,504",9.28,"1,546",-5.61
2009M05,"45,951",-2.67,"37,757",-2.92,"4,505",-6.89,"3,689",5.95,"1,482",-2.67
2009M06,"42,954",-8.43,"35,466",-9.69,"4,073",-8.62,"3,415",7.36,"1,432",-8.43
2009M07,"44,411",-11.41,"36,632",-12.50,"4,272",-10.97,"3,507",1.03,"1,433",-11.41
2009M08,"46,354",1.74,"38,736",2.49,"4,123",-7.01,"3,495",4.80,"1,495",1.74
2009M09,"41,206",-14.12,"34,118",-15.65,"4,005",-8.12,"3,083",-2.96,"1,374",-14.12
2009M10,"45,077",-0.09,"37,818",2.32,"4,225",-9.02,"3,034",-13.64,"1,454",-0.09
2009M11,"43,390",-1.69,"36,794",1.81,"3,901",-14.27,"2,694",-21.75,"1,446",-1.69
2009M12,"44,153",-7.17,"37,280",-5.33,"4,033",-12.74,"2,840",-20.34,"1,424",-7.17
2010M01,"53,073",14.79,"47,152",23.99,"3,619",-20.98,"2,302",-36.57,"1,712",14.79
2010M02,"41,701",-16.32,"35,789",-17.36,"3,492",-7.07,"2,420",-12.61,"1,489",-13.34
2010M03,"44,636",-6.23,"37,751",-4.33,"4,148",-8.39,"2,736",-24.21,"1,440",-6.23
2010M04,"43,615",-5.96,"36,758",-4.60,"4,111",-5.37,"2,746",-21.65,"1,454",-5.96
2010M05,"47,818",4.06,"40,881",8.28,"4,151",-7.87,"2,786",-24.46,"1,543",4.06
2010M06,"41,397",-3.62,"34,531",-2.64,"3,954",-2.93,"2,912",-14.71,"1,380",-3.62
2010M07,"46,638",5.01,"39,390",7.53,"4,210",-1.45,"3,038",-13.37,"1,504",5.01
2010M08,"45,146",-2.61,"38,178",-1.44,"4,158",0.85,"2,809",-19.63,"1,456",-2.61
2010M09,"42,807",3.89,"35,824",5.00,"3,989",-0.38,"2,994",-2.89,"1,427",3.89
2010M10,"44,679",-0.88,"37,468",-0.93,"4,197",-0.68,"3,015",-0.63,"1,441",-0.88
2010M11,"43,077",-0.72,"36,012",-2.13,"4,143",6.20,"2,922",8.44,"1,436",-0.72
2010M12,"44,982",1.88,"37,367",0.23,"4,389",8.81,"3,226",13.62,"1,451",1.88
2011M01,"46,269",-12.82,"38,921",-17.46,"4,169",15.18,"3,179",38.13,"1,493",-12.82
2011M02,"48,896",17.25,"43,016",20.19,"3,456",-1.03,"2,425",0.19,"1,746",17.25
2011M03,"45,940",2.92,"38,068",0.84,"4,506",8.61,"3,367",23.05,"1,482",2.92
