期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
2010M03,172,-7.65,112,-12.60,60,3.41,"2,203",-1.48,"1,136",-2.77,"1,068",-0.07,"2,369",-0.34,19,-17.86,"2,350",-0.17,"2,333",2.63,"1,149",0.89,"1,184",4.38,705,7.22,583,8.51,122,1.51,163,0.53,105,-3.27,58,8.23,54,17.41,37,59.44,17,-26.28
2010M04,168,-10.29,106,-15.44,62,0.08,"2,209",-1.37,"1,143",-2.31,"1,066",-0.34,"2,372",-0.13,19,-12.36,"2,353",-0.02,"2,341",2.55,"1,161",1.49,"1,180",3.62,710,8.81,582,8.79,128,8.91,158,-4.24,98,-10.25,61,7.30,55,3.74,36,17.09,19,-14.54
2010M05,161,-12.38,104,-15.72,57,-5.62,"2,207",-1.37,"1,149",-3.06,"1,058",0.53,"2,361",-0.34,22,-12.62,"2,339",-0.21,"2,352",2.87,"1,160",1.61,"1,193",4.12,686,8.05,557,8.17,129,7.51,184,0.26,120,1.37,64,-1.76,60,7.22,36,16.39,23,-4.53
2010M06,156,-14.11,98,-16.18,58,-10.37,"2,198",-1.35,"1,148",-1.95,"1,051",-0.68,"2,364",0.08,20,-6.43,"2,343",0.14,"2,350",2.35,"1,151",1.18,"1,199",3.49,694,7.66,571,9.37,123,0.35,176,2.56,120,2.42,56,2.84,62,-11.99,42,-10.69,20,-14.68
2010M07,157,-12.28,99,-15.35,58,-6.50,"2,134",-1.90,"1,111",-2.15,"1,023",-1.64,"2,357",-0.32,17,3.24,"2,340",-0.34,"2,352",1.45,"1,167",0.80,"1,185",2.10,697,5.27,566,6.97,131,-1.50,168,14.36,114,11.92,54,19.93,88,-7.37,63,-10.61,26,1.59
2010M08,159,-9.86,106,-7.80,53,-13.71,"2,098",-2.17,"1,090",-3.51,"1,008",-0.68,"2,349",-0.35,20,13.90,"2,329",-0.45,"2,365",1.57,"1,179",1.13,"1,186",2.02,711,7.64,574,8.08,137,5.84,158,1.15,105,-1.10,53,5.90,99,-3.18,67,-0.17,32,-8.86
2010M09,157,-8.34,102,-9.08,55,-6.96,"2,134",-1.15,"1,107",-2.03,"1,027",-0.19,"2,360",-0.24,19,-6.69,"2,341",-0.19,"2,368",1.42,"1,166",0.65,"1,202",2.18,746,13.23,598,11.64,148,20.17,157,-7.08,107,-6.84,50,-7.60,86,-15.60,58,-16.51,28,-13.69
2010M10,153,-8.39,102,-7.24,51,-10.59,"2,141",-1.22,"1,104",-1.37,"1,036",-1.06,"2,364",0.12,19,4.06,"2,345",0.09,"2,366",1.13,"1,166",0.97,"1,199",1.29,758,13.99,597,9.64,161,33.64,161,-7.21,115,-12.82,46,10.53,69,-17.94,45,-23.33,23,-4.98
2010M11,156,-4.62,104,-4.56,52,-4.75,"2,139",-0.94,"1,095",-2.00,"1,044",0.20,"2,365",0.52,20,24.84,"2,344",0.35,"2,362",1.15,"1,169",0.72,"1,193",1.56,743,8.35,587,5.94,156,18.48,176,8.10,126,2.01,50,27.26,63,-4.67,43,-4.00,20,-6.10
2010M12,156,-6.17,103,-10.01,53,2.24,"2,152",-0.87,"1,108",-1.40,"1,044",-0.30,"2,372",0.54,21,7.88,"2,350",0.47,"2,366",1.46,"1,163",0.07,"1,203",2.83,747,7.62,591,6.99,156,10.11,174,4.59,125,5.60,49,2.11,54,-0.65,37,6.83,17,-13.63
