期間,醫療補助-受益人次-合計_原始值,醫療補助-受益人次-合計_年增率(%),醫療補助-受益人次-男_原始值,醫療補助-受益人次-男_年增率(%),醫療補助-受益人次-女_原始值,醫療補助-受益人次-女_年增率(%),醫療補助-金額(元)_原始值,醫療補助-金額(元)_年增率(%),中低收入住院看護補助-補助人次-計_原始值,中低收入住院看護補助-補助人次-計_年增率(%),中低收入住院看護補助-補助人次-男_原始值,中低收入住院看護補助-補助人次-男_年增率(%),中低收入住院看護補助-補助人次-女_原始值,中低收入住院看護補助-補助人次-女_年增率(%),中低收入住院看護補助-金額(元)_原始值,中低收入住院看護補助-金額(元)_年增率(%)
2010Q4,"1,814",4.55,"1,375",7.34,439,-3.30,"18,755,835",4.18,"2,378",18.84,"1,673",18.07,705,20.72,"38,580,546",13.30
2011Q1,"1,460",16.61,"1,126",18.90,334,9.51,"15,800,012",10.26,"1,967",20.53,"1,390",22.90,577,15.17,"31,970,903",30.13
2011Q2,"1,140",-11.01,853,-10.96,287,-11.15,"17,272,280",8.84,"2,551",19.04,"1,822",21.06,729,14.26,"42,786,417",23.71
2011Q3,"1,305",-8.49,995,-7.10,310,-12.68,"15,331,065",1.72,"2,448",27.97,"1,771",26.77,677,31.20,"41,505,495",34.01
2011Q4,"1,478",-18.52,"1,100",-20.00,378,-13.90,"22,514,297",20.04,"2,795",17.54,"2,085",24.63,710,0.71,"46,424,341",20.33
2012Q1,"1,010",-30.82,749,-33.48,261,-21.86,"15,747,103",-0.33,"2,352",19.57,"1,661",19.50,691,19.76,"38,682,394",20.99
2012Q2,"1,268",11.23,944,10.67,324,12.89,"17,144,697",-0.74,"2,334",-8.51,"1,707",-6.31,627,-13.99,"40,230,502",-5.97
2012Q3,"1,156",-11.42,809,-18.69,347,11.94,"20,127,631",31.29,"2,350",-4.00,"1,710",-3.44,640,-5.47,"39,514,063",-4.80
2012Q4,"1,579",6.83,"1,217",10.64,362,-4.23,"18,736,268",-16.78,"2,631",-5.87,"1,966",-5.71,665,-6.34,"44,403,104",-4.35
2013Q1,955,-5.45,686,-8.41,269,3.07,"17,144,281",8.87,"2,185",-7.10,"1,601",-3.61,584,-15.48,"35,918,945",-7.14
2013Q2,"1,068",-15.77,778,-17.58,290,-10.49,"19,026,989",10.98,"2,650",13.54,"1,943",13.83,707,12.76,"43,712,525",8.66
2013Q3,875,-24.31,543,-32.88,332,-4.32,"18,907,035",-6.06,"2,460",4.68,"1,780",4.09,680,6.25,"41,876,696",5.98
2013Q4,"1,424",-9.82,"1,039",-14.63,385,6.35,"25,328,723",35.19,"2,963",12.62,"2,142",8.95,821,23.46,"47,846,912",7.76
2014Q1,871,-8.80,601,-12.39,270,0.37,"18,100,701",5.58,"2,430",11.21,"1,785",11.49,645,10.45,"41,018,605",14.20
2014Q2,"1,056",-1.12,719,-7.58,337,16.21,"21,737,451",14.25,"2,692",1.58,"1,979",1.85,713,0.85,"45,834,654",4.85
