期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
1992,"426,538",8.12,"3,103",-2.64,"2,014",4.79,"152,487",4.40,246,23.62,"28,270",13.58,"181,654",7.52,"12,585",2.58,"37,836",29.28,...,...,"8,343",7.39,"4,921,945",16.08,"55,101",6.36,"56,677",28.62,"1,945,748",7.86,"208,221",0.31,"220,701",20.88,"924,967",14.69,"202,274",9.92,"1,232,532",38.27,...,...,"75,724",10.98,"56,805",22.62,203,15.34,214,82.91,"12,627",11.60,115,19.79,"4,767",40.99,"26,763",13.17,795,87.06,"10,021",70.34,...,...,"1,300",1.25,"1,266,056",40.14,"4,679",-34.39,"5,802",-18.52,"263,287",25.36,"2,608",42.83,"70,465",50.70,"356,356",8.16,"31,406",26.53,"510,657",108.35,...,...,"20,796",-33.36,"14,972",21.97,148,43.69,39,-15.22,"2,585",20.74,9,28.57,607,24.39,"9,451",19.02,190,20.25,"1,544",40.75,...,...,399,35.71,"140,875",-9.08,"1,267",41.88,241,-89.94,"20,146",-11.70,60,57.89,"6,649",179.14,"64,144",2.44,"2,819",9.65,"40,067",-32.53,...,...,"5,482",197.13
1993,"463,775",8.73,"3,055",-1.55,"2,220",10.23,"159,598",4.66,300,21.95,"32,530",15.07,"201,056",10.68,"13,239",5.20,"42,663",12.76,...,...,"9,114",9.24,"5,569,797",13.16,"58,023",5.30,"68,822",21.43,"2,132,510",9.60,"252,679",21.35,"270,154",22.41,"1,073,249",16.03,"227,523",12.48,"1,402,756",13.81,...,...,"84,081",11.04,"51,716",-8.96,156,-23.15,222,3.74,"11,137",-11.80,110,-4.35,"5,228",9.67,"24,995",-6.61,896,12.70,"7,716",-23.00,...,...,"1,256",-3.38,"817,239",-35.45,"1,973",-57.83,"12,998",124.03,"208,122",-20.95,"44,838","1,619.25","54,398",-22.80,"245,065",-31.23,"28,491",-9.28,"202,775",-60.29,...,...,"18,579",-10.66,"19,159",27.97,141,-4.73,30,-23.08,"2,833",9.59,7,-22.22,961,58.32,"12,160",28.66,207,8.95,"2,281",47.73,...,...,539,35.09,"153,016",8.62,"1,679",32.52,156,-35.27,"24,763",22.92,31,-48.33,"7,054",6.09,"63,951",-0.30,"3,312",17.49,"47,357",18.19,...,...,"4,713",-14.03
1994,"493,399",6.39,"3,135",2.62,"2,367",6.62,"176,527",10.61,391,30.33,"38,765",19.17,"201,354",0.15,"12,000",-9.36,"22,865",-46.41,"24,391",...,"11,604",27.32,"6,232,366",11.90,"63,566",9.55,"92,216",33.99,"2,509,858",17.70,"251,620",-0.42,"378,780",40.21,"1,056,551",-1.56,"252,965",11.18,"1,316,746",-6.13,"160,174",...,"149,890",78.27,"55,700",7.70,136,-12.82,134,-39.64,"14,899",33.78,64,-41.82,"5,870",12.28,"23,767",-4.91,"1,010",12.72,"3,421",-55.66,"4,548",...,"1,851",47.37,"469,778",-42.52,"1,709",-13.38,789,-93.93,"100,127",-51.89,552,-98.77,"38,487",-29.25,"108,271",-55.82,"38,701",35.84,"115,277",-43.15,"42,527",...,"23,338",25.61,"18,501",-3.43,146,3.55,63,110.00,"5,673",100.25,12,71.43,"1,256",30.70,"7,853",-35.42,562,171.50,"1,160",-49.15,"1,012",...,764,41.74,"124,711",-18.50,"1,481",-11.79,401,157.05,"37,326",50.73,334,977.42,"8,299",17.65,"33,733",-47.25,"4,054",22.40,"29,495",-37.72,"3,611",...,"5,977",26.82
1995,"527,093",6.83,"3,126",-0.29,"2,333",-1.44,"178,867",1.33,667,70.59,"40,391",4.19,"216,219",7.38,"19,505",62.54,"24,091",5.36,"27,692",13.53,"14,202",22.39,"7,144,900",14.64,"66,163",4.09,"127,720",38.50,"2,826,504",12.62,"280,599",11.52,"407,550",7.60,"1,189,003",12.54,"332,839",31.58,"1,500,625",13.96,"216,968",35.46,"196,929",31.38,"54,431",-2.28,119,-12.50,116,-13.43,"11,406",-23.44,124,93.75,"4,731",-19.40,"25,203",6.04,"3,025",199.50,"2,697",-21.16,"4,711",3.58,"2,299",24.20,"423,586",-9.83,904,-47.10,720,-8.75,"108,458",8.32,839,51.99,"22,199",-42.32,"102,850",-5.01,"24,999",-35.40,"93,148",-19.20,"47,041",10.61,"22,384",-4.09,"20,347",9.98,150,2.74,82,30.16,"6,321",11.42,12,0.00,"1,490",18.63,"8,674",10.45,297,-47.15,"1,503",29.57,"1,233",21.84,585,-23.43,"135,247",8.45,"1,344",-9.25,484,20.70,"33,648",-9.85,48,-85.63,"10,353",24.75,"37,820",12.12,"2,794",-31.08,"40,190",36.26,"4,840",34.03,"3,664",-38.70
1996,"545,977",3.58,"3,049",-2.46,"2,263",-3.00,"177,464",-0.78,825,23.69,"41,770",3.41,"231,077",6.87,"18,960",-2.79,"24,713",2.58,"30,906",11.61,"14,950",5.27,"8,225,095",15.12,"68,447",3.45,"159,777",25.10,"3,259,851",15.33,"303,233",8.07,"434,814",6.69,"1,347,588",13.34,"468,432",40.74,"1,669,934",11.28,"288,112",32.79,"224,907",14.21,"43,638",-19.83,103,-13.45,106,-8.62,"7,783",-31.76,75,-39.52,"3,874",-18.11,"22,803",-9.52,812,-73.16,"2,003",-25.73,"4,419",-6.20,"1,660",-27.79,"480,005",13.32,797,-11.84,713,-0.97,"78,233",-27.87,560,-33.25,"16,298",-26.58,"116,275",13.05,"122,422",389.71,"52,590",-43.54,"60,666",28.96,"31,410",40.32,"25,272",24.21,168,12.00,124,51.22,"7,982",26.28,13,8.33,"1,794",20.40,"10,702",23.38,476,60.27,"1,683",11.98,"1,550",25.71,780,33.33,"162,278",19.99,"2,300",71.13,678,40.08,"40,593",20.64,69,43.75,"13,351",28.96,"43,865",15.98,"3,044",8.95,"41,242",2.62,"7,247",49.73,"9,829",168.26
1997,"565,479",3.57,"3,047",-0.07,"2,194",-3.05,"175,978",-0.84,942,14.18,"43,558",4.28,"245,212",6.12,"18,312",-3.42,"26,355",6.64,"34,438",11.43,"15,443",3.30,"9,536,913",15.95,"75,272",9.97,"174,073",8.95,"3,747,923",14.97,"321,084",5.89,"483,498",11.20,"1,543,453",14.53,"494,757",5.62,"2,006,717",20.17,"419,150",45.48,"270,986",20.49,"44,068",0.99,143,38.83,117,10.38,"7,055",-9.35,81,8.00,"3,774",-2.58,"22,862",0.26,688,-15.27,"2,858",42.69,"4,915",11.22,"1,575",-5.12,"479,037",-0.20,893,12.05,926,29.87,"78,931",0.89,"1,191",112.68,"17,280",6.03,"120,542",3.67,"15,887",-87.02,"118,484",125.30,"100,025",64.88,"24,837",-20.93,"29,997",18.70,138,-17.86,146,17.74,"8,107",1.57,21,61.54,"2,043",13.88,"13,989",30.71,543,14.08,"1,902",13.01,"2,126",37.16,982,25.90,"197,317",21.59,"1,428",-37.91,743,9.59,"48,268",18.91,494,615.94,"13,361",0.07,"62,327",42.09,"3,973",30.52,"49,750",20.63,"9,307",28.43,"7,594",-22.74
1998,"583,335",3.16,"3,042",-0.16,"2,215",0.96,"172,491",-1.98,"1,082",14.86,"44,453",2.05,"247,537",0.95,"29,908",63.32,"26,091",-1.00,"37,027",7.52,"19,489",26.20,"11,107,161",16.46,"82,799",10.00,"203,467",16.89,"4,294,621",14.59,"329,605",2.65,"525,200",8.63,"1,710,299",10.81,"662,124",33.83,"2,376,670",18.44,"566,525",35.16,"355,851",31.32,"36,513",-17.14,143,0.00,123,5.13,"4,154",-41.12,68,-16.05,"3,846",1.91,"18,371",-19.64,"1,944",182.56,"2,095",-26.70,"4,108",-16.42,"1,661",5.46,"442,664",-7.59,"1,973",120.94,898,-3.02,"39,841",-49.52,845,-29.05,"16,028",-7.25,"104,701",-13.14,"32,199",102.68,"122,213",3.15,"110,395",10.37,"13,547",-45.46,"24,255",-19.14,75,-45.65,56,-61.64,"5,681",-29.92,19,-9.52,"1,713",-16.15,"11,749",-16.01,821,51.20,"1,398",-26.50,"1,906",-10.35,837,-14.77,"173,060",-12.29,"1,114",-21.99,"1,292",73.89,"43,609",-9.65,191,-61.34,"12,129",-9.22,"57,569",-7.63,"7,396",86.16,"33,798",-32.06,"9,778",5.06,"6,158",-18.91
1999,"592,874",1.64,"3,101",1.94,"2,241",1.17,"168,328",-2.41,"1,172",8.32,"45,794",3.02,"242,803",-1.91,"44,673",49.37,"24,995",-4.20,"35,985",-2.81,"23,782",22.03,"12,284,754",10.60,"86,226",4.14,"213,631",5.00,"4,747,418",10.54,"435,907",32.25,"559,893",6.61,"1,768,957",3.43,"840,059",26.87,"2,588,412",8.91,"605,679",6.91,"438,572",23.25,"35,367",-3.14,161,12.59,111,-9.76,"4,094",-1.44,94,38.24,"3,359",-12.66,"15,835",-13.80,"4,269",119.60,"1,243",-40.67,"3,225",-21.49,"2,976",79.17,"348,111",-21.36,"1,558",-21.03,592,-34.08,"56,079",40.76,685,-18.93,"15,694",-2.08,"78,522",-25.00,"29,229",-9.22,"120,738",-1.21,"20,960",-81.01,"24,029",77.38,"22,681",-6.49,84,12.00,70,25.00,"4,967",-12.57,22,15.79,"1,488",-13.13,"9,941",-15.39,"2,132",159.68,"1,177",-15.81,"1,546",-18.89,"1,254",49.82,"180,771",4.46,808,-27.47,403,-68.81,"36,520",-16.26,85,-55.50,"11,960",-1.39,"52,711",-8.44,"13,114",77.31,"34,666",2.57,"14,160",44.81,"16,327",165.13
2000,"587,145",-0.97,"3,056",-1.45,"2,068",-7.72,"158,864",-5.62,"1,203",2.65,"44,176",-3.53,"229,336",-5.55,"62,037",38.87,"22,299",-10.79,"35,082",-2.51,"29,024",22.04,"13,539,364",10.21,"90,986",5.52,"224,476",5.08,"5,269,377",10.99,"374,811",-14.02,"574,772",2.66,"1,962,194",10.92,"1,050,551",25.06,"2,764,889",6.82,"660,185",9.00,"567,123",29.31,"34,404",-2.72,123,-23.60,71,-36.04,"4,409",7.69,75,-20.21,"2,740",-18.43,"13,646",-13.82,"5,463",27.97,900,-27.59,"3,031",-6.02,"3,946",32.59,"581,875",67.15,"1,199",-23.04,479,-19.09,"159,453",184.34,"5,224",662.63,"19,725",25.68,"179,960",129.18,"32,283",10.45,"124,945",3.48,"27,468",31.05,"31,091",29.39,"39,347",73.48,158,88.10,167,138.57,"9,818",97.66,46,109.09,"2,555",71.71,"16,422",65.19,"3,234",51.69,"2,164",83.86,"2,756",78.27,"2,027",61.64,"498,387",175.70,997,23.39,"1,094",171.46,"175,431",380.37,265,211.76,"16,995",42.10,"88,780",68.43,"21,268",62.18,"145,408",319.45,"27,115",91.49,"20,992",28.57
2001,"582,537",-0.78,"3,031",-0.82,"2,034",-1.64,"153,901",-3.12,"1,178",-2.08,"43,269",-2.05,"222,464",-3.00,"69,352",11.79,"21,143",-5.18,"34,914",-0.48,"31,251",7.67,"14,691,821",8.51,"93,230",2.47,"153,147",-31.78,"5,851,617",11.05,"514,272",37.21,"592,517",3.09,"1,872,279",-4.58,"1,163,900",10.79,"3,186,286",15.24,"678,839",2.83,"585,734",3.28,"29,921",-13.03,132,7.32,65,-8.45,"3,302",-25.11,24,-68.00,"1,942",-29.12,"13,554",-0.67,"4,546",-16.79,641,-28.78,"2,669",-11.94,"3,046",-22.81,"502,219",-13.69,864,-27.94,319,-33.40,"28,193",-82.32,599,-88.53,"25,886",31.23,"115,944",-35.57,"20,238",-37.31,"278,635",123.01,"14,424",-47.49,"17,068",-45.10,"34,569",-12.14,187,18.35,91,-45.51,"6,776",-30.98,42,-8.70,"2,150",-15.85,"14,409",-12.26,"4,785",47.96,"1,376",-36.41,"2,394",-13.13,"2,359",16.38,"305,614",-38.68,"1,084",8.73,661,-39.58,"88,114",-49.77,239,-9.81,"16,309",-4.04,"61,585",-30.63,"27,867",31.03,"66,338",-54.38,"20,140",-25.72,"23,200",10.52
