期間,民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%)
2013M01,412,-3.40,311,-5.61,101,4.13,"1,269",3.66,619,1.06,651,6.25,"1,957",0.30,"1,065",-0.40,892,1.15,"1,230",0.98,257,-3.61,973,2.27,"2,138",1.61,976,4.19,"1,162",-0.47,493,-0.72,361,-1.11,132,0.35,"3,435",1.45,"2,522",1.69,913,0.78
2013M02,410,-4.21,304,-6.94,107,4.52,"1,270",3.56,615,2.12,656,4.94,"1,951",0.29,"1,046",-1.05,905,1.89,"1,226",0.60,260,-3.02,967,1.62,"2,139",2.04,985,4.20,"1,154",0.26,491,-0.57,359,-1.46,132,1.93,"3,427",1.37,"2,527",1.64,900,0.59
2013M03,409,-3.96,315,-4.68,94,-1.47,"1,273",3.62,620,4.32,653,2.97,"1,953",0.46,"1,036",-0.67,917,1.77,"1,225",0.26,251,-0.12,974,0.36,"2,143",1.94,980,2.41,"1,163",1.54,492,-0.78,359,-3.53,133,7.46,"3,425",1.14,"2,538",1.25,887,0.82
2013M04,407,-4.01,318,-4.14,89,-3.53,"1,278",3.67,631,3.13,647,4.20,"1,956",0.67,"1,026",-2.13,930,3.94,"1,223",-0.16,249,-4.42,974,0.99,"2,149",1.89,973,1.21,"1,177",2.46,493,-0.45,360,-0.98,133,1.02,"3,422",0.99,"2,543",2.05,879,-1.97
2013M05,406,-4.00,309,-4.93,97,-0.93,"1,281",3.47,617,-0.30,664,7.22,"1,954",0.72,"1,032",-3.02,922,5.26,"1,225",0.17,251,-7.36,975,2.31,"2,155",1.62,"1,003",2.70,"1,152",0.69,491,-0.28,355,-2.07,136,4.72,"3,426",0.87,"2,536",2.59,890,-3.73
2013M06,405,-4.41,308,-7.11,97,5.32,"1,283",3.33,597,-3.00,687,9.54,"1,951",0.31,"1,059",-0.17,892,0.88,"1,230",0.82,256,-0.10,974,1.07,"2,158",1.85,974,1.43,"1,184",2.21,492,-0.49,363,-2.49,129,5.60,"3,439",0.87,"2,557",2.36,881,-3.19
2013M07,403,-4.72,307,-5.97,97,-0.53,"1,288",3.31,621,0.69,667,5.88,"1,954",0.37,"1,046",-0.07,909,0.88,"1,227",0.75,266,0.70,962,0.76,"2,173",1.60,974,0.41,"1,200",2.58,495,-0.33,364,-2.10,131,4.93,"3,443",0.91,"2,545",1.63,898,-1.09
2013M08,401,-4.74,305,-5.79,97,-1.28,"1,293",3.27,647,3.94,646,2.60,"1,966",0.83,"1,031",-3.53,936,6.10,"1,234",0.89,258,-0.68,977,1.32,"2,172",1.64,972,1.04,"1,200",2.14,493,-0.38,360,-2.09,132,4.57,"3,440",0.52,"2,550",1.99,890,-3.47
2013M09,399,-4.79,303,-8.14,96,7.64,"1,296",3.34,644,5.95,652,0.88,"1,970",0.87,"1,063",-1.47,908,3.75,"1,239",1.65,246,-4.03,994,3.15,"2,148",1.61,950,0.62,"1,198",2.41,491,-0.55,362,-2.11,130,4.08,"3,436",0.35,"2,551",2.12,885,-4.43
2013M10,397,-5.09,291,-8.39,106,5.29,"1,302",3.48,651,6.49,651,0.64,"1,973",0.69,"1,054",-0.56,919,2.16,"1,237",1.64,250,-3.36,987,2.99,"2,158",1.65,971,1.92,"1,187",1.44,490,-0.59,364,0.70,126,-4.15,"3,438",0.30,"2,543",0.50,895,-0.27
