期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
1983M05,65.75,1.51,65.43,0.60,64.78,0.95,64.63,2.20,65.81,0.86,61.85,1.86
1983M06,65.76,1.50,65.29,0.45,64.64,0.80,64.64,2.18,65.69,0.64,62.39,2.51
1983M07,65.79,1.50,65.06,0.34,64.39,0.69,64.67,2.18,65.47,0.61,61.57,1.23
1983M08,65.86,1.49,65.23,-0.17,64.58,0.16,64.76,2.19,65.66,0.15,61.52,-2.19
1983M09,65.99,0.99,65.39,-0.02,64.74,0.29,64.90,1.63,65.83,0.27,61.73,-0.71
1983M10,66.12,1.05,65.45,0.05,64.80,0.36,65.04,1.70,65.88,0.38,61.66,0.13
1983M11,66.13,0.88,65.30,-0.17,64.64,0.12,65.05,1.50,65.70,0.11,61.05,0.16
1983M12,66.15,0.78,65.31,-0.38,64.66,-0.08,65.07,1.37,65.72,0.02,60.09,-1.78
1984M01,66.21,0.56,65.42,-0.49,64.77,-0.20,65.13,1.12,65.86,-0.06,60.15,-1.57
1984M02,66.42,0.54,65.74,-0.21,65.11,0.09,65.36,1.11,66.18,0.39,60.81,-1.52
1984M03,66.34,0.68,65.88,0.47,65.25,0.69,65.28,1.07,66.42,1.00,61.01,-1.68
1984M04,66.44,1.13,65.98,0.66,65.37,0.71,65.38,1.24,66.53,0.93,61.15,-1.96
1984M05,66.62,1.32,66.29,1.31,65.69,1.40,65.58,1.47,66.85,1.58,62.01,0.26
1984M06,66.66,1.37,66.15,1.32,65.54,1.39,65.63,1.53,66.69,1.52,61.95,-0.71
1984M07,67.02,1.87,66.19,1.74,65.58,1.85,66.02,2.09,66.77,1.99,61.75,0.29
1984M08,67.04,1.79,66.15,1.41,65.54,1.49,66.03,1.96,66.75,1.66,62.00,0.78
1984M09,67.38,2.11,66.18,1.21,65.57,1.28,66.41,2.33,66.86,1.56,62.25,0.84
1984M10,67.49,2.07,66.11,1.01,65.50,1.08,66.53,2.29,66.82,1.43,61.95,0.47
1984M11,67.53,2.12,66.09,1.21,65.48,1.30,66.57,2.34,66.75,1.60,61.53,0.79
1984M12,67.51,2.06,65.79,0.73,65.16,0.77,66.54,2.26,66.39,1.02,61.19,1.83
1985M01,67.54,2.01,65.84,0.64,65.22,0.69,66.58,2.23,66.41,0.84,61.18,1.71
1985M02,67.65,1.85,66.11,0.56,65.50,0.60,66.70,2.05,66.63,0.68,61.75,1.55
1985M03,67.52,1.78,66.04,0.24,65.43,0.28,66.55,1.95,66.51,0.14,61.77,1.25
1985M04,67.49,1.58,66.00,0.03,65.39,0.03,66.53,1.76,66.46,-0.11,61.43,0.46
1985M05,67.36,1.11,65.64,-0.98,65.12,-0.87,66.57,1.51,66.18,-1.00,61.19,-1.32
1985M06,67.42,1.14,65.33,-1.24,64.79,-1.14,66.63,1.52,65.87,-1.23,61.08,-1.40
1985M07,67.45,0.64,64.96,-1.86,64.41,-1.78,66.67,0.98,65.52,-1.87,61.14,-0.99
1985M08,67.36,0.48,64.88,-1.92,64.32,-1.86,66.57,0.82,65.43,-1.98,60.84,-1.87
1985M09,67.72,0.50,65.20,-1.48,64.66,-1.39,66.96,0.83,65.76,-1.65,61.99,-0.42
1985M10,67.88,0.58,65.27,-1.27,64.73,-1.18,67.13,0.90,65.82,-1.50,61.92,-0.05
1985M11,67.92,0.58,65.27,-1.24,64.73,-1.15,67.18,0.92,65.88,-1.30,60.90,-1.02
1985M12,67.90,0.58,65.24,-0.84,64.70,-0.71,67.15,0.92,65.89,-0.75,60.16,-1.68
1986M01,68.21,0.99,65.73,-0.17,65.07,-0.23,67.31,1.10,66.22,-0.29,60.84,-0.56
1986M02,68.15,0.74,65.86,-0.38,65.27,-0.35,67.33,0.94,66.35,-0.42,61.00,-1.21
1986M03,67.74,0.33,65.60,-0.67,65.20,-0.35,67.20,0.98,66.33,-0.27,60.98,-1.28
1986M04,67.58,0.13,65.56,-0.67,65.24,-0.23,67.16,0.95,66.32,-0.21,61.15,-0.46
1986M05,67.09,-0.40,65.68,0.06,65.71,0.91,67.14,0.86,66.87,1.04,61.24,0.08
1986M06,67.10,-0.47,65.62,0.44,65.64,1.31,67.16,0.80,66.86,1.50,61.42,0.56
1986M07,67.06,-0.58,65.49,0.82,65.50,1.69,67.11,0.66,66.74,1.86,61.23,0.15
1986M08,66.99,-0.55,65.60,1.11,65.62,2.02,67.03,0.69,66.73,1.99,61.63,1.30
1986M09,67.00,-1.06,65.93,1.12,65.97,2.03,67.04,0.12,67.01,1.90,63.43,2.32
1986M10,67.14,-1.09,66.08,1.24,66.13,2.16,67.19,0.09,67.19,2.08,63.27,2.18
1986M11,67.28,-0.94,66.17,1.38,66.24,2.33,67.35,0.25,67.33,2.20,62.24,2.20
1986M12,67.33,-0.84,66.25,1.55,66.32,2.50,67.41,0.39,67.44,2.35,61.93,2.94
1987M01,67.43,-1.14,66.23,0.76,66.30,1.89,67.52,0.31,67.39,1.77,61.74,1.48
1987M02,67.30,-1.25,66.05,0.29,66.11,1.29,67.37,0.06,67.17,1.24,61.60,0.98
1987M03,67.07,-0.99,65.60,0.00,65.67,0.72,67.18,-0.03,66.74,0.62,61.03,0.08
1987M04,67.09,-0.73,65.55,-0.02,65.61,0.57,67.20,0.06,66.67,0.53,61.28,0.21
1987M05,67.24,0.22,65.59,-0.14,65.66,-0.08,67.37,0.34,66.72,-0.22,61.29,0.08
1987M06,67.21,0.16,65.52,-0.15,65.58,-0.09,67.35,0.28,66.64,-0.33,61.34,-0.13
1987M07,67.12,0.09,65.43,-0.09,65.48,-0.03,67.24,0.19,66.57,-0.25,62.16,1.52
1987M08,67.02,0.04,65.38,-0.34,65.43,-0.29,67.14,0.16,66.55,-0.27,62.75,1.82
1987M09,67.72,1.07,65.99,0.09,66.09,0.18,67.91,1.30,67.15,0.21,63.00,-0.68
1987M10,67.93,1.18,66.02,-0.09,66.12,-0.02,68.14,1.41,67.23,0.06,62.28,-1.56
1987M11,68.23,1.41,66.21,0.06,66.32,0.12,68.47,1.66,67.36,0.04,62.43,0.31
1987M12,68.27,1.40,66.34,0.14,66.53,0.32,68.62,1.79,67.62,0.27,63.18,2.02
1988M01,68.00,0.85,66.08,-0.23,66.51,0.32,68.72,1.78,67.59,0.30,61.99,0.40
1988M02,67.98,1.01,66.15,0.15,66.59,0.73,68.70,1.97,67.49,0.48,61.71,0.18
1988M03,67.77,1.04,65.86,0.40,66.28,0.93,68.48,1.94,67.21,0.70,61.30,0.44
1988M04,67.84,1.12,65.85,0.46,66.27,1.01,68.55,2.01,67.15,0.72,61.38,0.16
1988M05,68.07,1.23,66.15,0.85,66.59,1.42,68.81,2.14,67.48,1.14,62.18,1.45
1988M06,68.09,1.31,66.36,1.28,66.81,1.88,68.82,2.18,67.68,1.56,62.63,2.10
1988M07,68.25,1.68,66.45,1.56,67.01,2.34,69.17,2.87,68.00,2.15,62.61,0.72
1988M08,68.18,1.73,66.70,2.02,67.28,2.83,69.08,2.89,68.31,2.64,63.64,1.42
1988M09,68.44,1.06,66.86,1.32,67.52,2.16,69.48,2.31,68.62,2.19,63.86,1.37
1988M10,68.68,1.10,67.01,1.50,67.71,2.40,69.80,2.44,68.82,2.37,64.39,3.39
1988M11,69.00,1.13,67.25,1.57,67.97,2.49,70.15,2.45,69.08,2.55,63.99,2.50
1988M12,69.19,1.35,67.57,1.85,68.31,2.68,70.36,2.54,69.42,2.66,63.90,1.14
1989M01,69.63,2.40,67.99,2.89,68.76,3.38,70.84,3.08,69.84,3.33,63.69,2.74
1989M02,69.57,2.34,68.15,3.02,69.03,3.66,70.93,3.25,70.03,3.76,64.33,4.25
1989M03,69.60,2.70,68.23,3.60,69.12,4.28,70.97,3.64,70.15,4.37,64.50,5.22
1989M04,69.91,3.05,68.63,4.22,69.54,4.93,71.31,4.03,70.58,5.11,65.13,6.11
1989M05,70.19,3.11,68.96,4.25,69.89,4.96,71.61,4.07,70.93,5.11,65.62,5.53
