期間,本國銀行-支票存款-借記總額(新台幣百萬元)_原始值,本國銀行-支票存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-支票存款-按年計算之回轉次數(次)_原始值,本國銀行-支票存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期存款-按年計算之回轉次數(次)_原始值,本國銀行-活期存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_原始值,本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_年增率(%),票據交換及存款不足退票數額-交換-張數(張)_原始值,票據交換及存款不足退票數額-交換-張數(張)_年增率(%),票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-存款不足退票-張數(張)_原始值,票據交換及存款不足退票數額-存款不足退票-張數(張)_年增率(%),票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-退票張數比率(%)_原始值,票據交換及存款不足退票數額-退票張數比率(%)_年增率(%),票據交換及存款不足退票數額-退票金額比率(%)_原始值,票據交換及存款不足退票數額-退票金額比率(%)_年增率(%)
2001M05,"10,508,210",6.84,580.5,19.17,"7,386,119",-13.54,119.5,-4.98,"3,321,825",-31.68,17.8,-30.17,"14,225,945",-18.06,"3,302,601",-8.22,"123,701",-17.76,"24,966",-30.74,0.87,0.00,0.76,-24.00
2001M06,"10,401,632",8.76,626.5,27.85,"7,061,810",-15.66,126.7,-1.23,"3,178,610",-29.10,18.6,-25.21,"10,582,888",-26.50,"2,979,261",-12.59,"94,679",-22.51,"19,551",-25.02,0.89,4.71,0.66,-14.29
2001M07,"9,739,489",1.62,541.2,11.59,"6,692,963",-11.59,112.3,-3.48,"3,077,903",-20.67,17.1,-21.49,"16,442,291",4.87,"3,252,959",-5.99,"142,161",10.22,"27,849",12.11,0.86,4.88,0.86,19.44
2001M08,"9,863,160",3.87,517.7,7.47,"7,251,093",0.58,110.9,2.24,"3,396,967",-10.30,16.9,-17.24,"17,498,689",13.00,"3,518,128",4.85,"137,163",5.02,"28,739",13.12,0.78,-7.14,0.82,7.89
2001M09,"8,726,363",-7.00,566.5,13.83,"6,062,265",-21.73,114.5,-4.70,"2,501,588",-38.58,15.6,-33.32,"10,942,218",-29.73,"2,731,810",-21.55,"94,569",-29.75,"18,036",-34.58,0.86,0.00,0.66,-16.46
2001M10,"10,115,852",5.28,574.9,9.67,"7,481,100",3.34,122.5,4.99,"3,203,199",-8.46,16.8,-18.27,"17,474,929",19.63,"3,335,117",-4.03,"160,116",12.87,"31,165",9.50,0.92,-5.15,0.93,13.41
2001M11,"10,195,798",4.04,574.3,10.99,"8,419,733",14.19,132.1,14.59,"3,902,030",8.66,18.9,-5.38,"13,829,555",-4.50,"3,091,489",-11.41,"111,899",-21.54,"22,822",-22.54,0.81,-17.35,0.74,-11.90
2001M12,"10,957,378",15.90,603.0,19.77,"10,416,534",59.56,158.1,50.61,"5,020,839",65.04,23.7,34.00,"13,730,881",13.68,"3,102,393",-4.43,"109,983",-12.76,"20,296",-32.92,0.80,-23.08,0.65,-30.11
2002M01,"9,711,536",18.65,471.1,-0.99,"10,838,130",60.91,138.6,8.25,"5,507,965",49.81,22.2,-5.31,"14,153,052",-14.87,"3,171,401",1.91,"92,903",-38.93,"18,516",-33.73,0.66,-28.26,0.58,-35.56
2002M02,"6,002,080",-30.41,420.3,-19.40,"6,538,626",-12.06,130.0,-6.30,"3,554,439",-9.54,20.4,-11.86,"9,038,618",-8.67,"1,964,551",-28.11,"61,358",-29.79,"10,142",-40.60,0.68,-22.73,0.52,-16.13
