期間,經常帳,經常帳--商品--出口f.o.b,經常帳--商品--進口f.o.b,經常帳--商品貿易淨額,經常帳--服務--收入,經常帳--服務--支出,經常帳--商品與服務收支淨額,經常帳--所得--收入,經常帳--所得--支出,經常帳--商品、服務與所得收支淨額,經常帳--經常移轉--收入,經常帳--經常移轉--支出,資本帳,資本帳--收入,資本帳--支出,合計--經常帳+資本帳,金融帳,金融帳--對外直接投資,金融帳--來台直接投資,金融帳--證券投資(資產),金融帳--證券投資(資產)--股權證券,金融帳--證券投資(資產)--債權證券,金融帳--證券投資(負債),金融帳--證券投資(負債)--股權證券,金融帳--證券投資(負債)--債權證券,金融帳--衍生性金融商品,金融帳--衍生性金融商品(資產),金融帳--衍生性金融商品(負債),其他投資(資產),其他投資(資產)--貨幣當局,其他投資(資產)--政府,其他投資(資產)--銀行,其他投資(資產)--其他部門,其他投資(負債),其他投資(負債)--貨幣當局,其他投資(負債)--政府,其他投資(負債)--銀行,其他投資(負債)--其他部門,合計--經常帳+資本帳+金融帳,誤差與遺漏淨額,合計--經常帳+資本帳+金融帳+誤差與遺漏淨額,準備與相關項目,準備與相關項目--準備資產,準備與相關項目--基金信用的使用及自基金之借款,準備與相關項目--特殊融資
1984Q3,"1,766","8,127","-5,723","2,404",617,"-1,503","1,518",531,-223,"1,826",31,-91,-1,...,-1,"1,765",-866,-7,30,-,-,-,-25,-,-25,...,...,...,-484,...,-2,-487,5,-380,...,-17,-107,-256,899,-111,788,-788,-788,-,-
1984Q4,"1,573","7,501","-5,317","2,184",626,"-1,384","1,426",549,-333,"1,642",27,-96,-1,...,-1,"1,572",-435,-39,46,-,-,-,20,40,-20,...,...,...,-573,...,-6,-536,-31,111,...,-70,465,-284,"1,137",117,"1,254","-1,254","-1,254",-,-
1985Q1,"1,779","7,107","-4,845","2,262",598,"-1,391","1,469",593,-189,"1,873",28,-122,-1,...,-1,"1,778",103,-10,50,-,-,-,-,-,-,...,...,...,143,...,-,208,-65,-80,...,-20,49,-109,"1,881",72,"1,953","-1,953","-1,953",-,-
1985Q2,"2,280","7,989","-5,038","2,951",625,"-1,378","2,198",515,-363,"2,350",30,-100,-1,...,-1,"2,279","-1,424",-35,49,-,-,-,-45,-,-45,...,...,...,"-1,111",...,-3,"-1,075",-33,-282,...,-75,23,-230,855,51,906,-906,-906,-,-
1985Q3,"2,705","7,823","-4,634","3,189",666,"-1,468","2,387",555,-181,"2,761",28,-84,-1,...,-1,"2,704","-1,528",-13,108,-,-,-,-,-,-,...,...,...,"-1,330",...,1,"-1,295",-36,-293,...,-14,-364,85,"1,176",284,"1,460","-1,460","-1,460",-,-
1985Q4,"2,442","7,878","-5,127","2,751",670,"-1,196","2,225",544,-290,"2,479",35,-72,-1,...,-1,"2,441",-322,-21,135,-,-,-,-1,-1,-,...,...,...,-411,...,-8,-461,58,-24,...,-22,291,-293,"2,119",87,"2,206","-2,206","-2,206",-,-
1986Q1,"3,211","8,389","-5,083","3,306",796,"-1,321","2,781",669,-156,"3,294",37,-120,-1,...,-1,"3,210",253,-21,11,-50,-,-50,25,25,-,...,...,...,24,...,-,14,10,264,...,-9,579,-306,"3,463",-48,"3,415","-3,415","-3,415",-,-
1986Q2,"3,643","9,642","-5,675","3,967",844,"-1,516","3,295",741,-326,"3,710",43,-110,-1,...,-1,"3,642",894,-17,112,-30,-,-30,25,25,-,...,...,...,"1,007",...,-2,"1,028",-19,-203,...,-13,298,-488,"4,536",75,"4,611","-4,611","-4,611",-,-
1986Q3,"4,584","10,437","-5,772","4,665",987,"-1,476","4,176",690,-203,"4,663",50,-129,-1,...,-1,"4,583","2,635",-14,82,69,-,69,-,-,-,...,...,...,321,...,-,8,313,"2,177",...,-14,"1,960",231,"7,218",45,"7,263","-7,263","-7,263",-,-
1986Q4,"4,849","11,386","-6,414","4,972",967,"-1,623","4,316",850,-231,"4,935",67,-153,-,...,-,"4,849","3,160",-13,121,7,-,7,25,25,-,...,...,...,"1,084",...,-,666,418,"1,936",...,-16,"2,378",-426,"8,009",24,"8,033","-8,033","-8,033",-,-
1987Q1,"4,599","11,279","-6,568","4,711",815,"-1,473","4,053",856,-208,"4,701",54,-156,-,...,-,"4,599","3,575",-17,120,2,-,2,-,-,-,...,...,...,"1,743",...,-,"1,591",152,"1,727",...,-10,"1,603",134,"8,174",-51,"8,123","-8,123","-8,123",-,-
1987Q2,"4,914","13,764","-8,384","5,380",979,"-1,862","4,497",828,-323,"5,002",76,-164,-,...,-,"4,914","1,123",-27,199,1,-,1,-,-,-,...,...,...,-437,...,-2,-621,186,"1,387",...,-12,"1,426",-27,"6,037",25,"6,062","-6,062","-6,062",-,-
1987Q3,"5,389","14,528","-8,319","6,209","1,174","-2,265","5,118","1,007",-422,"5,703",129,-443,-,...,-,"5,389","-1,150",-198,166,-127,-123,-4,-,-,-,...,...,...,-88,...,-,-6,-82,-903,...,-6,-290,-607,"4,239",-449,"3,790","-3,790","-3,790",-,-
1987Q4,"3,101","14,004","-10,144","3,860","1,224","-2,342","2,742","1,135",-562,"3,315",211,-425,-2,...,-2,"3,099","6,847",-463,230,-239,-238,-1,-9,-9,-,...,...,...,-91,...,-8,28,-111,"7,419",...,-16,"5,040","2,395","9,946",172,"10,118","-10,118","-10,118",-,-
1988Q1,"1,277","13,737","-12,178","1,559","1,292","-2,119",732,"1,441",-406,"1,767",153,-643,-4,...,-4,"1,273","-3,352",-723,91,-344,-341,-3,-9,-9,-,...,...,...,-616,...,-,-242,-374,"-1,751",...,-7,"-1,710",-34,"-2,079",78,"-2,001","2,001","2,001",-,-
1988Q2,"3,284","15,512","-11,143","4,369","1,390","-2,710","3,049","1,338",-552,"3,835",223,-774,-6,...,-6,"3,278","-5,302",-596,248,-385,-245,-140,25,25,-,...,...,...,"-2,365",...,-5,"-1,256","-1,104","-2,229",...,-10,"-1,594",-625,"-2,024",-266,"-2,290","2,290","2,290",-,-
1988Q3,"2,332","15,436","-11,678","3,758","1,422","-3,047","2,133","1,236",-531,"2,838",246,-752,-5,...,-5,"2,327","-3,280","-1,329",321,-225,-149,-76,-358,-354,-4,...,...,...,151,...,-,790,-639,"-1,840",...,-8,"-1,650",-182,-953,2,-951,951,951,-,-
1988Q4,"3,307","15,979","-11,975","4,004","1,653","-2,855","2,802","1,301",-421,"3,682",317,-692,-4,...,-4,"3,303",561,"-1,473",301,-217,-145,-72,-199,-199,-,...,...,...,"-2,102",...,-,"-1,512",-590,"4,251",...,-14,"3,523",742,"3,864",-14,"3,850","-3,850","-3,850",-,-
1989Q1,"2,729","14,970","-11,671","3,299","1,565","-2,737","2,127","1,438",-481,"3,084",357,-712,-5,...,-5,"2,724",-325,"-1,729",247,-228,-101,-127,-13,-13,-,...,...,...,-317,...,-,198,-515,"1,715",...,-8,880,843,"2,399",131,"2,530","-2,530","-2,530",-,-
