期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2010M01,"78,497",122.08,"1,259",-12.51,203,-,"3,107",-76.14,972,-53.45,"1,458",-66.43,1,0.00,"85,497",52.03,"1,893",491.56,"7,707",52.61,"19,753",277.83,"10,445",38.71,"45,699",19.91
2010M02,"74,463",96.23,"1,409",-2.02,204,-,"3,242",-74.92,682,-65.52,"3,253",-27.98,1,0.00,"83,254",41.56,112,-65.00,"7,430",30.67,"20,267",237.17,"9,635",27.95,"45,810",16.67
2010M03,"78,001",83.36,"1,330",-7.32,204,-,"3,359",-69.57,540,-72.70,91,-97.04,1,0.00,"83,526",39.06,"1,359",119.19,"6,620",44.92,"14,186",186.30,"17,180",129.07,"44,181",4.15
2010M04,"79,531",70.74,"1,329",-7.26,204,-,"3,472",-48.84,500,-74.72,860,-71.30,1,0.00,"85,897",43.70,110,-84.06,"3,892",-1.92,"13,605",185.58,"25,935",243.06,"42,355",-1.02
2010M05,"75,433",29.13,"1,329",-7.26,204,0.49,"3,663",-9.08,300,-84.83,249,-89.10,1,0.00,"81,179",18.78,394,-63.95,"5,409",-16.22,"15,930",33.78,"16,865",121.91,"42,581",3.13
2010M06,"75,835",29.96,"1,328",0.84,204,0.49,"3,597",-20.03,300,-80.98,71,-96.44,1,0.00,"81,336",19.72,544,-53.62,"5,574",-11.09,"13,551",21.70,"19,135",151.78,"42,532",1.84
2010M07,"77,675",26.47,"1,326",-7.34,204,0.49,"3,562",-21.92,300,-80.98,579,-69.23,1,0.00,"83,647",17.69,445,-72.77,"5,365",-28.50,"11,533",-8.33,"26,125",246.95,"40,179",-3.94
2010M08,"81,056",34.78,"1,309",-8.46,206,1.48,"3,417",-45.33,432,-72.55,174,-88.87,1,0.00,"86,595",21.69,-,-,"7,223",-9.96,"13,557",-3.32,"24,490",226.53,"41,325",1.89
2010M09,"82,525",26.91,"1,298",-1.37,206,1.48,"3,568",-33.73,132,-90.39,"4,740",167.04,1,0.00,"92,470",23.17,"3,135",279.08,"8,141",-18.63,"14,797",-19.92,"25,100",230.26,"41,297",8.20
2010M10,"35,297",-49.64,"1,297",-1.14,206,1.48,"9,992",106.32,132,-87.70,"7,149",296.07,1,0.00,"54,074",-31.83,350,-60.98,"2,557",-74.60,"5,642",-70.30,"7,370",-4.66,"38,155",-8.36
2010M11,"32,150",-54.99,910,-30.59,-,-,"10,342",84.09,132,-87.69,"3,489",134.16,1,0.00,"47,024",-42.04,480,-46.67,"2,603",-74.48,"4,642",-77.21,"7,100",-7.07,"32,199",-23.38
2010M12,"35,121",-53.99,"1,511",15.08,-,-,"5,683",10.59,132,-86.42,"6,638",441.44,1,0.00,"49,086",-42.37,"2,110",117.53,"2,428",-75.65,"4,209",-80.06,"6,060",-21.91,"34,279",-24.44
2011M01,"34,890",-55.55,"1,128",-10.41,-,-,"3,326",7.05,174,-82.10,56,-96.16,1,0.00,"39,575",-53.71,"1,567",-17.22,"2,586",-66.45,"4,451",-77.47,"8,250",-21.01,"22,721",-50.28
2011M02,"34,326",-53.90,"1,127",-20.01,-,-,"3,000",-7.46,173,-74.63,67,-97.94,1,0.00,"38,694",-53.52,"1,730","1,444.64","2,112",-71.57,"4,980",-75.43,"7,380",-23.40,"22,492",-50.90
2011M03,"33,098",-57.57,"1,127",-15.26,-,-,"3,118",-7.17,370,-31.48,64,-29.67,1,0.00,"37,778",-54.77,"1,892",39.22,"1,478",-77.67,"2,952",-79.19,"8,360",-51.34,"23,096",-47.72
2011M04,"32,647",-58.95,"1,126",-15.27,-,-,"3,010",-13.31,357,-28.60,145,-83.14,1,0.00,"37,286",-56.59,"2,146","1,850.91","1,139",-70.73,"2,211",-83.75,"9,000",-65.30,"22,790",-46.19
2011M05,"31,747",-57.91,"1,126",-15.27,-,-,"3,133",-14.47,345,15.00,170,-31.73,1,0.00,"36,522",-55.01,"4,498","1,041.62","1,823",-66.30,"3,427",-78.49,"4,240",-74.86,"22,534",-47.08
2011M06,"30,356",-59.97,"1,126",-15.21,-,-,"3,225",-10.34,353,17.67,265,273.24,1,0.00,"35,326",-56.57,"2,137",292.83,"1,661",-70.20,"3,166",-76.64,"5,680",-70.32,"22,682",-46.67
2011M07,"29,474",-62.05,"1,123",-15.31,-,-,"2,604",-26.90,355,18.33,233,-59.76,1,0.00,"33,790",-59.60,"1,064",139.10,"1,927",-64.08,"2,306",-80.01,"5,590",-78.60,"22,903",-43.00
2011M08,"25,215",-68.89,"1,122",-14.29,-,-,"3,266",-4.42,353,-18.29,340,95.40,1,0.00,"30,297",-65.01,110,-,"2,186",-69.74,"2,933",-78.37,"2,800",-88.57,"22,268",-46.11
2011M09,"24,358",-70.48,"1,122",-13.56,-,-,"3,239",-9.22,331,150.76,585,-87.66,1,0.00,"29,636",-67.95,-,-,"2,962",-63.62,"4,051",-72.62,"2,500",-90.04,"20,123",-51.27
