期間,土地面積(平方公里)_原始值,土地面積(平方公里)_年增率(%),鄉鎮市區數_原始值,鄉鎮市區數_年增率(%),村里數_原始值,村里數_年增率(%),鄰數_原始值,鄰數_年增率(%),戶數_原始值,戶數_年增率(%),人口數_原始值,人口數_年增率(%),年(月)人口增加率(0/00)_原始值,年(月)人口增加率(0/00)_年增率(%),男性人口數_原始值,男性人口數_年增率(%),女性人口數_原始值,女性人口數_年增率(%),性比例(每百女子對男子數)_原始值,性比例(每百女子對男子數)_年增率(%),戶量(人/戶)_原始值,戶量(人/戶)_年增率(%),人口密度(人/平方公里)_原始值,人口密度(人/平方公里)_年增率(%)
2003M09,"36,188.035",-,369,0.00,"7,809",0.00,"145,924",-0.25,"7,019,327",1.76,"22,573,965",0.40,0.30,-,"11,503,027",0.28,"11,070,938",0.52,103.90,-,3.22,-,623.80,-
2003M10,"36,188.035",-,369,0.00,"7,809",0.00,"145,936",-0.23,"7,026,568",1.75,"22,584,281",0.39,0.46,-,"11,507,219",0.28,"11,077,062",0.51,103.88,-,3.21,-,624.08,-
2003M11,"36,188.035",-,369,0.00,"7,809",0.00,"145,960",-0.21,"7,036,211",1.76,"22,593,641",0.38,0.41,-,"11,510,922",0.27,"11,082,719",0.50,103.86,-,3.21,-,624.34,-
2003M12,"36,188.035",-,369,0.00,"7,809",0.00,"145,971",-0.20,"7,047,168",1.76,"22,604,550",0.37,0.48,-,"11,515,062",0.26,"11,089,488",0.49,103.84,-,3.21,-,624.64,-
2004M01,"36,188.035",-,368,-0.27,"7,809",0.00,"146,084",0.32,"7,052,616",1.74,"22,610,665",0.36,0.27,-,"11,516,856",0.25,"11,093,809",0.48,103.81,-,3.21,-,624.81,-
2004M02,"36,188.035",-,368,-0.27,"7,809",0.00,"146,083",0.30,"7,060,086",1.74,"22,615,997",0.36,0.24,-,"11,518,036",0.25,"11,097,961",0.48,103.78,-,3.20,-,624.96,-
2004M03,"36,188.035",-,368,-0.27,"7,809",0.00,"146,085",0.27,"7,068,793",1.71,"22,621,478",0.36,0.24,-,"11,519,578",0.24,"11,101,900",0.48,103.76,-,3.20,-,625.11,-
2004M04,"36,188.035",-,368,-0.27,"7,809",0.00,"146,112",0.28,"7,081,171",1.76,"22,626,589",0.36,0.23,-,"11,520,763",0.24,"11,105,826",0.48,103.74,-,3.20,-,625.25,-
2004M05,"36,188.035",-,368,-0.27,"7,809",0.00,"146,180",0.32,"7,094,835",1.80,"22,632,661",0.37,0.27,-,"11,522,862",0.25,"11,109,799",0.50,103.72,-,3.19,-,625.42,-
2004M06,"36,188.035",-,368,-0.27,"7,809",0.00,"146,171",0.21,"7,109,954",1.82,"22,640,250",0.38,0.34,-,"11,525,233",0.26,"11,115,017",0.51,103.69,-,3.18,-,625.63,-
