期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
1996M03,207,48.54,46,50.65,162,47.96,51,119.83,80,19.06,4,103.64,16,127.92,0,-46.43,1,25.64,1,--,9,1.20
1996M04,204,45.28,37,14.73,167,54.32,61,118.08,75,31.49,4,-7.64,14,48.83,1,-11.81,1,71.02,1,-24.35,11,52.64
1996M05,218,46.11,32,1.57,187,57.82,66,117.18,79,19.53,6,164.08,15,115.00,3,409.77,1,260.55,1,-37.18,14,48.78
1996M06,241,48.25,46,-8.71,194,74.06,71,139.89,83,38.99,9,229.34,13,44.67,1,89.43,2,357.41,0,--,15,55.19
1996M07,276,53.05,84,22.49,192,71.77,74,183.26,80,29.12,3,123.79,19,62.98,1,-16.58,2,83.10,1,53.31,13,52.62
1996M08,297,52.80,92,19.54,205,74.73,77,225.04,88,19.95,4,36.97,25,174.80,0,-70.74,1,181.46,1,57.21,10,31.87
1996M09,284,51.43,71,12.32,213,71.40,79,166.65,94,31.92,5,30.31,19,123.84,0,-100.00,1,199.55,1,422.83,13,39.29
1996M10,285,52.44,65,12.90,220,70.12,81,149.99,92,29.26,5,98.35,26,109.21,0,-100.00,2,103.04,0,-72.54,14,76.04
1996M11,269,49.24,60,44.91,209,50.52,79,88.73,82,22.53,5,109.04,24,60.83,1,17.07,4,118.17,0,-70.68,15,43.50
1996M12,245,38.99,54,28.40,192,42.27,81,124.34,70,3.15,5,73.95,20,31.54,0,-30.32,1,10.54,1,151.56,13,25.69
1997M01,252,33.72,55,26.55,197,35.87,82,66.33,73,12.71,4,-4.27,23,78.88,1,36.27,1,18.59,1,17.25,12,5.55
1997M02,278,42.23,50,11.59,228,51.35,81,55.88,93,56.06,5,10.74,36,79.57,1,-25.13,1,-24.04,1,-36.33,10,-8.46
1997M03,262,26.29,51,12.23,210,30.26,77,51.41,94,17.59,6,38.51,21,30.57,2,745.56,1,95.64,1,13.56,8,-6.49
1997M04,242,18.76,47,26.81,196,17.00,66,8.60,92,22.44,5,14.27,20,45.07,1,34.45,1,-26.47,2,143.17,9,-12.37
1997M05,236,7.97,42,32.15,194,3.87,69,3.17,86,8.29,9,36.82,19,22.71,1,-68.15,2,33.74,0,-100.00,9,-34.15
1997M06,251,4.16,61,31.66,190,-2.37,68,-3.95,77,-7.02,6,-34.41,21,60.42,1,-47.62,1,-24.43,0,--,15,2.02
1997M07,269,-2.45,75,-11.05,195,1.31,69,-6.61,77,-3.52,9,181.87,20,7.81,0,-25.32,1,-36.62,0,-100.00,17,34.81
1997M08,287,-3.47,85,-7.85,202,-1.50,72,-6.86,86,-1.66,6,81.74,20,-17.12,1,283.44,1,38.87,0,-100.00,15,48.39
1997M09,268,-5.52,67,-5.91,201,-5.39,71,-10.48,89,-6.04,6,9.30,19,2.79,1,--,1,-37.24,1,-14.24,14,9.00
1997M10,250,-12.48,59,-9.33,190,-13.41,65,-19.74,79,-13.56,8,58.02,19,-27.64,2,--,1,-24.60,0,-25.66,15,11.68
1997M11,247,-8.06,52,-13.73,196,-6.44,64,-18.65,84,2.74,7,46.12,22,-7.74,1,14.12,1,-61.07,1,805.13,15,0.33
1997M12,234,-4.66,45,-15.44,189,-1.64,66,-18.43,80,13.77,7,51.11,23,14.50,1,183.41,1,-56.14,1,15.32,9,-27.12
1998M01,224,-11.16,39,-28.57,185,-6.29,64,-22.18,77,6.21,5,12.91,26,16.23,0,-52.92,1,7.98,0,-79.16,10,-14.65
1998M02,243,-12.44,37,-26.08,206,-9.45,69,-14.92,86,-7.87,8,48.86,32,-12.49,0,-100.00,0,-52.39,0,-68.22,12,13.60
1998M03,223,-14.86,39,-24.50,184,-12.51,63,-18.54,82,-12.30,6,-3.48,22,4.45,1,-61.80,1,-44.67,1,40.18,9,5.49
1998M04,217,-10.32,37,-20.82,180,-7.82,59,-9.89,83,-9.24,5,-10.47,21,3.25,1,32.56,1,-43.90,1,-43.90,10,3.47
1998M05,225,-4.54,39,-6.37,186,-4.14,61,-11.54,81,-5.35,6,-27.08,23,23.53,0,-66.96,1,-48.13,2,--,12,25.38
1998M06,257,2.60,66,8.13,191,0.83,67,-1.81,80,4.52,5,-14.51,23,8.07,1,-32.50,1,-11.57,2,"1,125.85",12,-18.22
1998M07,280,4.01,89,19.63,191,-1.98,70,1.40,81,4.82,5,-44.49,23,14.94,0,-6.44,1,-36.08,0,--,10,-41.35
1998M08,292,1.85,91,6.47,201,-0.10,74,3.47,84,-2.25,7,10.38,23,12.71,1,21.28,2,12.49,0,--,10,-31.28
