期間,合計,食品飲料及菸草,衣著鞋襪類,住宅服務、水費瓦斯及其他燃料,家具設備及家務服務,醫療保健,運輸交通及通訊,休閒、文化及教育消費,餐廳及旅館,什項消費
2003,100.00,16.86,3.53,24.38,2.43,12.52,12.50,11.99,8.92,6.88
2004,100.00,16.44,3.48,23.52,2.57,12.74,12.96,12.07,9.14,7.08
2005,100.00,16.20,3.41,23.77,2.51,13.19,12.97,11.75,9.32,6.88
2006,100.00,16.13,3.37,23.67,2.41,13.75,12.79,11.53,9.31,7.03
2007,100.00,16.48,3.27,23.91,2.48,14.11,12.90,11.23,9.67,5.95
2008,100.00,16.40,3.18,24.23,2.47,14.35,12.38,11.29,10.08,5.62
2009,100.00,16.68,3.19,24.30,2.53,14.45,12.73,11.04,9.37,5.71
2010,100.00,16.64,3.23,24.57,2.48,14.39,12.52,11.01,9.71,5.45
2011,100.00,16.22,3.10,24.39,2.49,14.62,13.00,10.39,10.16,5.63
2012,100.00,16.54,3.03,24.36,2.50,14.55,13.02,10.01,10.58,5.41
2013,100.00,16.30,2.98,24.27,2.46,14.67,13.37,9.73,10.57,5.65
