期間,合計,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上
2003,100.00,9.26,20.45,19.84,25.82,14.35,6.44,2.41,0.78,0.65
2004,100.00,9.94,20.22,19.51,26.03,14.65,6.04,2.35,0.72,0.54
2005,100.00,9.92,22.72,19.20,25.42,14.00,5.58,2.05,0.65,0.45
2006,100.00,10.54,21.67,20.71,25.00,13.35,5.35,2.28,0.61,0.49
2007,100.00,9.60,23.04,21.18,24.71,13.32,5.38,1.84,0.58,0.35
2008,100.00,10.76,22.73,21.09,24.83,12.18,5.26,2.00,0.67,0.48
2009,100.00,10.54,23.80,20.87,24.35,12.09,5.23,2.00,0.63,0.49
2010,100.00,11.21,24.29,21.71,24.49,11.49,4.30,1.78,0.42,0.31
2011,100.00,10.12,25.28,21.93,23.48,11.40,4.71,2.00,0.68,0.40
2012,100.00,11.01,25.66,22.80,22.33,10.78,4.76,1.86,0.48,0.32
2013,100.00,11.08,25.69,23.33,22.13,10.67,4.55,1.73,0.47,0.35
