期間,全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),全民健保被保險人數_原始值,全民健保被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),公教人員保險被保險人數_原始值,公教人員保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),勞工保險被保險人數_原始值,勞工保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%),農民保險被保險人數_原始值,農民保險被保險人數_年增率(%)
1958,-,--,-,--,-,--,"172,469",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1959,-,--,-,--,-,--,"189,271",9.74,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1960,-,--,-,--,-,--,"203,909",7.73,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1961,-,--,-,--,-,--,"213,419",4.66,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1962,-,--,-,--,-,--,"218,434",2.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1963,-,--,-,--,-,--,"224,743",2.89,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1964,-,--,-,--,-,--,"232,262",3.35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1965,-,--,-,--,-,--,"241,955",4.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1966,-,--,-,--,-,--,"250,155",3.39,...,...,...,...,"633,948",...,...,...,...,...,...,...,...,...,...,...
1967,-,--,-,--,-,--,"259,133",3.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1968,-,--,-,--,-,--,"271,145",4.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1969,-,--,-,--,-,--,"282,845",4.32,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1970,-,--,-,--,-,--,"298,667",5.59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1971,-,--,-,--,-,--,"313,106",4.83,...,...,...,...,"999,597",...,...,...,...,...,...,...,...,...,...,...
