期間,一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%)
2001Q1,340,105,30.88,36,28,77.78,104,57,54.81,108,20,18.52,92,0,0.00,360,16,4.44,32,0,0.00,88,7,7.95,140,8,5.71,100,1,1.00
2001Q2,320,104,32.50,36,28,77.78,92,55,59.78,92,21,22.83,100,0,0.00,340,22,6.47,32,0,0.00,100,13,13.00,124,8,6.45,84,1,1.19
2001Q3,336,109,32.44,32,28,87.50,96,48,50.00,108,27,25.00,100,6,6.00,344,20,5.81,24,0,0.00,92,12,13.04,136,3,2.21,92,5,5.43
2001Q4,372,101,27.15,36,28,77.78,108,44,40.74,120,28,23.33,108,1,0.93,376,38,10.11,24,0,0.00,116,23,19.83,144,4,2.78,92,11,11.96
2002Q1,372,97,26.08,32,23,71.88,108,44,40.74,132,29,21.97,100,1,1.00,384,24,6.25,32,0,0.00,100,19,19.00,164,5,3.05,88,0,0.00
2002Q2,396,87,21.97,44,27,61.36,104,37,35.58,128,23,17.97,120,0,0.00,412,19,4.61,40,0,0.00,100,15,15.00,164,3,1.83,108,1,0.93
2002Q3,392,78,19.90,44,25,56.82,100,32,32.00,124,20,16.13,124,1,0.81,456,20,4.39,48,1,2.08,96,16,16.67,196,3,1.53,116,0,0.00
2002Q4,388,65,16.75,44,22,50.00,104,28,26.92,120,15,12.50,120,0,0.00,448,16,3.57,44,0,0.00,96,12,12.50,192,3,1.56,116,1,0.86
2003Q1,392,61,15.56,44,22,50.00,108,26,24.07,120,13,10.83,120,0,0.00,460,8,1.74,48,0,0.00,100,5,5.00,196,3,1.53,116,0,0.00
2003Q2,396,67,16.92,44,21,47.73,108,32,29.63,124,14,11.29,120,0,0.00,468,17,3.63,48,0,0.00,108,7,6.48,196,8,4.08,116,2,1.72
2003Q3,396,56,14.14,44,25,56.82,108,20,18.52,124,11,8.87,120,0,0.00,468,12,2.56,48,0,0.00,108,7,6.48,196,2,1.02,116,3,2.59
2003Q4,404,46,11.39,44,23,52.27,112,14,12.50,128,9,7.03,120,0,0.00,476,12,2.52,48,0,0.00,112,11,9.82,200,0,0.00,116,1,0.86
2004Q1,572,68,11.89,52,21,40.38,200,33,16.50,200,14,7.00,120,0,0.00,616,22,3.57,52,0,0.00,200,17,8.50,252,5,1.98,112,0,0.00
2004Q2,572,84,14.69,52,29,55.77,204,40,19.61,196,14,7.14,120,1,0.83,636,20,3.14,52,1,1.92,216,18,8.33,256,1,0.39,112,0,0.00
2004Q3,572,88,15.38,48,26,54.17,204,40,19.61,200,21,10.50,120,1,0.83,632,14,2.22,48,0,0.00,208,9,4.33,260,5,1.92,116,0,0.00
2004Q4,576,59,10.24,52,25,48.08,204,20,9.80,200,12,6.00,120,2,1.67,640,14,2.19,52,0,0.00,212,9,4.25,260,5,1.92,116,0,0.00
2005Q1,580,65,11.21,60,27,45.00,204,25,12.25,200,13,6.50,116,0,0.00,652,15,2.30,60,1,1.67,212,12,5.66,264,1,0.38,116,1,0.86
2005Q2,580,74,12.76,60,32,53.33,204,35,17.16,200,7,3.50,116,0,0.00,648,19,2.93,60,0,0.00,212,14,6.60,264,5,1.89,112,0,0.00
2005Q3,580,61,10.52,60,28,46.67,204,25,12.25,200,7,3.50,116,1,0.86,652,11,1.69,60,0,0.00,212,11,5.19,264,0,0.00,116,0,0.00
2005Q4,580,70,12.07,60,33,55.00,204,29,14.22,200,8,4.00,116,0,0.00,648,12,1.85,60,0,0.00,212,8,3.77,260,4,1.54,116,0,0.00
