期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2001M05,"1,038,905",47.27,"494,921",-5.38,"420,921",208.21,"87,836",308.63,"10,622",323.19,"19,855",-2.19,"4,750",220.95,-,-
2001M06,"1,117,447",30.53,"443,414",-32.95,"464,688",214.40,"135,258",368.34,"46,876",874.55,"25,961",99.85,"1,250",316.67,-,-
2001M07,"1,036,338",41.59,"424,324",-17.73,"399,948",170.77,"134,157",304.57,"28,540",168.99,"43,749",99.36,"5,620",104.36,-,-
2001M08,"834,432",-1.33,"467,214",-21.65,"268,600",39.86,"75,096",199.13,"11,631",15.16,"11,591",-44.80,300,-72.73,-,-
2001M09,"868,708",-11.13,"448,287",-33.81,"351,328",51.30,"57,170",87.44,"5,500",-51.11,"5,823",-76.81,600,-47.83,-,-
2001M10,"943,543",20.28,"492,440",41.54,"335,913",-1.74,"69,764",15.88,"17,255",87.15,"15,671",-25.34,"12,500",194.12,-,-
2001M11,"864,597",-4.61,"462,746",-17.41,"307,374",20.13,"69,035",22.96,"10,071",18.48,"9,721",-46.66,"5,650",-23.13,-,-
2001M12,"835,476",-48.04,"510,788",-59.96,"258,532",3.82,"47,120",-10.63,"12,865",342.10,"4,071",-77.86,"2,100",-77.74,-,-
2002M01,"930,841",-12.82,"582,824",-21.43,"264,332",20.47,"40,667",-40.32,"19,067",10.95,"22,081",11.18,"1,870",33.57,-,-
2002M02,"464,227",-50.20,"222,567",-60.24,"135,476",-57.40,"79,036",112.17,"14,961",391.17,"11,387",-13.26,800,-10.11,-,-
2002M03,"644,582",-43.46,"399,884",-34.62,"178,941",-60.20,"44,666",-23.72,"7,990",62.07,"11,401",-17.80,"1,700",21.43,-,-
2002M04,"699,757",-13.96,"397,233",21.84,"210,556",-41.42,"49,127",-23.73,"8,970",-6.66,"17,321",-53.40,"16,550",-0.54,-,-
2002M05,"671,718",-35.34,"405,033",-18.16,"190,212",-54.81,"46,337",-47.25,"8,050",-24.21,"15,721",-20.82,"6,365",34.00,-,-
2002M06,"951,938",-14.81,"707,003",59.45,"159,875",-65.60,"56,285",-58.39,"12,070",-74.25,"16,405",-36.81,300,-76.00,-,-
2002M07,"995,018",-3.99,"640,343",50.91,"262,486",-34.37,"58,328",-56.52,"9,790",-65.70,"8,821",-79.84,"15,250",171.35,-,-
2002M08,"1,186,206",42.16,"677,746",45.06,"377,810",40.66,"102,119",35.98,"16,710",43.67,"7,141",-38.39,"4,680","1,460.00",-,-
2002M09,"966,527",11.26,"468,514",4.51,"319,000",-9.20,"138,073",141.51,"27,840",406.18,"11,160",91.65,"1,940",223.33,-,-
2002M10,"943,048",-0.05,"448,026",-9.02,"305,059",-9.19,"134,863",93.31,"26,200",51.84,"12,450",-20.55,"16,450",31.60,-,-
2002M11,"682,814",-21.03,"453,022",-2.10,"175,923",-42.77,"31,539",-54.31,"14,360",42.59,"7,970",-18.01,0,-100.00,-,-
2002M12,"550,987",-34.05,"290,036",-43.22,"196,093",-24.15,"47,188",0.14,"11,970",-6.96,"5,700",40.01,0,-100.00,-,-
