期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2001M06,"17,269,620",3.92,"5,692,999",4.61,"11,576,621",3.59,"5,124",14.38,2.97,-,239,-20.33,251,-19.29,129,-15.13,"4,885",16.87,"6,399",17.72,234,-20.14,1,-50.00,4,-20.00,0,--,0,--
2001M07,"17,312,924",3.80,"5,705,860",4.49,"11,607,064",3.46,"5,318",16.75,3.08,-,242,-7.98,258,-8.51,97,-34.46,"5,076",18.27,"6,661",16.29,234,-9.65,4,100.00,3,50.00,0,--,1,--
2001M08,"17,360,978",3.52,"5,719,648",3.75,"11,641,330",3.40,"5,581",18.97,3.22,-,260,-2.62,277,-3.15,145,16.94,"5,321",20.28,"6,953",19.80,253,-3.07,2,0.00,5,66.67,0,-100.00,0,--
2001M09,"17,406,748",3.33,"5,726,881",3.41,"11,679,867",3.29,"4,896",6.88,2.82,-,226,-14.39,233,-14.34,87,-28.69,"4,670",8.18,"5,958",4.05,224,-13.85,1,-50.00,1,-50.00,0,--,0,--
2001M10,"17,435,691",3.05,"5,727,976",2.95,"11,707,715",3.10,"5,687",7.04,3.26,-,258,-12.84,272,-12.26,118,-7.81,"5,429",8.21,"7,149",6.65,253,-12.76,2,-33.33,3,50.00,0,-100.00,0,--
2001M11,"17,465,820",2.93,"5,738,327",2.87,"11,727,493",2.96,"5,773",12.62,3.31,-,267,-7.93,282,-7.84,116,7.41,"5,506",13.85,"7,039",10.92,259,-8.16,2,-33.33,6,20.00,0,--,0,--
2001M12,"17,465,037",2.60,"5,731,835",2.36,"11,733,202",2.71,"5,602",0.96,3.21,-,261,-18.44,280,-16.17,119,-25.62,"5,341",2.14,"6,813",-1.94,254,-18.59,3,50.00,4,-33.33,0,--,0,--
2002M01,"17,508,750",2.55,"5,758,288",2.32,"11,750,462",2.66,"6,147",13.02,3.52,-,275,-18.88,293,-17.70,117,-20.95,"5,872",15.14,"7,487",12.93,270,-17.68,2,-50.00,3,-57.14,0,--,0,--
2002M02,"17,544,368",2.47,"5,770,243",2.25,"11,774,125",2.58,"5,202",13.75,2.97,-,188,-25.69,201,-26.64,89,-12.75,"5,014",16.06,"6,463",16.39,181,-26.72,3,50.00,4,0.00,0,--,0,--
2002M03,"17,567,184",2.30,"5,770,156",1.96,"11,797,028",2.47,"5,998",8.80,3.42,-,226,-16.61,232,-20.00,114,-14.29,"5,772",10.11,"7,434",9.71,220,-16.98,1,-50.00,5,25.00,0,--,0,--
2002M04,"17,596,468",2.37,"5,778,578",2.05,"11,817,890",2.52,"6,427",22.16,3.66,-,231,-8.33,236,-15.11,119,-26.09,"6,196",23.70,"8,046",24.19,225,-7.79,1,-50.00,5,-16.67,0,--,0,--
2002M05,"17,644,900",2.42,"5,797,416",2.10,"11,847,484",2.57,"6,973",26.85,3.96,-,227,-17.15,235,-19.80,100,-25.93,"6,746",29.16,"8,785",30.88,217,-17.49,4,33.33,5,-37.50,0,--,1,--
2002M06,"17,695,136",2.46,"5,815,164",2.15,"11,879,972",2.62,"6,775",32.22,3.83,-,227,-5.02,233,-7.17,69,-46.51,"6,548",34.04,"8,422",31.61,222,-5.13,1,0.00,4,0.00,0,--,0,--
2002M07,"17,750,170",2.53,"5,834,441",2.25,"11,915,729",2.66,"7,585",42.63,4.28,-,214,-11.57,224,-13.18,126,29.90,"7,371",45.21,"9,572",43.70,209,-10.68,0,-100.00,4,33.33,1,--,0,-100.00
2002M08,"17,799,150",2.52,"5,847,409",2.23,"11,951,741",2.67,"7,632",36.75,4.29,-,210,-19.23,234,-15.52,120,-17.24,"7,422",39.49,"9,657",38.89,204,-19.37,4,100.00,1,-80.00,0,--,1,--
2002M09,"17,853,306",2.57,"5,862,898",2.38,"11,990,408",2.66,"7,393",51.00,4.15,-,223,-1.33,232,-0.43,81,-6.90,"7,170",53.53,"9,346",56.86,211,-5.80,3,200.00,8,700.00,0,--,1,--
2002M10,"17,876,542",2.53,"5,883,473",2.71,"11,993,069",2.44,"8,659",52.26,4.85,-,242,-6.20,250,-8.09,141,19.49,"8,417",55.04,"11,086",55.07,225,-11.07,5,150.00,11,266.67,0,--,1,--
2002M11,"17,894,423",2.45,"5,902,692",2.86,"11,991,731",2.25,"8,809",52.59,4.93,-,221,-17.23,233,-17.38,122,5.17,"8,588",55.98,"11,157",58.50,218,-15.83,1,-50.00,2,-66.67,0,--,0,--
2002M12,"17,906,957",2.53,"5,923,200",3.34,"11,983,757",2.14,"8,659",54.57,4.84,-,241,-7.66,258,-7.86,86,-27.73,"8,418",57.61,"10,855",59.33,234,-7.87,1,-66.67,5,25.00,1,--,0,--
2003M01,"17,951,937",2.53,"5,952,790",3.38,"11,999,147",2.12,"10,175",65.53,5.68,-,260,-5.45,277,-5.46,114,-2.56,"9,915",68.85,"12,836",71.44,254,-5.93,1,-50.00,5,66.67,0,--,0,--
2003M02,"17,967,139",2.41,"5,955,519",3.21,"12,011,620",2.02,"7,977",53.34,4.44,-,203,7.98,209,3.98,99,11.24,"7,774",55.05,"10,285",59.14,192,6.08,1,-66.67,9,125.00,1,--,0,--
2003M03,"18,002,305",2.48,"5,968,580",3.44,"12,033,725",2.01,"9,798",63.35,5.45,-,192,-15.04,204,-12.07,55,-51.75,"9,606",66.42,"12,625",69.83,184,-16.36,2,100.00,6,20.00,0,--,0,--
2003M04,"18,034,555",2.49,"5,983,009",3.54,"12,051,546",1.98,"9,705",51.00,5.39,-,203,-12.12,208,-11.86,70,-41.18,"9,502",53.36,"12,446",54.69,196,-12.89,2,100.00,5,0.00,0,--,0,--
2003M05,"18,085,551",2.50,"6,005,145",3.58,"12,080,406",1.97,"9,772",40.14,5.41,-,209,-7.93,213,-9.36,65,-35.00,"9,563",41.76,"12,492",42.20,204,-5.99,0,-100.00,5,0.00,0,--,0,-100.00
2003M06,"18,142,821",2.53,"6,027,757",3.66,"12,115,064",1.98,"9,800",44.65,5.41,-,183,-19.38,203,-12.88,107,55.07,"9,617",46.87,"12,675",50.50,176,-20.72,2,100.00,5,25.00,0,--,0,--
2003M07,"18,215,069",2.62,"6,054,980",3.78,"12,160,089",2.05,"10,401",37.13,5.72,-,225,5.14,236,5.36,86,-31.75,"10,176",38.05,"13,458",40.60,215,2.87,4,--,6,50.00,0,-100.00,0,--
