期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1951,"7,758,202",...,10.30,...,...,-,"12,648",...,"1,228",...,"1,630",...,158,...,"12,641",...,"1,227",...,"1,629",...,158,...,"12,274",...,"1,192",...,"1,582",...,154,...
1952,"8,046,915",3.72,10.30,0.00,11.84,-,"17,623",39.33,"1,711",39.33,"2,190",34.36,213,34.81,"17,619",39.38,"1,711",39.45,"2,190",34.44,213,34.81,"17,117",39.46,"1,662",39.43,"2,127",34.45,207,34.42
1953,"8,333,009",3.56,15.55,-33.76,9.85,-,"23,422",32.91,"1,506",-11.98,"2,811",28.36,181,-15.02,"23,418",32.91,"1,506",-11.98,"2,810",28.31,181,-15.02,"22,708",32.66,"1,460",-12.15,"2,725",28.11,175,-15.46
1954,"8,645,264",3.75,15.55,0.00,9.96,-,"25,746",9.92,"1,656",9.96,"2,978",5.94,192,6.08,"25,742",9.92,"1,655",9.89,"2,978",5.98,192,6.08,"24,743",8.96,"1,591",8.97,"2,862",5.03,184,5.14
1955,"8,967,001",3.72,15.55,0.00,7.84,-,"30,685",19.18,"1,973",19.14,"3,422",14.91,220,14.58,"30,682",19.19,"1,973",19.21,"3,422",14.91,220,14.58,"29,300",18.42,"1,884",18.42,"3,268",14.19,210,14.13
1956,"9,289,545",3.60,24.78,-37.25,5.30,-,"35,194",14.69,"1,420",-28.03,"3,789",10.72,153,-30.45,"35,187",14.68,"1,420",-28.03,"3,788",10.70,153,-30.45,"33,504",14.35,"1,352",-28.24,"3,607",10.37,146,-30.48
1957,"9,597,690",3.32,24.78,0.00,7.35,-,"41,096",16.77,"1,658",16.76,"4,282",13.01,173,13.07,"41,041",16.64,"1,656",16.62,"4,276",12.88,173,13.07,"38,907",16.13,"1,570",16.12,"4,054",12.39,164,12.33
1958,"9,920,227",3.36,24.78,0.00,6.86,-,"45,990",11.91,"1,856",11.94,"4,636",8.27,187,8.09,"45,809",11.62,"1,849",11.65,"4,618",8.00,186,7.51,"43,313",11.32,"1,748",11.34,"4,366",7.70,176,7.32
1959,"10,288,327",3.71,36.38,-31.89,7.96,-,"52,980",15.20,"1,456",-21.55,"5,150",11.09,142,-24.06,"52,824",15.31,"1,452",-21.47,"5,134",11.17,141,-24.19,"49,853",15.10,"1,370",-21.62,"4,846",10.99,133,-24.43
1960,"10,667,705",3.69,36.38,0.00,6.87,-,"63,765",20.36,"1,753",20.40,"5,977",16.06,164,15.49,"63,738",20.66,"1,752",20.66,"5,975",16.38,164,16.31,"60,300",20.96,"1,658",21.02,"5,653",16.65,155,16.54
1961,"11,030,385",3.40,40.00,-9.05,6.32,-,"71,389",11.96,"1,785",1.83,"6,472",8.28,162,-1.22,"71,306",11.87,"1,783",1.77,"6,465",8.20,162,-1.22,"67,319",11.64,"1,683",1.51,"6,103",7.96,153,-1.29
1962,"11,392,513",3.28,40.00,0.00,8.04,-,"78,539",10.02,"1,963",9.97,"6,894",6.52,172,6.17,"78,429",9.99,"1,961",9.98,"6,884",6.48,172,6.17,"73,927",9.82,"1,848",9.80,"6,489",6.32,162,5.88
1963,"11,762,101",3.24,40.00,0.00,9.81,-,"88,714",12.96,"2,218",12.99,"7,542",9.40,189,9.88,"88,601",12.97,"2,215",12.95,"7,533",9.43,188,9.30,"83,798",13.35,"2,095",13.37,"7,124",9.79,178,9.88
1964,"12,137,143",3.19,40.00,0.00,11.57,-,"103,488",16.65,"2,587",16.64,"8,527",13.06,213,12.70,"103,504",16.82,"2,588",16.84,"8,528",13.21,213,13.30,"98,094",17.06,"2,452",17.04,"8,082",13.45,202,13.48
1965,"12,511,863",3.09,40.00,0.00,10.85,-,"114,359",10.50,"2,859",10.51,"9,140",7.19,229,7.51,"114,165",10.30,"2,854",10.28,"9,125",7.00,228,7.04,"108,160",10.26,"2,704",10.28,"8,645",6.97,216,6.93
