期間,總計-總機構_原始值,總計-總機構_年增率(%),總計-分機構_原始值,總計-分機構_年增率(%),全體貨幣機構-中央銀行_原始值,全體貨幣機構-中央銀行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-總行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-總行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-分行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-分行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-總社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-總社_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-分社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-分社_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-分部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-分部_年增率(%),其他金融機構-中華郵政公司-總公司_原始值,其他金融機構-中華郵政公司-總公司_年增率(%),其他金融機構-中華郵政公司-支局_原始值,其他金融機構-中華郵政公司-支局_年增率(%),信託投資公司-總公司_原始值,信託投資公司-總公司_年增率(%),信託投資公司-分公司_原始值,信託投資公司-分公司_年增率(%),人壽保險公司-總公司_原始值,人壽保險公司-總公司_年增率(%),人壽保險公司-分公司_原始值,人壽保險公司-分公司_年增率(%)
2010M01,429,2.63,"5,977",-0.25,1,0.00,38,0.00,"3,282",0.49,32,0.00,133,-5.67,26,-3.70,259,-4.43,276,4.55,811,-0.12,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,-7.19
2010M02,429,2.63,"5,978",-0.20,1,0.00,38,0.00,"3,283",0.58,32,0.00,133,-5.67,26,-3.70,259,-4.43,276,4.55,811,-0.12,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,-7.19
2010M03,428,2.39,"5,979",-0.23,1,0.00,38,0.00,"3,285",0.58,31,-3.13,132,-6.38,26,-3.70,260,-4.41,276,4.55,810,-0.25,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,-7.19
2010M04,427,2.15,"5,972",-0.35,1,0.00,37,-2.63,"3,278",0.40,30,-6.25,132,-7.04,26,-3.70,260,-4.41,276,4.55,810,-0.25,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,31,3.33,129,-7.19
2010M05,427,2.15,"5,972",-0.22,1,0.00,38,0.00,"3,311",1.66,30,-6.25,99,-30.77,26,-3.70,261,-4.04,276,4.55,810,-0.12,25,0.00,42,0.00,1,0.00,"1,320",-0.08,-,-,-,-,30,0.00,129,-7.19
2010M06,426,1.67,"5,977",-0.02,1,0.00,38,0.00,"3,317",1.75,29,-9.38,97,-32.17,26,-3.70,261,-4.04,276,3.76,811,0.00,25,0.00,42,0.00,1,0.00,"1,320",-0.08,-,-,-,-,30,3.45,129,0.00
2010M07,426,1.43,"5,981",-0.02,1,0.00,38,0.00,"3,319",1.65,29,-9.38,97,-32.17,26,-3.70,261,-4.04,276,3.37,811,0.12,25,0.00,42,0.00,1,0.00,"1,322",0.08,-,-,-,-,30,3.45,129,0.00
2010M08,426,0.24,"5,985",0.10,1,0.00,38,0.00,"3,323",1.56,29,-9.38,97,-27.07,26,-3.70,261,-4.04,276,1.47,811,0.12,25,0.00,42,0.00,1,0.00,"1,322",0.08,-,-,-,-,30,3.45,129,0.00
2010M09,426,0.00,"5,988",0.17,1,0.00,38,0.00,"3,326",1.25,29,-9.38,98,-26.32,26,0.00,261,1.16,276,0.73,811,0.12,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,3.45,129,0.00
2010M10,425,-0.47,"5,990",0.15,1,0.00,38,0.00,"3,328",1.25,28,-12.50,97,-27.07,26,0.00,261,1.16,276,0.36,811,0.00,25,0.00,42,0.00,1,0.00,"1,322",0.08,-,-,-,-,30,3.45,129,0.00
2010M11,425,-0.70,"5,987",0.07,1,0.00,38,0.00,"3,330",1.25,28,-12.50,93,-30.08,26,0.00,261,1.16,276,0.36,810,-0.12,25,0.00,42,0.00,1,0.00,"1,322",0.08,-,-,-,-,30,0.00,129,0.00
2010M12,425,-0.70,"5,989",0.27,1,0.00,38,0.00,"3,334",1.68,28,-12.50,92,-30.83,26,0.00,261,1.16,276,0.36,810,-0.12,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,0.00
2011M01,425,-0.93,"5,993",0.27,1,0.00,38,0.00,"3,337",1.68,28,-12.50,92,-30.83,26,0.00,262,1.16,276,0.00,810,-0.12,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,0.00
2011M02,425,-0.93,"5,996",0.30,1,0.00,38,0.00,"3,339",1.71,28,-12.50,92,-30.83,26,0.00,262,1.16,276,0.00,811,0.00,25,0.00,42,0.00,1,0.00,"1,321",0.00,-,-,-,-,30,0.00,129,0.00
2011M03,425,-0.70,"5,999",0.33,1,0.00,38,0.00,"3,340",1.67,28,-9.68,92,-30.30,26,0.00,262,0.77,276,0.00,811,0.12,25,0.00,42,0.00,1,0.00,"1,323",0.15,-,-,-,-,30,0.00,129,0.00
2011M04,425,-0.47,"6,002",0.50,1,0.00,38,2.70,"3,341",1.92,28,-6.67,92,-30.30,26,0.00,262,0.77,276,0.00,813,0.37,25,0.00,42,0.00,1,0.00,"1,323",0.15,-,-,-,-,30,-3.23,129,0.00
2011M05,425,-0.47,"6,006",0.57,1,0.00,38,0.00,"3,344",1.00,28,-6.67,92,-7.07,26,0.00,263,0.77,276,0.00,813,0.37,25,0.00,42,0.00,1,0.00,"1,323",0.23,-,-,-,-,30,0.00,129,0.00
2011M06,426,0.00,"6,010",0.55,1,0.00,38,0.00,"3,347",0.90,28,-3.45,92,-5.15,26,0.00,263,0.77,277,0.36,814,0.37,25,0.00,42,0.00,1,0.00,"1,323",0.23,-,-,-,-,30,0.00,129,0.00
2011M07,425,-0.23,"6,010",0.48,1,0.00,38,0.00,"3,355",1.08,28,-3.45,92,-5.15,25,-3.85,255,-2.30,277,0.36,814,0.37,25,0.00,42,0.00,1,0.00,"1,323",0.08,-,-,-,-,30,0.00,129,0.00
2011M08,425,-0.23,"6,009",0.40,1,0.00,38,0.00,"3,354",0.93,28,-3.45,92,-5.15,25,-3.85,255,-2.30,277,0.36,814,0.37,25,0.00,42,0.00,1,0.00,"1,323",0.08,-,-,-,-,30,0.00,129,0.00
