期間,累積家數(家)_原始值,累積家數(家)_年增率(%),通報人數(人)_原始值,通報人數(人)_年增率(%),實際實施人數(人)_原始值,實際實施人數(人)_年增率(%)
2010M06,22,-97.41,694,-99.45,...,...
2010M07,20,-96.95,653,-99.12,...,...
2010M08,15,-97.56,526,-99.11,...,...
2010M09,12,-97.67,494,-98.83,...,...
2010M10,6,-98.57,215,-99.18,...,...
2010M11,6,-98.21,205,-98.97,...,...
2010M12,5,-97.04,99,-98.98,...,...
2011M01,...,...,...,...,...,...
2011M02,2,-97.56,66,-97.43,...,...
2011M03,1,-98.63,52,-97.18,...,...
2011M04,1,-98.25,52,-96.50,...,...
2011M05,0,-100.00,0,-100.00,...,...
2011M06,0,-100.00,0,-100.00,...,...
2011M07,0,-100.00,0,-100.00,...,...
2011M08,0,-100.00,0,-100.00,...,...
2011M09,0,-100.00,0,-100.00,...,...
2011M10,12,100.00,"2,801","1,202.79",...,...
