期間,合計_原始值,合計_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人等_原始值,個人等_年增率(%),政府機關_原始值,政府機關_年增率(%)
1998M10,"11,483,241",8.36,"357,256",-8.09,"4,592,664",9.78,"5,021,063",7.69,"1,512,258",10.98
1998M11,"11,739,603",8.76,"359,830",-7.65,"4,757,401",9.63,"5,091,859",8.30,"1,530,513",12.29
1998M12,"11,795,818",7.20,"365,713",-7.52,"4,778,928",8.82,"5,112,387",6.01,"1,538,790",10.39
1999M01,"11,874,471",4.89,"364,617",-14.23,"4,819,673",4.17,"5,139,063",6.10,"1,551,118",8.84
1999M02,"11,930,902",6.89,"376,957",-3.79,"4,828,522",7.57,"5,135,124",6.15,"1,590,299",10.19
1999M03,"11,936,100",6.67,"365,659",-4.44,"4,836,638",7.69,"5,144,743",6.39,"1,589,060",7.32
1999M04,"11,982,558",7.56,"350,627",-8.30,"4,860,636",8.96,"5,159,719",6.28,"1,611,576",11.79
1999M05,"12,023,596",7.33,"347,287",-8.75,"4,885,724",8.79,"5,170,159",5.97,"1,620,426",11.59
1999M06,"12,270,650",7.66,"359,586",-3.33,"5,011,816",8.76,"5,202,545",5.12,"1,696,703",15.59
1999M07,"12,188,569",7.41,"352,319",-3.56,"4,959,230",9.22,"5,176,746",4.16,"1,700,274",15.54
1999M08,"12,139,604",6.52,"348,944",-2.12,"4,961,596",8.59,"5,183,661",3.76,"1,645,403",11.57
1999M09,"12,247,407",6.29,"361,005",-1.37,"5,045,777",8.65,"5,189,651",3.60,"1,650,974",9.84
1999M10,"12,195,975",6.21,"348,578",-2.43,"5,009,519",9.08,"5,170,129",2.97,"1,667,749",10.28
1999M11,"12,345,489",5.16,"351,846",-2.22,"5,097,980",7.16,"5,184,685",1.82,"1,710,978",11.79
1999M12,"12,537,233",6.29,"368,757",0.83,"5,203,737",8.89,"5,240,224",2.50,"1,724,515",12.07
2000M01,"12,585,364",5.99,"385,901",5.84,"5,197,461",7.84,"5,250,481",2.17,"1,751,521",12.92
2000M02,"12,589,621",5.52,"377,941",0.26,"5,219,670",8.10,"5,238,865",2.02,"1,753,145",10.24
2000M03,"12,677,528",6.21,"372,667",1.92,"5,255,679",8.66,"5,254,319",2.13,"1,794,863",12.95
2000M04,"12,703,727",6.02,"362,334",3.34,"5,293,973",8.92,"5,255,533",1.86,"1,791,887",11.19
2000M05,"12,773,854",6.24,"354,347",2.03,"5,355,554",9.62,"5,283,985",2.20,"1,779,968",9.85
2000M06,"12,898,802",5.12,"365,886",1.75,"5,427,031",8.28,"5,299,884",1.87,"1,806,001",6.44
2000M07,"12,947,063",6.22,"379,499",7.71,"5,389,544",8.68,"5,345,783",3.27,"1,832,237",7.76
2000M08,"12,895,221",6.22,"357,668",2.50,"5,380,144",8.44,"5,346,451",3.14,"1,810,958",10.06
2000M09,"12,955,705",5.78,"359,495",-0.42,"5,402,289",7.07,"5,364,962",3.38,"1,828,959",10.78
2000M10,"13,062,344",7.10,"360,930",3.54,"5,411,337",8.02,"5,397,502",4.40,"1,892,575",13.48
2000M11,"13,095,564",6.08,"360,648",2.50,"5,368,654",5.31,"5,411,515",4.38,"1,954,747",14.25
2000M12,"13,295,437",6.05,"384,454",4.26,"5,412,707",4.02,"5,437,166",3.76,"2,061,110",19.52
2001M01,"13,226,153",5.09,"398,247",3.20,"5,302,727",2.03,"5,418,150",3.19,"2,107,029",20.30
2001M02,"13,134,795",4.33,"376,031",-0.51,"5,264,520",0.86,"5,371,138",2.52,"2,123,106",21.10
2001M03,"13,141,537",3.66,"371,701",-0.26,"5,282,687",0.51,"5,362,615",2.06,"2,124,535",18.37
2001M04,"13,041,731",2.66,"361,847",-0.13,"5,215,407",-1.48,"5,355,186",1.90,"2,109,291",17.71
