期間,合計_人次,合計_千人率(0/00),傷病_人次,傷病_千人率(0/00),失能_人次,失能_千人率(0/00),死亡_人次,死亡_千人率(0/00)
2006M09,"3,621",0.418,"3,321",0.383,270,0.031,30,0.003
2006M10,"3,267",0.377,"2,954",0.341,290,0.033,23,0.003
2006M11,"3,558",0.410,"3,254",0.375,273,0.031,31,0.004
2006M12,"3,327",0.383,"3,019",0.348,285,0.033,23,0.003
2007M01,"3,456",0.397,"3,120",0.359,310,0.036,26,0.003
2007M02,"2,299",0.265,"2,091",0.241,190,0.022,18,0.002
2007M03,"3,046",0.351,"2,744",0.316,271,0.031,31,0.004
2007M04,"2,834",0.326,"2,571",0.296,241,0.028,22,0.003
2007M05,"3,337",0.384,"3,044",0.350,269,0.031,24,0.003
2007M06,"3,205",0.368,"2,921",0.336,262,0.030,22,0.003
2007M07,"3,238",0.370,"2,960",0.338,251,0.029,27,0.003
2007M08,"3,709",0.423,"3,412",0.389,277,0.032,20,0.002
2007M09,"2,880",0.327,"2,599",0.295,258,0.029,23,0.003
2007M10,"3,548",0.402,"3,253",0.369,268,0.030,27,0.003
2007M11,"3,586",0.406,"3,305",0.374,253,0.029,28,0.003
2007M12,"3,659",0.416,"3,371",0.383,263,0.030,25,0.003
2008M01,"4,113",0.466,"3,783",0.428,303,0.034,27,0.003
2008M02,"2,205",0.251,"2,031",0.231,159,0.018,15,0.002
2008M03,"3,015",0.342,"2,735",0.311,249,0.028,31,0.004
2008M04,"3,229",0.366,"2,978",0.338,230,0.026,21,0.002
2008M05,"3,187",0.361,"2,916",0.330,253,0.029,18,0.002
2008M06,"3,328",0.379,"3,054",0.348,252,0.029,22,0.003
2008M07,"3,556",0.403,"3,271",0.371,261,0.030,24,0.003
2008M08,"3,335",0.378,"3,064",0.347,239,0.027,32,0.004
2008M09,"3,525",0.398,"3,264",0.369,234,0.026,27,0.003
2008M10,"3,698",0.416,"3,408",0.383,257,0.029,33,0.004
2008M11,"3,567",0.401,"3,304",0.372,231,0.026,32,0.004
2008M12,"3,900",0.443,"3,538",0.402,324,0.037,38,0.004
2009M01,"2,673",0.304,"2,499",0.284,153,0.017,21,0.002
2009M02,"2,628",0.299,"2,446",0.278,173,0.020,9,0.001
2009M03,"3,539",0.403,"3,284",0.374,238,0.027,17,0.002
2009M04,"3,160",0.358,"2,915",0.330,222,0.025,23,0.003
2009M05,"2,563",0.290,"2,373",0.268,173,0.020,17,0.002
2009M06,"3,385",0.384,"3,123",0.354,234,0.027,28,0.003
2009M07,"3,455",0.389,"3,171",0.357,258,0.029,26,0.003
2009M08,"2,938",0.329,"2,705",0.303,199,0.022,34,0.004
2009M09,"3,546",0.394,"3,265",0.363,238,0.026,43,0.005
2009M10,"3,427",0.379,"3,165",0.350,231,0.026,31,0.003
2009M11,"3,290",0.363,"3,049",0.337,216,0.024,25,0.003
2009M12,"3,602",0.399,"3,322",0.368,253,0.028,27,0.003
2010M01,"3,122",0.344,"2,894",0.319,206,0.023,22,0.002
2010M02,"2,289",0.253,"2,116",0.233,156,0.017,17,0.002
2010M03,"3,344",0.367,"3,092",0.339,233,0.026,19,0.002
2010M04,"3,368",0.367,"3,102",0.338,236,0.026,30,0.003
2010M05,"3,139",0.341,"2,904",0.316,212,0.023,23,0.003
2010M06,"3,382",0.368,"3,128",0.340,229,0.025,25,0.003
