期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2000M11,"1,078",...,100,...,6,...,8,...,63,...,13,...,115,...,183,...,52,...,10,...,1,...,385,...,21,...,2,...,3,...,1,...,2,...,13,...,0,...,42,...,58,...
2000M12,"1,188",...,88,...,8,...,10,...,64,...,20,...,123,...,178,...,59,...,12,...,4,...,452,...,22,...,4,...,4,...,1,...,1,...,11,...,0,...,61,...,66,...
2001M01,"1,584",-18.94,154,108.11,7,-12.50,17,6.25,65,0.00,39,62.50,156,-56.91,166,-27.83,71,-24.47,18,38.46,2,-50.00,686,-21.06,12,-52.00,1,-75.00,3,-75.00,1,-66.67,36,"1,700.00",15,-16.67,1,--,66,26.92,68,-13.92
2001M02,"1,214",-31.91,94,17.50,5,-28.57,13,-18.75,43,-21.82,46,2.22,146,-50.17,166,-23.50,56,-8.20,13,18.18,4,100.00,493,-35.72,16,14.29,5,25.00,12,200.00,2,100.00,11,-80.36,9,-40.00,0,--,41,-39.71,39,-41.79
2001M03,"1,850",8.76,130,78.08,3,-62.50,9,-57.14,68,-13.92,185,62.28,204,-42.37,180,-7.22,49,-27.94,18,0.00,2,0.00,798,32.56,29,52.63,5,66.67,4,-20.00,1,0.00,4,-71.43,9,-35.71,0,--,68,44.68,84,29.23
2001M04,952,-12.82,98,34.25,7,75.00,3,-66.67,55,-6.78,29,-53.97,97,-39.75,166,-4.05,56,-13.85,11,-15.38,0,-100.00,307,4.78,8,-55.56,3,50.00,4,-33.33,3,50.00,0,-100.00,7,-56.25,0,-100.00,41,-4.65,57,-34.48
2001M05,812,-30.48,73,-18.89,12,300.00,11,0.00,81,26.56,9,-57.14,80,-52.38,148,-12.94,79,27.42,6,-25.00,1,0.00,163,-53.69,14,-30.00,3,-50.00,15,87.50,3,200.00,1,-66.67,13,-45.83,2,100.00,27,-57.81,71,-21.98
2001M06,729,-25.91,71,-2.74,3,-40.00,9,-30.77,73,30.36,12,-29.41,67,-38.53,186,4.49,64,-1.54,5,-64.29,1,--,104,-63.25,15,-34.78,1,-75.00,7,40.00,2,-66.67,1,0.00,15,0.00,1,0.00,33,-34.00,59,-10.61
2001M07,850,-1.51,80,21.21,7,-12.50,12,71.43,57,16.33,10,-23.08,86,-31.75,210,16.67,64,3.23,9,28.57,0,--,166,-15.74,17,0.00,3,200.00,9,80.00,1,-80.00,0,-100.00,13,-23.53,1,-50.00,44,22.22,61,-1.61
2001M08,"1,115",32.11,97,-2.02,3,-40.00,8,-20.00,57,-14.93,23,27.78,149,71.26,194,4.30,82,3.80,6,-45.45,1,0.00,332,157.36,22,69.23,4,-42.86,6,-33.33,4,33.33,1,--,10,-50.00,6,--,32,-20.00,78,30.00
2001M09,728,-50.84,70,-39.66,7,75.00,19,90.00,47,-17.54,19,-20.83,65,-63.89,187,18.35,64,-7.25,5,-54.55,0,-100.00,103,-79.88,8,-69.23,2,100.00,4,-20.00,2,0.00,2,-98.78,7,-58.82,0,--,36,-28.00,81,10.96
2001M10,"1,049",-26.33,98,36.11,7,-46.15,5,-54.55,55,-14.06,10,-37.50,104,-46.11,144,-6.49,50,-23.08,13,44.44,1,--,353,-43.52,19,-29.63,2,-50.00,8,-11.11,1,-50.00,14,250.00,9,-43.75,0,--,75,11.94,81,10.96
2001M11,"1,482",37.48,68,-32.00,5,-16.67,22,175.00,56,-11.11,29,123.08,131,13.91,202,10.38,76,46.15,13,30.00,2,100.00,690,79.22,27,28.57,4,100.00,9,200.00,0,-100.00,3,50.00,25,92.31,1,--,51,21.43,68,17.24
2001M12,"1,385",16.58,87,-1.14,5,-37.50,16,60.00,62,-3.12,13,-35.00,181,47.15,178,0.00,64,8.47,20,66.67,1,-75.00,557,23.23,26,18.18,2,-50.00,7,75.00,2,100.00,3,200.00,14,27.27,0,--,55,-9.84,92,39.39
2002M01,"1,829",15.47,91,-40.91,11,57.14,11,-35.29,56,-13.85,35,-10.26,205,31.41,232,39.76,57,-19.72,21,16.67,5,150.00,902,31.49,27,125.00,7,600.00,9,200.00,1,0.00,8,-77.78,13,-13.33,0,-100.00,62,-6.06,76,11.76
2002M02,"1,968",62.11,112,19.15,3,-40.00,10,-23.08,68,58.14,79,71.74,209,43.15,206,24.10,54,-3.57,23,76.92,4,0.00,961,94.93,12,-25.00,2,-60.00,9,-25.00,2,0.00,66,500.00,13,44.44,1,--,64,56.10,70,79.49
2002M03,"1,998",8.00,102,-21.54,4,33.33,7,-22.22,56,-17.65,139,-24.86,204,0.00,207,15.00,48,-2.04,20,11.11,2,0.00,997,24.94,19,-34.48,1,-80.00,8,100.00,0,-100.00,8,100.00,13,44.44,0,--,78,14.71,85,1.19
2002M04,"1,795",88.55,121,23.47,2,-71.43,10,233.33,47,-14.55,230,693.10,148,52.58,190,14.46,48,-14.29,5,-54.55,10,--,778,153.42,22,175.00,3,0.00,12,200.00,2,-33.33,5,--,9,28.57,0,--,66,60.98,87,52.63
2002M05,"1,043",28.45,104,42.47,4,-66.67,7,-36.36,37,-54.32,11,22.22,123,53.75,158,6.76,55,-30.38,6,0.00,1,0.00,357,119.02,24,71.43,4,33.33,5,-66.67,1,-66.67,1,0.00,12,-7.69,0,-100.00,70,159.26,63,-11.27
2002M06,670,-8.09,105,47.89,6,100.00,4,-55.56,40,-45.21,6,-50.00,49,-26.87,159,-14.52,47,-26.56,5,0.00,0,-100.00,104,0.00,10,-33.33,6,500.00,9,28.57,0,-100.00,3,200.00,16,6.67,0,-100.00,41,24.24,60,1.69
2002M07,461,-45.76,92,15.00,2,-71.43,2,-83.33,33,-42.11,6,-40.00,45,-47.67,132,-37.14,28,-56.25,7,-22.22,0,--,42,-74.70,8,-52.94,1,-66.67,2,-77.78,1,0.00,0,--,1,-92.31,1,0.00,20,-54.55,38,-37.70
2002M08,666,-40.27,98,1.03,2,-33.33,3,-62.50,39,-31.58,16,-30.43,71,-52.35,145,-25.26,42,-48.78,9,50.00,0,-100.00,110,-66.87,12,-45.45,3,-25.00,3,-50.00,5,25.00,1,0.00,9,-10.00,1,-83.33,33,3.12,64,-17.95
2002M09,688,-5.49,101,44.29,6,-14.29,8,-57.89,29,-38.30,14,-26.32,59,-9.23,155,-17.11,31,-51.56,5,0.00,1,--,125,21.36,13,62.50,1,-50.00,5,25.00,2,0.00,16,700.00,11,57.14,1,--,59,63.89,46,-43.21
2002M10,651,-37.94,81,-17.35,3,-57.14,9,80.00,24,-56.36,10,0.00,78,-25.00,166,15.28,33,-34.00,7,-46.15,0,-100.00,125,-64.59,9,-52.63,1,-50.00,7,-12.50,1,0.00,2,-85.71,9,0.00,1,--,42,-44.00,43,-46.91
2002M11,833,-43.79,63,-7.35,4,-20.00,8,-63.64,37,-33.93,5,-82.76,125,-4.58,160,-20.79,33,-56.58,6,-53.85,1,-50.00,267,-61.30,8,-70.37,1,-75.00,7,-22.22,1,--,0,-100.00,18,-28.00,0,-100.00,44,-13.73,45,-33.82
2002M12,642,-53.65,54,-37.93,6,20.00,5,-68.75,24,-61.29,3,-76.92,83,-54.14,137,-23.03,46,-28.12,8,-60.00,1,0.00,157,-71.81,16,-38.46,4,100.00,2,-71.43,1,-50.00,2,-33.33,13,-7.14,0,--,33,-40.00,47,-48.91
2003M01,785,-57.08,72,-20.88,6,-45.45,5,-54.55,38,-32.14,13,-62.86,124,-39.51,178,-23.28,32,-43.86,8,-61.90,3,-40.00,-,--,11,-59.26,2,-71.43,6,-33.33,1,0.00,12,50.00,14,7.69,0,--,40,-35.48,220,189.47
2003M02,884,-55.08,60,-46.43,5,66.67,13,30.00,22,-67.65,42,-46.84,141,-32.54,148,-28.16,36,-33.33,11,-52.17,0,-100.00,-,--,12,0.00,2,0.00,4,-55.56,0,-100.00,59,-10.61,8,-38.46,0,-100.00,28,-56.25,293,318.57
2003M03,835,-58.21,54,-47.06,3,-25.00,6,-14.29,33,-41.07,86,-38.13,121,-40.69,158,-23.67,36,-25.00,11,-45.00,0,-100.00,-,--,19,0.00,2,100.00,5,-37.50,2,--,2,-75.00,4,-69.23,0,--,42,-46.15,251,195.29
2003M04,554,-69.14,65,-46.28,3,50.00,3,-70.00,31,-34.04,23,-90.00,65,-56.08,126,-33.68,37,-22.92,10,100.00,1,-90.00,-,--,9,-59.09,0,-100.00,9,-25.00,1,-50.00,1,-80.00,7,-22.22,0,--,31,-53.03,132,51.72
2003M05,647,-37.97,67,-35.58,6,50.00,6,-14.29,30,-18.92,7,-36.36,110,-10.57,147,-6.96,35,-36.36,2,-66.67,1,0.00,-,--,10,-58.33,1,-75.00,6,20.00,1,0.00,2,100.00,10,-16.67,0,--,41,-41.43,165,161.90
2003M06,538,-19.70,45,-57.14,2,-66.67,5,25.00,30,-25.00,24,300.00,63,28.57,133,-16.35,46,-2.13,4,-20.00,2,--,-,--,10,0.00,1,-83.33,4,-55.56,1,--,0,-100.00,9,-43.75,1,--,41,0.00,117,95.00
2003M07,781,69.41,77,-16.30,5,150.00,3,50.00,31,-6.06,16,166.67,131,191.11,185,40.15,41,46.43,5,-28.57,1,--,-,--,9,12.50,2,100.00,4,100.00,0,-100.00,3,--,11,"1,000.00",2,100.00,37,85.00,218,473.68
