期間,名目本金餘額_原始值,名目本金餘額_年增率(%),名目本金餘額-店頭市場_原始值,名目本金餘額-店頭市場_年增率(%),名目本金餘額-店頭市場-遠期契約_原始值,名目本金餘額-店頭市場-遠期契約_年增率(%),名目本金餘額-店頭市場-交換_原始值,名目本金餘額-店頭市場-交換_年增率(%),名目本金餘額-店頭市場-買入選擇權_原始值,名目本金餘額-店頭市場-買入選擇權_年增率(%),名目本金餘額-店頭市場-賣出選擇權_原始值,名目本金餘額-店頭市場-賣出選擇權_年增率(%),名目本金餘額-交易所_原始值,名目本金餘額-交易所_年增率(%),名目本金餘額-交易所-期貨-長部位_原始值,名目本金餘額-交易所-期貨-長部位_年增率(%),名目本金餘額-交易所-期貨-短部位_原始值,名目本金餘額-交易所-期貨-短部位_年增率(%),名目本金餘額-交易所-買入選擇權_原始值,名目本金餘額-交易所-買入選擇權_年增率(%),名目本金餘額-交易所-賣出選擇權_原始值,名目本金餘額-交易所-賣出選擇權_年增率(%),名目本金餘額_原始值,名目本金餘額_年增率(%),名目本金餘額-交易目的之契約總額_原始值,名目本金餘額-交易目的之契約總額_年增率(%),名目本金餘額-非交易目的之契約總額_原始值,名目本金餘額-非交易目的之契約總額_年增率(%)
2006Q1,"32,290,957",36.56,"32,256,080",36.50,"7,142,953",37.79,"19,635,981",38.96,"2,500,658",26.45,"2,976,488",27.26,"34,877",133.53,"22,460",548.38,"12,098",5.48,189,"9,350.00",130,--,"32,290,957",36.56,"31,750,066",41.97,"540,891",-57.84
2006Q2,"36,349,067",41.74,"36,317,347",41.83,"7,867,575",43.44,"22,417,874",41.95,"2,758,516",39.71,"3,273,382",39.00,"31,720",-14.47,"6,825",29.21,"24,329",-23.48,296,--,270,"2,900.00","36,349,067",41.74,"35,812,841",45.08,"536,226",-44.12
2006Q3,"38,368,673",35.47,"38,255,793",35.36,"7,410,774",29.83,"24,727,363",39.64,"2,771,701",23.88,"3,345,955",28.25,"112,880",89.16,"65,768",424.55,"46,709",-0.91,403,--,0,--,"38,368,673",35.47,"37,783,938",38.13,"584,735",-39.62
2006Q4,"40,531,801",35.02,"40,478,678",35.06,"7,809,415",7.60,"26,007,906",45.07,"3,101,264",41.35,"3,560,093",37.31,"53,123",9.59,"30,542",25.18,"22,167",-7.93,414,--,0,--,"40,531,801",35.02,"39,957,903",37.12,"573,898",-34.79
2007Q1,"43,308,309",34.12,"42,919,959",33.06,"9,389,881",31.46,"26,886,132",36.92,"3,039,319",21.54,"3,604,627",21.10,"388,350","1,013.48","167,053",643.78,"221,048","1,727.14",203,7.41,46,-64.62,"43,308,309",34.12,"42,746,030",34.63,"562,279",3.95
2007Q2,"49,575,317",36.39,"47,486,839",30.76,"9,951,331",26.49,"30,065,246",34.11,"3,482,931",26.26,"3,987,331",21.81,"2,088,478","6,484.10","1,018,731","14,826.46","1,033,774","4,149.14","22,339","7,446.96","13,634","4,949.63","49,575,317",36.39,"49,005,580",36.84,"569,737",6.25
2007Q3,"52,785,698",37.57,"49,984,496",30.66,"9,231,510",24.57,"32,058,063",29.65,"4,125,868",48.86,"4,569,055",36.55,"2,801,202","2,381.58","1,315,572","1,900.32","1,464,140","3,034.60","9,952","2,369.48","11,538",--,"52,785,698",37.57,"52,208,298",38.18,"577,400",-1.25
2007Q4,"54,684,140",34.92,"51,795,153",27.96,"9,593,630",22.85,"33,253,829",27.86,"4,241,122",36.75,"4,706,572",32.20,"2,888,987","5,338.30","1,384,916","4,434.46","1,488,720","6,615.93","7,479","1,706.52","7,872",--,"54,684,140",34.92,"54,373,244",36.08,"310,896",-45.83
2008Q1,"57,720,819",33.28,"56,716,170",32.14,"10,981,262",16.95,"36,340,183",35.16,"4,547,036",49.61,"4,847,689",34.49,"1,004,649",158.70,"530,682",217.67,"452,641",104.77,"12,319","5,968.47","9,007","19,480.43","57,720,819",33.28,"57,381,288",34.24,"339,531",-39.62
2008Q2,"57,821,733",16.63,"56,667,734",19.33,"10,555,914",6.08,"38,032,178",26.50,"3,738,687",7.34,"4,340,955",8.87,"1,153,999",-44.74,"559,394",-45.09,"566,769",-45.17,"15,945",-28.62,"11,891",-12.78,"57,821,733",16.63,"57,533,532",17.40,"288,201",-49.42
