期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),交換_原始值,交換_年增率(%),交換_原始值,交換_年增率(%),選擇權_原始值,選擇權_年增率(%),選擇權_原始值,選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2009M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2011M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
