期間,平均每股市值_原始值,平均每股市值_年增率(%),平均每股盈餘_原始值,平均每股盈餘_年增率(%),平均每股淨值_原始值,平均每股淨值_年增率(%),本益比_原始值,本益比_年增率(%),成交值週轉率(%)_原始值,成交值週轉率(%)_年增率(%)
2002M08,21.58,7.26,0.28,-72.28,14.70,-5.53,84.02,-,14.74,-
2002M09,18.96,16.39,0.30,-71.15,14.72,-4.23,67.77,-,12.48,-
2002M10,20.89,19.71,0.39,-55.68,14.88,-2.87,53.02,-,18.18,-
2002M11,21.35,6.38,0.41,-36.92,14.91,-3.31,52.62,-,20.00,-
2002M12,20.62,-18.24,0.49,-19.67,15.00,-2.15,41.77,-,17.28,-
2003M01,23.34,-12.94,0.44,-29.03,14.98,-2.41,52.83,-,20.51,-
2003M02,20.68,-20.49,0.43,-30.65,15.00,-2.02,48.46,-,10.63,-
2003M03,20.16,-29.44,0.42,-33.33,14.99,-3.41,47.81,-,10.80,-
2003M04,19.43,-31.17,0.47,-9.62,15.21,-1.49,41.47,-,13.90,-
2003M05,21.29,-19.23,0.60,11.11,15.51,-2.39,35.64,-,10.58,-
2003M06,22.75,-2.99,0.60,13.21,15.45,-2.03,38.06,-,20.33,-
2003M07,24.20,9.35,0.59,13.46,15.18,0.13,41.54,-,27.71,-
2003M08,25.21,16.82,0.88,214.29,14.80,0.68,29.09,-,18.44,-
2003M09,25.28,33.33,0.89,196.67,14.77,0.34,28.48,-,15.07,-
2003M10,27.51,31.69,1.09,179.49,15.19,2.08,25.16,-,17.96,-
2003M11,26.32,23.28,1.11,170.73,15.05,0.94,24.21,-,13.80,-
2003M12,27.35,32.64,1.12,128.57,15.19,1.27,24.76,-,11.09,-
2004M01,29.58,26.74,1.12,154.55,15.18,1.34,26.74,-,13.13,-
2004M02,31.30,51.35,1.12,160.47,15.19,1.27,27.94,-,21.53,-
2004M03,30.28,50.20,1.16,176.19,15.21,1.47,25.97,-,26.03,-
2004M04,28.60,47.20,1.77,276.60,16.35,7.50,16.15,-,23.48,-
2004M05,27.97,31.38,1.77,195.00,16.27,4.90,15.49,-,14.11,-
2004M06,26.84,17.98,1.76,193.33,16.06,3.95,15.09,-,11.53,-
2004M07,24.61,1.69,1.76,198.31,15.91,4.81,13.77,-,9.90,-
2004M08,25.73,2.06,1.95,121.59,16.01,8.18,13.18,-,9.98,-
2004M09,26.07,3.13,1.94,117.98,15.52,5.08,13.21,-,13.45,-
2004M10,25.47,-7.42,2.16,98.17,16.17,6.45,11.72,-,12.88,-
2004M11,26.42,0.38,2.15,93.69,16.20,7.64,11.97,-,11.50,-
2004M12,27.80,1.65,2.14,91.07,16.09,5.92,12.58,-,9.94,-
2005M01,27.29,-7.74,2.17,93.75,16.24,6.98,12.40,-,8.41,-
2005M02,28.15,-10.06,2.17,93.75,16.24,6.91,12.91,-,7.85,-
2005M03,27.22,-10.11,2.15,85.34,16.20,6.51,12.59,-,12.15,-
2005M04,26.37,-7.80,1.82,2.82,17.15,4.89,14.22,-,8.90,-
2005M05,27.36,-2.18,1.82,2.82,17.15,5.41,14.68,-,9.44,-
2005M06,28.30,5.44,1.78,1.14,17.00,5.85,15.31,-,12.61,-
2005M07,28.23,14.71,1.76,0.00,16.71,5.03,15.50,-,12.86,-
2005M08,26.57,3.26,1.58,-18.97,15.71,-1.87,16.52,-,12.15,-
2005M09,26.87,3.07,1.59,-18.04,15.68,1.03,16.59,-,9.48,-
2005M10,25.38,-0.35,1.62,-25.00,16.52,2.16,15.51,-,10.34,-
2005M11,27.32,3.41,1.61,-25.12,16.49,1.79,16.63,-,11.66,-
2005M12,28.87,3.85,1.61,-24.77,16.42,2.05,17.55,-,15.51,-
2006M01,28.82,5.61,1.60,-26.27,16.38,0.86,17.57,-,13.86,-
2006M02,29.01,3.06,1.61,-25.81,16.39,0.92,17.62,-,10.04,-
2006M03,29.29,7.60,1.56,-27.44,16.49,1.79,18.73,-,12.98,-
2006M04,32.14,21.88,1.61,-11.54,17.21,0.35,19.63,-,13.35,-
2006M05,30.97,13.19,1.75,-3.85,18.28,6.59,17.00,-,16.55,-
2006M06,30.31,7.10,1.75,-1.69,18.22,7.18,16.82,-,12.51,-
2006M07,29.24,3.58,1.75,-0.57,18.15,8.62,16.28,-,9.32,-
