期間,累積家數(家)_原始值,累積家數(家)_年增率(%),通報人數(人)_原始值,通報人數(人)_年增率(%),實際實施人數(人)_原始值,實際實施人數(人)_年增率(%)
2011M11,85,"1,316.67","8,636","4,112.68","7,994",...
2011M12,109,"2,080.00","13,034","13,065.66","12,487",...
2012M01,87,--,"11,946",--,"11,891",...
2012M02,75,"3,650.00","7,446","11,181.82","7,391",...
2012M03,39,"3,800.00","4,682","8,903.85","3,960",...
2012M04,23,"2,200.00","2,280","4,284.62","2,280",...
2012M05,20,--,"1,365",--,"1,365",...
2012M06,17,--,"1,073",--,"1,073",...
2012M07,22,--,628,--,628,...
2012M08,23,--,605,--,605,...
2012M09,36,--,"1,595",--,"1,413",...
2012M10,47,291.67,"2,859",2.07,"2,855",...
2012M11,49,-42.35,"4,323",-49.94,"4,323",-45.92
2012M12,62,-43.12,"4,450",-65.86,"4,289",-65.65
2013M01,53,-39.08,"3,797",-68.22,"3,636",-69.42
2013M02,42,-44.00,"2,547",-65.79,"2,216",-70.02
2013M03,38,-2.56,"1,780",-61.98,"1,457",-63.21
